country,year,bottom_40_income_share,disposable_income_per_capita,inability_make_ends_meet_percentage,gdp_per_capita,mean_income,median_income,purchasing_power
AT,2003,23.2,19575,3.8,32520,16984,15112,26400
AT,2004,24,20217,3.6,33200,18008,16326,27600
AT,2005,23.8,21540,3,33710,19168,17194,28700
AT,2006,24.2,22503,2.4,34700,19205,17420,29900
AT,2007,23.9,23128,3.3,35870,19955,17810,31100
AT,2008,22.8,23767,4.6,36280,21143,18932,32100
AT,2009,23,23554,5.4,34830,21648,19472,30900
AT,2010,22.6,23755,5.9,35390,21849,19516,31800
AT,2011,22.8,24115,5.5,36300,22765,20425,33100
AT,2012,22.8,24872,6,36390,23073,20602,34300
AT,2013,23.1,24920,5.4,36180,23075,20904,34600
AT,2014,23,25112,5.6,36130,24340,21662,35000
AT,2015,23.1,25201,5.3,36140,24531,21981,35900
AT,2016,23,25644,4.3,36390,25368,23071,36600
AT,2017,22.7,26041,4.5,36980,26076,23361,37200
AT,2018,23.2,26633,4.5,37690,25627,23204,38600
AT,2019,22.9,27058,4,38070,26300,23687,39400
AT,2020,23.2,26758,3.9,35390,25924,23334,37400
AT,2021,23.1,28425,4,36740,26771,24450,40000
AT,2022,22.7,31228,4.7,38080,27782,25119,44000
BE,2003,22.1,18554,6.6,30680,16912,15295,25400
BE,2004,23.3,18778,7,31640,15903,14713,26200
BE,2005,22.8,19479,6,32200,17374,15536,27200
BE,2006,22.7,20225,5.7,32800,17868,16178,28000
BE,2007,23.2,20723,5.6,33760,17775,16311,29000
BE,2008,22.8,21724,7.5,33640,18606,16743,29400
BE,2009,23.2,21590,8.3,32700,19021,17491,28500
BE,2010,23.2,21928,7.7,33330,19014,17331,30100
BE,2011,23.2,22334,8.8,33460,19629,18159,30500
BE,2012,23,22747,8.3,33490,19862,18396,31200
BE,2013,23.3,23191,8.8,33490,21198,19563,31500
BE,2014,23.2,23578,7.9,33870,21148,19591,32200
BE,2015,23.2,23871,8.6,34360,21779,19921,33200
BE,2016,23,23941,9.3,34620,23218,21335,33800
BE,2017,23.2,24486,8.6,35050,22437,20904,34600
BE,2018,23.3,25059,8.1,35510,22714,21353,35600
BE,2019,23.9,25938,8.9,36110,23597,22100,36800
BE,2020,23.8,26665,7.8,34060,24004,22294,35600
