country,year,bottom_40_income_share
AL,2017,17.1
AL,2018,17.8
AL,2019,18.4
AL,2020,19.3
AL,2021,19.3
AT,2000,25.0
AT,2001,25.0
AT,2003,23.2
AT,2004,24.0
AT,2005,23.8
AT,2006,24.2
AT,2007,23.9
AT,2008,22.8
AT,2009,23.0
AT,2010,22.6
AT,2011,22.8
AT,2012,22.8
AT,2013,23.1
AT,2014,23.0
AT,2015,23.1
AT,2016,23.0
AT,2017,22.7
AT,2018,23.2
AT,2019,22.9
AT,2020,23.2
AT,2021,23.1
AT,2022,22.7
BE,2000,23.0
BE,2001,23.0
BE,2003,22.1
BE,2004,23.3
BE,2005,22.8
BE,2006,22.7
BE,2007,23.2
BE,2008,22.8
BE,2009,23.2
BE,2010,23.2
BE,2011,23.2
BE,2012,23.0
BE,2013,23.3
BE,2014,23.2
BE,2015,23.2
BE,2016,23.0
BE,2017,23.2
BE,2018,23.3
BE,2019,23.9
BE,2020,23.8
BE,2021,24.6
BE,2022,24.1
BG,2006,20.6
BG,2007,18.2
BG,2008,18.2
BG,2009,19.2
BG,2010,19.5
BG,2011,18.4
BG,2012,19.2
BG,2013,18.5
BG,2014,18.4
BG,2015,17.8
BG,2016,17.2
BG,2017,16.5
BG,2018,17.0
BG,2019,16.4
BG,2020,16.6
BG,2021,17.0
BG,2022,17.0
CH,2007,21.6
CH,2008,21.2
CH,2009,21.4
CH,2010,21.9
CH,2011,21.9
CH,2012,22.2
CH,2013,22.6
CH,2014,22.2
CH,2015,22.1
CH,2016,22.1
CH,2017,21.9
CH,2018,22.0
CH,2019,21.5
CH,2020,21.3
CH,2021,21.1
CH,2022,21.4
CY,2005,22.1
CY,2006,22.3
CY,2007,22.1
CY,2008,22.2
CY,2009,22.1
CY,2010,21.9
CY,2011,22.2
CY,2012,21.4
CY,2013,20.8
CY,2014,19.9
CY,2015,20.1
CY,2016,20.7
CY,2017,21.4
CY,2018,22.1
CY,2019,21.5
CY,2020,22.2
CY,2021,22.3
CY,2022,22.1
CZ,2005,24.2
CZ,2006,24.6
CZ,2007,24.6
CZ,2008,25.0
CZ,2009,25.0
CZ,2010,24.9
CZ,2011,24.7
CZ,2012,24.8
CZ,2013,25.1
CZ,2014,24.8
CZ,2015,24.8
CZ,2016,24.7
CZ,2017,25.0
CZ,2018,25.1
CZ,2019,25.0
CZ,2020,24.9
CZ,2021,24.9
CZ,2022,24.6
DE,2000,25.0
DE,2001,25.0
DE,2005,24.1
DE,2006,23.6
DE,2007,21.5
DE,2008,21.7
DE,2009,22.1
DE,2010,22.0
DE,2011,22.1
DE,2012,22.3
DE,2013,21.8
DE,2014,21.0
DE,2015,21.4
DE,2016,21.7
DE,2017,22.0
DE,2018,21.2
DE,2019,21.7
DE,2020,21.3
DE,2021,21.0
DE,2022,22.2
DK,2003,24.6
DK,2004,25.1
DK,2005,24.7
DK,2006,24.9
DK,2007,24.2
DK,2008,24.4
DK,2009,22.9
DK,2010,23.0
DK,2011,23.5
DK,2012,23.6
DK,2013,23.5
DK,2014,23.2
DK,2015,23.2
DK,2016,23.2
DK,2017,23.3
DK,2018,23.2
DK,2019,23.2
DK,2020,23.4
DK,2021,23.5
DK,2022,23.3
EE,2004,17.6
EE,2005,19.2
EE,2006,19.8
EE,2007,19.7
EE,2008,20.6
EE,2009,20.4
