country,year,disposable_income_per_capita
AT,2000,18096
AT,2001,18038
AT,2002,18604
AT,2003,19575
AT,2004,20217
AT,2005,21540
AT,2006,22503
AT,2007,23128
AT,2008,23767
AT,2009,23554
AT,2010,23755
AT,2011,24115
AT,2012,24872
AT,2013,24920
AT,2014,25112
AT,2015,25201
AT,2016,25644
AT,2017,26041
AT,2018,26633
AT,2019,27058
AT,2020,26758
AT,2021,28425
AT,2022,31228
BE,2000,17072
BE,2001,17746
BE,2002,18280
BE,2003,18554
BE,2004,18778
BE,2005,19479
BE,2006,20225
BE,2007,20723
BE,2008,21724
BE,2009,21590
BE,2010,21928
BE,2011,22334
BE,2012,22747
BE,2013,23191
BE,2014,23578
BE,2015,23871
BE,2016,23941
BE,2017,24486
BE,2018,25059
BE,2019,25938
BE,2020,26665
BE,2021,28227
BE,2022,29684
BG,2000,3868
BG,2001,4051
BG,2002,4586
BG,2003,4989
BG,2004,5240
BG,2005,5630
BG,2006,5985
BG,2007,6444
BG,2008,7435
BG,2009,7369
BG,2010,7726
BG,2011,8514
BG,2012,8590
BG,2013,8981
BG,2014,9361
BG,2015,9657
BG,2016,10088
BG,2017,10508
CH,2000,20122
CH,2001,20932
CH,2002,21122
CH,2003,21122
CH,2004,21746
CH,2005,22611
CH,2006,23969
CH,2007,26107
CH,2008,27100
CH,2009,27080
CH,2010,26777
CH,2011,27161
CH,2012,27712
CH,2013,28524
CH,2014,29024
CH,2015,29367
CH,2016,29091
CH,2017,28461
CH,2018,28726
CH,2019,29084
CH,2020,29563
CH,2021,30225
CH,2022,32297
CY,2000,12020
CY,2001,12493
CY,2002,12584
CY,2003,13531
CY,2004,14766
CY,2005,16199
CY,2006,17011
CY,2007,18378
CY,2008,20044
CY,2009,19392
CY,2010,18773
CY,2011,18510
CY,2012,17410
CY,2013,16908
CY,2014,16232
CY,2015,16635
CY,2016,17852
CY,2017,18782
CY,2018,19345
CY,2019,20779
CY,2020,21001
CY,2021,22669
CY,2022,23923
CZ,2000,9408
CZ,2001,10226
CZ,2002,10422
CZ,2003,11116
CZ,2004,11532
CZ,2005,12127
CZ,2006,12590
CZ,2007,13365
CZ,2008,13986
CZ,2009,14433
CZ,2010,14664
CZ,2011,14732
CZ,2012,14822
CZ,2013,15288
CZ,2014,16014
CZ,2015,16340
CZ,2016,16750
CZ,2017,17901
CZ,2018,18669
CZ,2019,19531
CZ,2020,19715
CZ,2021,21378
CZ,2022,22120
DE,2000,17725
DE,2001,18538
DE,2002,18671
DE,2003,19549
DE,2004,20134
DE,2005,20653
DE,2006,21250
DE,2007,21966
DE,2008,22689
DE,2009,22594
DE,2010,23394
DE,2011,24390
DE,2012,24871
DE,2013,25104
DE,2014,25700
DE,2015,25992
DE,2016,26823
DE,2017,27652
DE,2018,28711
DE,2019,29057
DE,2020,29635
DE,2021,30584
DE,2022,32129
DK,2000,13948
DK,2001,14434
DK,2002,15186
DK,2003,15545
DK,2004,16192
DK,2005,16734
DK,2006,17785
DK,2007,18649
DK,2008,19207
DK,2009,19578
DK,2010,20622
DK,2011,21020
