DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2000,18096,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2001,18038,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2002,18604,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2003,19575,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2004,20217,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2005,21540,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2006,22503,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2007,23128,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2008,23767,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2009,23554,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2010,23755,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2011,24115,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2012,24872,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2013,24920,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2014,25112,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2015,25201,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2016,25644,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2017,26041,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2018,26633,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2019,27058,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2020,26758,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2021,28425,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,AT,2022,31228,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BE,2000,17072,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BE,2001,17746,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BE,2002,18280,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BE,2003,18554,
ESTAT:SDG_10_20(1.0),26/01/24 23:00:00,A,PPS_EU27_2020_HAB,BE,2004,18778,
