country,year,inability_make_ends_meet_percentage
AL,2017,24.3
AL,2018,20.4
AL,2019,20.1
AL,2020,21.1
AL,2021,18.1
AT,2003,3.8
AT,2004,3.6
AT,2005,3.0
AT,2006,2.4
AT,2007,3.3
AT,2008,4.6
AT,2009,5.4
AT,2010,5.9
AT,2011,5.5
AT,2012,6.0
AT,2013,5.4
AT,2014,5.6
AT,2015,5.3
AT,2016,4.3
AT,2017,4.5
AT,2018,4.5
AT,2019,4.0
AT,2020,3.9
AT,2021,4.0
AT,2022,4.7
BE,2003,6.6
BE,2004,7.0
BE,2005,6.0
BE,2006,5.7
BE,2007,5.6
BE,2008,7.5
BE,2009,8.3
BE,2010,7.7
BE,2011,8.8
BE,2012,8.3
BE,2013,8.8
BE,2014,7.9
BE,2015,8.6
BE,2016,9.3
BE,2017,8.6
BE,2018,8.1
BE,2019,8.9
BE,2020,7.8
BE,2021,6.6
BE,2022,6.9
BE,2023,6.0
BG,2005,35.7
BG,2006,35.7
BG,2007,33.3
BG,2008,31.1
BG,2009,27.8
BG,2010,29.0
BG,2011,27.8
BG,2012,32.8
BG,2013,32.9
BG,2014,31.7
BG,2015,30.6
BG,2016,28.9
BG,2017,28.0
BG,2018,26.5
BG,2019,23.7
BG,2020,18.6
BG,2021,13.7
BG,2022,14.0
BG,2023,10.1
CH,2007,2.2
CH,2008,2.3
CH,2009,3.6
CH,2010,3.9
CH,2011,3.5
CH,2012,3.4
CH,2013,3.3
CH,2014,3.6
CH,2015,2.8
CH,2016,3.7
CH,2017,3.2
CH,2018,4.4
CH,2019,3.8
CH,2020,2.9
CH,2021,2.4
CH,2022,2.5
CY,2005,14.4
CY,2006,18.7
CY,2007,17.3
CY,2008,21.0
CY,2009,20.1
CY,2010,23.3
CY,2011,26.3
CY,2012,22.3
CY,2013,32.1
CY,2014,32.1
CY,2015,32.0
CY,2016,29.4
CY,2017,22.2
CY,2018,20.7
CY,2019,16.9
CY,2020,11.2
CY,2021,11.4
CY,2022,9.8
CZ,2005,10.6
CZ,2006,9.0
CZ,2007,7.4
CZ,2008,7.8
CZ,2009,7.9
CZ,2010,8.4
CZ,2011,8.7
CZ,2012,9.3
CZ,2013,9.1
CZ,2014,9.3
CZ,2015,7.8
CZ,2016,7.1
CZ,2017,7.4
CZ,2018,4.5
CZ,2019,3.3
CZ,2020,3.0
CZ,2021,3.2
CZ,2022,3.1
DE,2005,3.3
DE,2006,2.7
DE,2007,2.0
DE,2008,2.1
DE,2009,3.3
DE,2010,2.8
DE,2011,3.1
DE,2012,3.0
DE,2013,3.0
DE,2014,2.8
DE,2015,2.6
DE,2016,2.3
DE,2017,2.1
DE,2018,1.7
DE,2019,1.4
DE,2020,1.7
DE,2021,2.1
DE,2022,2.7
DK,2003,3.2
DK,2004,3.3
DK,2005,2.6
DK,2006,2.8
DK,2007,2.9
DK,2008,3.0
DK,2009,3.5
DK,2010,3.7
DK,2011,4.0
DK,2012,3.0
DK,2013,4.6
DK,2014,4.4
DK,2015,3.5
DK,2016,3.2
DK,2017,3.4
DK,2018,3.5
DK,2019,3.2
DK,2020,3.2
DK,2021,2.8
DK,2022,3.2
EE,2004,1.4
EE,2005,1.0
EE,2006,4.7
EE,2007,3.4
EE,2008,3.1
EE,2009,7.9
EE,2010,8.5
EE,2011,8.5
EE,2012,8.5
EE,2013,7.5
EE,2014,6.5
EE,2015,4.9
EE,2016,4.9
EE,2017,3.7
EE,2018,4.3
EE,2019,2.7
EE,2020,2.1
EE,2021,2.0
EE,2022,2.7
EE,2023,2.7
EL,2003,17.7
EL,2004,14.2
EL,2005,17.1
EL,2006,18.4
EL,2007,18.8
EL,2008,20.0
EL,2009,22.3
EL,2010,24.2
EL,2011,25.6
EL,2012,35.0
EL,2013,39.6
EL,2014,39.5
EL,2015,38.2
EL,2016,40.6
EL,2017,39.9
EL,2018,38.2
EL,2019,37.7
EL,2020,36.1
EL,2021,39.0
EL,2022,36.8
ES,2004,11.7
ES,2005,11.1
ES,2006,12.1
ES,2007,11.1
ES,2008,13.7
ES,2009,16.2
ES,2010,15.5
ES,2011,11.1
ES,2012,14.7
ES,2013,18.6
ES,2014,17.5
ES,2015,14.8
ES,2016,16.6
ES,2017,9.5
ES,2018,10.4
ES,2019,7.8
ES,2020,10.0
ES,2021,8.8
ES,2022,8.7
FI,2004,3.3
FI,2005,3.1
FI,2006,2.6
FI,2007,2.6
FI,2008,2.9
FI,2009,2.3
FI,2010,2.4
FI,2011,2.6
FI,2012,2.3
FI,2013,2.2
FI,2014,2.7
FI,2015,2.5
FI,2016,2.3
FI,2017,2.3
FI,2018,2.3
FI,2019,2.1
FI,2020,2.5
FI,2021,2.1
FI,2022,2.0
FR,2004,6.1
FR,2005,3.1
FR,2006,2.9
FR,2007,3.3
FR,2008,2.9
FR,2009,4.2
FR,2010,4.4
FR,2011,4.5
FR,2012,4.4
FR,2013,4.6
FR,2014,4.9
FR,2015,4.6
FR,2016,4.2
FR,2017,4.1
FR,2018,4.5
FR,2019,3.7
FR,2020,6.5
FR,2021,5.6
FR,2022,7.2
HR,2010,18.3
HR,2011,19.7
HR,2012,22.1
HR,2013,26.3
HR,2014,25.2
HR,2015,22.7
HR,2016,20.4
HR,2017,15.5
HR,2018,14.1
HR,2019,11.9
HR,2020,11.1
HR,2021,7.8
HR,2022,8.0
HU,2005,13.8
HU,2006,16.2
HU,2007,13.8
HU,2008,16.7
HU,2009,23.8
HU,2010,25.3
HU,2011,26.5
HU,2012,26.8
HU,2013,27.4
HU,2014,22.8
HU,2015,19.1
HU,2016,17.1
HU,2017,15.7
HU,2018,12.1
HU,2019,8.6
HU,2020,10.7
HU,2021,9.8
HU,2022,8.1
IE,2003,8.4
IE,2004,8.7
IE,2005,9.9
IE,2006,9.6
IE,2007,8.4
IE,2008,9.3
IE,2009,11.2
IE,2010,15.2
IE,2011,14.7
IE,2012,17.4
IE,2013,17.4
IE,2014,17.8
IE,2015,14.9
IE,2016,12.2
IE,2017,8.7
IE,2018,7.2
IE,2019,7.5
IE,2020,6.1
IE,2021,6.1
IE,2022,6.0
IS,2004,9.1
IS,2005,5.8
IS,2006,5.0
IS,2007,5.2
IS,2008,5.0
IS,2009,7.8
IS,2010,12.8
IS,2011,12.3
IS,2012,10.6
IS,2013,11.7
IS,2014,8.9
IS,2015,8.6
IS,2016,6.2
IS,2017,4.8
IS,2018,4.9
IT,2004,15.5
IT,2005,15.2
IT,2006,15.3
IT,2007,16.6
IT,2008,18.6
IT,2009,17.0
IT,2010,17.4
IT,2011,17.1
IT,2012,17.3
IT,2013,18.8
IT,2014,17.9
IT,2015,15.4
IT,2016,10.9
IT,2017,8.6
IT,2018,9.7
IT,2019,8.2
IT,2020,9.0
IT,2021,9.1
IT,2022,6.9
LT,2005,9.2
LT,2006,7.9
LT,2007,4.6
LT,2008,6.3
LT,2009,11.0
LT,2010,12.0
LT,2011,11.5
LT,2012,12.9
LT,2013,9.6
LT,2014,8.2
LT,2015,6.8
LT,2016,6.9
LT,2017,7.1
LT,2018,5.5
LT,2019,3.0
LT,2020,3.0
LT,2021,2.7
LT,2022,2.4
LU,2003,1.9
LU,2004,2.0
LU,2005,1.9
LU,2006,1.6
LU,2007,1.8
LU,2008,1.9
LU,2009,2.0
LU,2010,1.9
LU,2011,2.7
LU,2012,3.6
LU,2013,4.4
LU,2014,3.9
LU,2015,4.2
LU,2016,4.2
LU,2017,5.1
LU,2018,4.7
LU,2019,3.7
LU,2020,3.8
LU,2021,3.8
LU,2022,1.5
LV,2005,24.3
LV,2006,17.8
LV,2007,12.9
LV,2008,13.5
LV,2009,17.7
LV,2010,23.5
LV,2011,24.0
LV,2012,21.8
LV,2013,25.4
LV,2014,18.6
LV,2015,15.4
LV,2016,12.4
LV,2017,13.5
LV,2018,10.3
LV,2019,7.8
LV,2020,7.2
LV,2021,5.3
LV,2022,6.7
LV,2023,7.7
ME,2013,28.9
ME,2014,29.0
ME,2015,27.4
ME,2016,23.5
ME,2017,27.0
ME,2018,30.1
ME,2019,24.9
ME,2020,27.1
ME,2021,26.5
ME,2022,22.7
MK,2010,39.8
MK,2011,41.3
MK,2012,39.7
MK,2013,33.1
MK,2014,33.0
MK,2015,29.1
MK,2016,30.5
MK,2017,29.1
MK,2018,29.1
MK,2019,24.5
MK,2020,25.8
MT,2005,13.1
MT,2006,14.2
MT,2007,11.9
MT,2008,13.3
MT,2009,18.9
MT,2010,19.7
MT,2011,14.9
MT,2012,17.0
MT,2013,15.5
MT,2014,12.4
MT,2015,7.3
MT,2016,6.7
MT,2017,4.6
MT,2018,3.9
MT,2019,3.1
MT,2020,4.9
MT,2021,3.9
MT,2022,5.7
NL,2005,4.3
NL,2006,4.2
NL,2007,2.7
NL,2008,2.8
NL,2009,2.9
NL,2010,3.8
NL,2011,3.3
NL,2012,3.9
NL,2013,3.8
NL,2014,4.3
NL,2015,3.3
NL,2016,3.0
NL,2017,3.2
NL,2018,2.2
NL,2019,2.9
NL,2020,1.8
NL,2021,1.6
NL,2022,1.9
NO,2003,3.5
NO,2004,3.0
NO,2005,3.4
NO,2006,2.9
NO,2007,2.0
NO,2008,2.4
NO,2009,3.0
NO,2010,2.3
NO,2011,2.5
NO,2012,2.4
NO,2013,2.2
NO,2014,1.7
NO,2015,2.1
NO,2016,2.0
NO,2017,2.2
NO,2018,2.1
NO,2019,2.3
NO,2020,2.6
NO,2021,2.7
NO,2022,2.5
PL,2005,25.0
PL,2006,20.6
PL,2007,17.0
PL,2008,14.4
PL,2009,14.4
PL,2010,14.1
PL,2011,12.4
PL,2012,13.3
PL,2013,12.7
PL,2014,10.7
PL,2015,10.2
PL,2016,8.4
PL,2017,6.8
PL,2018,5.3
PL,2019,4.5
PL,2020,3.8
PL,2021,3.3
PL,2022,3.7
PT,2004,15.5
PT,2005,16.2
PT,2006,14.9
PT,2007,15.6
PT,2008,24.2
PT,2009,23.5
PT,2010,20.3
PT,2011,19.2
PT,2012,21.9
PT,2013,24.8
PT,2014,23.3
PT,2015,20.6
PT,2016,17.0
PT,2017,15.2
PT,2018,13.3
PT,2019,11.1
PT,2020,9.0
PT,2021,11.3
PT,2022,11.2
RO,2007,24.2
RO,2008,18.6
RO,2009,19.2
RO,2010,21.1
RO,2011,21.2
RO,2012,23.3
RO,2013,23.8
RO,2014,21.7
RO,2015,20.2
RO,2016,18.1
RO,2017,14.7
RO,2018,13.4
RO,2019,12.4
RO,2020,14.8
RO,2021,11.1
RO,2022,10.4
RS,2013,33.8
RS,2014,34.9
RS,2015,31.9
RS,2016,32.7
RS,2017,29.4
RS,2018,23.5
RS,2019,14.8
RS,2020,14.5
RS,2021,14.4
RS,2022,12.7
SE,2004,3.8
SE,2005,3.6
SE,2006,3.8
SE,2007,3.6
SE,2008,4.3
SE,2009,4.1
SE,2010,3.6
SE,2011,4.2
SE,2012,3.8
SE,2013,3.6
SE,2014,3.8
SE,2015,3.2
SE,2016,3.1
SE,2017,2.9
SE,2018,3.5
SE,2019,3.3
SE,2020,3.6
SE,2021,3.2
SE,2022,3.1
SI,2005,6.6
SI,2006,6.6
SI,2007,5.1
SI,2008,8.2
SI,2009,7.1
SI,2010,8.9
SI,2011,9.3
SI,2012,8.9
SI,2013,11.2
SI,2014,9.8
SI,2015,9.1
SI,2016,8.0
SI,2017,6.5
SI,2018,5.6
SI,2019,4.1
SI,2020,4.7
SI,2021,2.8
SI,2022,3.1
SK,2005,12.5
SK,2006,12.4
SK,2007,10.7
SK,2008,11.6
SK,2009,11.1
SK,2010,11.5
SK,2011,10.7
SK,2012,11.6
SK,2013,13.3
SK,2014,12.6
SK,2015,11.7
SK,2016,10.1
SK,2017,8.1
SK,2018,8.4
SK,2019,9.4
SK,2020,8.6
SK,2021,9.3
SK,2022,9.7
TR,2006,27.0
TR,2007,26.5
TR,2008,24.8
TR,2009,28.1
TR,2011,20.5
TR,2012,21.0
TR,2013,18.8
TR,2014,11.3
TR,2015,10.6
TR,2016,6.8
TR,2017,3.7
TR,2018,3.5
TR,2020,3.5
TR,2021,4.9
UK,2005,5.0
UK,2006,4.9
UK,2007,4.7
UK,2008,6.5
UK,2009,6.8
UK,2010,6.5
UK,2011,7.3
UK,2012,8.0
UK,2013,9.6
UK,2014,9.1
UK,2015,6.4
UK,2016,6.8
UK,2017,6.2
UK,2018,5.2
XK,2018,17.4
