country,year,mean_income
AL,2017,4370
AL,2018,4688
AL,2019,4992
AL,2020,5114
AL,2021,4969
AT,1995,14274
AT,1996,14178
AT,1997,14406
AT,1998,14517
AT,1999,15009
AT,2000,16353
AT,2001,17146
AT,2003,16984
AT,2004,18008
AT,2005,19168
AT,2006,19205
AT,2007,19955
AT,2008,21143
AT,2009,21648
AT,2010,21849
AT,2011,22765
AT,2012,23073
AT,2013,23075
AT,2014,24340
AT,2015,24531
AT,2016,25368
AT,2017,26076
AT,2018,25627
AT,2019,26300
AT,2020,25924
AT,2021,26771
AT,2022,27782
BE,1995,14296
BE,1996,14384
BE,1997,15241
BE,1998,15793
BE,1999,16661
BE,2000,16893
BE,2001,17785
BE,2003,16912
BE,2004,15903
BE,2005,17374
BE,2006,17868
BE,2007,17775
BE,2008,18606
BE,2009,19021
BE,2010,19014
BE,2011,19629
BE,2012,19862
BE,2013,21198
BE,2014,21148
BE,2015,21779
BE,2016,23218
BE,2017,22437
BE,2018,22714
BE,2019,23597
BE,2020,24004
BE,2021,24331
BE,2022,26049
BG,2006,3659
BG,2007,3836
BG,2008,5842
BG,2009,6668
BG,2010,6824
BG,2011,6861
BG,2012,6528
BG,2013,7081
BG,2014,7970
BG,2015,8454
BG,2016,8253
BG,2017,9648
BG,2018,9336
BG,2019,11001
BG,2020,11112
BG,2021,12235
BG,2022,12313
CH,2007,23875
CH,2008,25317
CH,2009,26258
CH,2010,25590
CH,2011,26377
CH,2012,27264
CH,2013,29300
CH,2014,29951
CH,2015,30517
CH,2016,31825
CH,2017,31265
CH,2018,31216
CH,2019,31473
CH,2020,30773
CH,2021,31279
CH,2022,31916
CY,2005,16922
CY,2006,18684
CY,2007,21158
CY,2008,21140
CY,2009,21784
CY,2010,21089
CY,2011,22128
CY,2012,22781
CY,2013,21006
CY,2014,20161
CY,2015,18812
CY,2016,19545
CY,2017,20045
CY,2018,20068
CY,2019,22129
CY,2020,21293
CY,2021,21590
CY,2022,22907
CZ,2005,8735
CZ,2006,9307
CZ,2007,10023
CZ,2008,10914
CZ,2009,11444
CZ,2010,10923
CZ,2011,11315
CZ,2012,11602
CZ,2013,12207
CZ,2014,12513
CZ,2015,13100
CZ,2016,14023
CZ,2017,14167
CZ,2018,14737
CZ,2019,15541
CZ,2020,15825
CZ,2021,15654
CZ,2022,17118
DE,1995,13371
DE,1996,14010
DE,1997,14583
DE,1998,14947
DE,1999,15398
DE,2000,16475
DE,2001,17812
DE,2005,17390
DE,2006,16736
DE,2007,19755
DE,2008,20738
DE,2009,20502
DE,2010,20073
DE,2011,20815
DE,2012,21586
DE,2013,22352
DE,2014,21947
DE,2015,23155
DE,2016,23881
DE,2017,24114
DE,2018,25048
DE,2019,25194
DE,2020,27851
DE,2021,27228
DE,2022,26538
DK,2003,16825
DK,2004,16125
DK,2005,16692
DK,2006,17109
DK,2007,18149
DK,2008,18963
DK,2009,18538
DK,2010,18822
DK,2011,20894
DK,2012,21001
DK,2013,21640
DK,2014,22316
DK,2015,22651
DK,2016,23945
DK,2017,23387
DK,2018,24275
DK,2019,25004
DK,2020,24400
DK,2021,25509
DK,2022,26170
EE,2004,5227
EE,2005,5755
EE,2006,6735
EE,2007,7741
EE,2008,8635
EE,2009,9403
EE,2010,8779
EE,2011,8785
EE,2012,9382
EE,2013,10265
EE,2014,11294
EE,2015,12550
EE,2016,13868
EE,2017,14151
EE,2018,14932
EE,2019,15879
EE,2020,16063
EE,2021,16682
EE,2022,19473
EL,1995,7953
EL,1996,8300
EL,1997,8772
EL,1998,9396
EL,1999,9483
EL,2000,10343
EL,2001,10546
EL,2003,12065
EL,2004,11876
EL,2005,12728
EL,2006,13220
EL,2007,13622
EL,2008,14223
EL,2009,14833
EL,2010,14717
EL,2011,13364
EL,2012,11293
EL,2013,10053
EL,2014,10028
EL,2015,10163
EL,2016,10462
EL,2017,10462
EL,2018,10621
EL,2019,11179
EL,2020,11635
EL,2021,11277
EL,2022,12335
ES,1995,8889
ES,1996,9191
ES,1997,9677
ES,1998,10104
ES,1999,10604
ES,2000,11789
ES,2001,12776
ES,2004,13152
ES,2005,13203
ES,2006,13877
ES,2007,14456
ES,2008,17439
ES,2009,17928
ES,2010,17316
ES,2011,16858
ES,2012,16626
ES,2013,16475
ES,2014,16480
ES,2015,16691
ES,2016,17771
ES,2017,17917
ES,2018,18363
ES,2019,18618
ES,2020,18813
ES,2021,18564
ES,2022,19662
FI,1996,11337
FI,1997,11824
FI,1998,12109
FI,1999,12533
FI,2000,12933
FI,2001,13970
FI,2004,14676
FI,2005,15782
FI,2006,16364
FI,2007,16940
FI,2008,18408
FI,2009,19156
FI,2010,18968
FI,2011,19842
FI,2012,20580
FI,2013,21344
FI,2014,21221
FI,2015,21455
FI,2016,22304
FI,2017,22061
FI,2018,22371
FI,2019,22965
FI,2020,22831
FI,2021,22567
FI,2022,23445
FR,1995,13177
FR,1996,13388
FR,1997,13551
FR,1998,14453
FR,1999,15151
FR,2000,15179
FR,2001,16189
FR,2004,15900
FR,2005,16560
FR,2006,16934
FR,2007,16938
FR,2008,20791
FR,2009,20945
FR,2010,20865
FR,2011,21692
FR,2012,22336
FR,2013,22669
FR,2014,22416
FR,2015,23196
FR,2016,24006
FR,2017,23441
FR,2018,23097
FR,2019,23782
FR,2020,22374
FR,2021,23056
FR,2022,23579
HR,2010,8677
HR,2011,8271
HR,2012,8198
HR,2013,8493
HR,2014,8589
HR,2015,9186
HR,2016,9944
HR,2017,10418
HR,2018,10926
HR,2019,11884
HR,2020,12145
HR,2021,12514
HR,2022,13495
HU,2005,6316
HU,2006,7240
HU,2007,7196
HU,2008,7237
HU,2009,7502
HU,2010,7324
HU,2011,8026
HU,2012,8500
HU,2013,8222
HU,2014,8583
HU,2015,8978
HU,2016,9356
HU,2017,9334
HU,2018,9712
HU,2019,10505
HU,2020,10896
HU,2021,11065
HU,2022,11500
IE,1995,10888
IE,1996,11695
IE,1997,11854
IE,1998,13406
IE,1999,13149
IE,2000,13220
IE,2001,14366
IE,2003,15383
IE,2004,16471
IE,2005,17503
IE,2006,18909
IE,2007,20873
IE,2008,21183
IE,2009,20093
IE,2010,19670
IE,2011,19291
IE,2012,19154
IE,2013,19711
IE,2014,19361
IE,2015,20216
IE,2016,20880
IE,2017,21481
IE,2018,22362
IE,2019,22994
IE,2020,22625
IE,2021,22744
IE,2022,22839
IS,2004,17683
IS,2005,19105
IS,2006,21034
IS,2007,23331
IS,2008,25126
IS,2009,25617
IS,2010,20617
IS,2011,19683
IS,2012,20031
IS,2013,21371
IS,2014,21954
IS,2015,23322
IS,2016,24750
IS,2017,24577
IS,2018,25951
