DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AL,2017,4370,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AL,2018,4688,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AL,2019,4992,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AL,2020,5114,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AL,2021,4969,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,1995,14274,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,1996,14178,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,1997,14406,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,1998,14517,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,1999,15009,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2000,16353,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2001,17146,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2003,16984,b
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2004,18008,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2005,19168,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2006,19205,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2007,19955,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2008,21143,b
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2009,21648,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2010,21849,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2011,22765,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2012,23073,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2013,23075,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2014,24340,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2015,24531,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2016,25368,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2017,26076,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2018,25627,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2019,26300,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2020,25924,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2021,26771,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,AT,2022,27782,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BE,1995,14296,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BE,1996,14384,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MEI_E,PPS,BE,1997,15241,
