country,year,median_income
AL,2017,3589
AL,2018,4003
AL,2019,4252
AL,2020,4385
AL,2021,4275
AT,1995,12695
AT,1996,12854
AT,1997,13214
AT,1998,13452
AT,1999,13610
AT,2000,14922
AT,2001,15780
AT,2003,15112
AT,2004,16326
AT,2005,17194
AT,2006,17420
AT,2007,17810
AT,2008,18932
AT,2009,19472
AT,2010,19516
AT,2011,20425
AT,2012,20602
AT,2013,20904
AT,2014,21662
AT,2015,21981
AT,2016,23071
AT,2017,23361
AT,2018,23204
AT,2019,23687
AT,2020,23334
AT,2021,24450
AT,2022,25119
BE,1995,12764
BE,1996,12912
BE,1997,13722
BE,1998,14161
BE,1999,14414
BE,2000,14446
BE,2001,15477
BE,2003,15295
BE,2004,14713
BE,2005,15536
BE,2006,16178
BE,2007,16311
BE,2008,16743
BE,2009,17491
BE,2010,17331
BE,2011,18159
BE,2012,18396
BE,2013,19563
BE,2014,19591
BE,2015,19921
BE,2016,21335
BE,2017,20904
BE,2018,21353
BE,2019,22100
BE,2020,22294
BE,2021,22695
BE,2022,24142
BG,2006,3200
BG,2007,3299
BG,2008,4765
BG,2009,5751
BG,2010,5885
BG,2011,5831
BG,2012,5697
BG,2013,5900
BG,2014,6754
BG,2015,6882
BG,2016,6742
BG,2017,7533
BG,2018,7218
BG,2019,8371
BG,2020,8647
BG,2021,9375
BG,2022,9671
CH,2007,20562
CH,2008,21583
CH,2009,22532
CH,2010,22279
CH,2011,22926
CH,2012,24143
CH,2013,25731
CH,2014,25745
CH,2015,26590
CH,2016,27692
CH,2017,27101
CH,2018,27066
CH,2019,27268
CH,2020,26163
CH,2021,26389
CH,2022,27185
CY,2005,14776
CY,2006,16362
CY,2007,18252
CY,2008,18241
CY,2009,18761
CY,2010,18026
CY,2011,19162
CY,2012,19074
CY,2013,17165
CY,2014,15762
CY,2015,15313
CY,2016,16173
CY,2017,16877
CY,2018,17505
CY,2019,18590
CY,2020,18305
CY,2021,18334
CY,2022,19719
CZ,2005,7641
CZ,2006,8261
CZ,2007,8841
CZ,2008,9725
CZ,2009,10104
CZ,2010,9660
CZ,2011,9989
CZ,2012,10313
CZ,2013,10802
CZ,2014,11091
CZ,2015,11652
CZ,2016,12478
CZ,2017,12641
CZ,2018,13264
CZ,2019,14035
CZ,2020,14151
CZ,2021,13815
CZ,2022,15354
DE,1995,11952
DE,1996,12670
DE,1997,13222
DE,1998,13515
DE,1999,13739
DE,2000,14722
DE,2001,15820
DE,2005,15651
DE,2006,15167
DE,2007,17325
DE,2008,18007
DE,2009,17954
DE,2010,17573
DE,2011,18395
DE,2012,19208
DE,2013,19478
DE,2014,19216
DE,2015,20365
DE,2016,21152
DE,2017,21331
DE,2018,21980
DE,2019,22693
DE,2020,24229
DE,2021,23336
DE,2022,23197
DK,2003,15635
DK,2004,15041
DK,2005,15854
DK,2006,16147
DK,2007,16868
DK,2008,17601
DK,2009,17917
DK,2010,17949
DK,2011,19184
DK,2012,19228
DK,2013,19743
DK,2014,19987
DK,2015,20384
DK,2016,21355
DK,2017,20955
DK,2018,21646
DK,2019,22371
DK,2020,21796
DK,2021,22899
DK,2022,23244
EE,2004,4131
EE,2005,4726
EE,2006,5627
EE,2007,6492
EE,2008,7564
EE,2009,8101
EE,2010,7413
EE,2011,7485
EE,2012,7891
EE,2013,8607
EE,2014,9241
EE,2015,10432
EE,2016,11867
EE,2017,12414
EE,2018,13378
EE,2019,14240
EE,2020,14331
EE,2021,14810
EE,2022,17064
EL,1995,6702
EL,1996,7004
EL,1997,7314
EL,1998,7747
EL,1999,7922
EL,2000,8820
EL,2001,9087
EL,2003,10233
EL,2004,10298
EL,2005,10751
EL,2006,11162
EL,2007,11455
EL,2008,12032
EL,2009,12626
EL,2010,12599
EL,2011,11627
EL,2012,10063
EL,2013,9046
EL,2014,8674
EL,2015,8802
EL,2016,9048
EL,2017,9035
EL,2018,9245
EL,2019,9765
EL,2020,10175
EL,2021,9917
EL,2022,10841
ES,1995,7370
ES,1996,7548
ES,1997,7988
ES,1998,8338
ES,1999,8913
ES,2000,9946
ES,2001,10887
ES,2004,11687
ES,2005,11493
ES,2006,12226
ES,2007,12690
ES,2008,15043
ES,2009,15564
ES,2010,14945
ES,2011,14424
ES,2012,14304
ES,2013,14250
ES,2014,14195
ES,2015,14463
ES,2016,15347
ES,2017,15526
ES,2018,16030
ES,2019,16171
ES,2020,16661
ES,2021,16297
ES,2022,17254
FI,1996,10414
FI,1997,10921
FI,1998,11265
FI,1999,11458
FI,2000,11871
FI,2001,12800
FI,2004,13175
FI,2005,14123
FI,2006,14810
FI,2007,15241
FI,2008,16556
FI,2009,17368
FI,2010,17211
FI,2011,17933
FI,2012,18576
FI,2013,19178
FI,2014,19250
FI,2015,19430
FI,2016,19997
FI,2017,19827
FI,2018,20048
FI,2019,20362
FI,2020,20290
FI,2021,20078
FI,2022,20941
FR,1995,11523
FR,1996,11833
FR,1997,11860
FR,1998,12849
FR,1999,13240
FR,2000,13407
FR,2001,14611
FR,2004,13859
FR,2005,14503
FR,2006,14981
FR,2007,15149
FR,2008,17493
FR,2009,17741
FR,2010,17782
FR,2011,18161
FR,2012,18784
FR,2013,19193
FR,2014,19307
FR,2015,19885
FR,2016,20621
FR,2017,20357
FR,2018,20223
FR,2019,20471
FR,2020,19518
FR,2021,20100
FR,2022,20575
HR,2010,7612
HR,2011,7423
HR,2012,7362
HR,2013,7414
HR,2014,7740
HR,2015,8253
HR,2016,8985
HR,2017,9444
HR,2018,9870
HR,2019,10734
HR,2020,11090
HR,2021,11385
HR,2022,12277
HU,2005,5561
HU,2006,6077
HU,2007,6490
HU,2008,6597
HU,2009,6836
HU,2010,6708
HU,2011,7135
HU,2012,7604
HU,2013,7277
HU,2014,7559
HU,2015,7919
HU,2016,8267
HU,2017,8332
HU,2018,8603
HU,2019,9360
HU,2020,9699
HU,2021,9982
HU,2022,10217
IE,1995,8886
IE,1996,9561
IE,1997,9782
IE,1998,11134
IE,1999,11203
IE,2000,11739
IE,2001,13239
IE,2003,13576
IE,2004,14328
IE,2005,15079
IE,2006,15938
IE,2007,17722
IE,2008,18169
IE,2009,17593
IE,2010,16837
IE,2011,16628
IE,2012,16520
IE,2013,16732
IE,2014,16567
IE,2015,17656
IE,2016,18397
IE,2017,18198
IE,2018,19464
IE,2019,19775
IE,2020,19714
IE,2021,20099
IE,2022,20207
IS,2004,16152
IS,2005,17178
IS,2006,18560
IS,2007,19894
IS,2008,21630
IS,2009,21569
IS,2010,18272
IS,2011,18043
IS,2012,18043
IS,2013,19460
IS,2014,20133
IS,2015,20804
IS,2016,22193
IS,2017,22230
IS,2018,23667
IT,1995,8994
IT,1996,9237
IT,1997,9576
IT,1998,9927
IT,1999,10598
IT,2000,11523
IT,2001,11740
IT,2004,13155
IT,2005,13636
IT,2006,13906
IT,2007,14497
IT,2008,15263
IT,2009,15233
IT,2010,15225
IT,2011,15776
IT,2012,15495
IT,2013,15315
IT,2014,15254
IT,2015,15395
IT,2016,16237
IT,2017,16522
IT,2018,16715
IT,2019,17099
IT,2020,17764
IT,2021,17304
IT,2022,18472
LT,2005,3847
LT,2006,4620
LT,2007,5714
LT,2008,6852
LT,2009,7149
LT,2010,6018
LT,2011,6068
LT,2012,6724
LT,2013,7282
LT,2014,7595
LT,2015,8251
LT,2016,9364
LT,2017,9819
LT,2018,10702
LT,2019,11509
LT,2020,12546
LT,2021,13742
LT,2022,14202
LU,1995,18616
LU,1996,19058
LU,1997,20397
LU,1998,20728
LU,1999,20961
LU,2000,22665
LU,2001,23969
LU,2003,25252
LU,2004,26095
LU,2005,27564
LU,2006,26418
LU,2007,26847
LU,2008,26943
LU,2009,27036
LU,2010,26602
LU,2011,26601
LU,2012,26579
LU,2013,28030
LU,2014,28271
LU,2015,29285
LU,2016,27834
LU,2017,29596
LU,2018,27529
LU,2019,28943
LU,2020,28675
LU,2021,32132
LU,2022,33214
LV,2005,3911
LV,2006,4475
LV,2007,5587
LV,2008,7138
LV,2009,7132
LV,2010,5876
LV,2011,5944
LV,2012,6101
LV,2013,6446
LV,2014,7320
LV,2015,8092
LV,2016,9257
LV,2017,9248
LV,2018,10031
LV,2019,11031
LV,2020,11339
LV,2021,11975
LV,2022,12845
LV,2023,13228
ME,2013,5295
ME,2014,5339
ME,2015,5645
ME,2016,6061
ME,2017,6511
ME,2018,6831
ME,2019,6728
ME,2020,6861
ME,2021,6328
ME,2022,7309
MK,2012,3916
MK,2013,3994
MK,2014,4097
MK,2015,4556
MK,2016,4940
MK,2017,5302
MK,2018,5496
MK,2019,5638
MK,2020,5988
MT,2005,11757
MT,2006,12076
MT,2007,12442
MT,2008,13264
MT,2009,13576
MT,2010,13371
MT,2011,14029
MT,2012,14600
MT,2013,15249
MT,2014,15686
MT,2015,16753
MT,2016,17264
MT,2017,17899
MT,2018,17932
MT,2019,18588
MT,2020,18756
MT,2021,19012
MT,2022,20698
NL,1995,10749
NL,1996,11059
NL,1997,11999
NL,1998,12702
NL,1999,13447
NL,2000,13752
NL,2001,13848
NL,2005,16020
NL,2006,16495
NL,2007,17537
NL,2008,19142
NL,2009,19227
NL,2010,18814
NL,2011,18833
NL,2012,18978
NL,2013,19226
NL,2014,18805
NL,2015,19387
NL,2016,21189
NL,2017,21195
NL,2018,21528
NL,2019,21968
NL,2020,22117
NL,2021,24560
NL,2022,25437
NO,2003,18188
NO,2004,18574
NO,2005,18982
NO,2006,20198
NO,2007,20702
NO,2008,23131
NO,2009,24137
NO,2010,23243
NO,2011,24235
NO,2012,25594
NO,2013,26796
NO,2014,27859
NO,2015,28323
NO,2016,27670
NO,2017,26265
NO,2018,26300
NO,2019,26706
NO,2020,27893
NO,2021,26365
NO,2022,27090
PL,2005,4759
PL,2006,5095
PL,2007,5609
PL,2008,6732
PL,2009,7376
PL,2010,7578
PL,2011,8322
PL,2012,8635
PL,2013,9158
PL,2014,9560
PL,2015,9950
PL,2016,10865
PL,2017,11079
PL,2018,11513
PL,2019,12335
PL,2020,13350
PL,2021,13870
PL,2022,14906
PT,1995,6242
PT,1996,6387
PT,1997,6719
PT,1998,6926
PT,1999,7334
PT,2000,7767
PT,2001,8280
PT,2004,8039
PT,2005,8236
PT,2006,8595
PT,2007,8915
PT,2008,9504
PT,2009,9407
PT,2010,9728
PT,2011,9621
PT,2012,9795
PT,2013,9820
PT,2014,10125
PT,2015,10317
PT,2016,10805
PT,2017,10826
PT,2018,10801
PT,2019,11602
PT,2020,12333
PT,2021,12404
PT,2022,12266
RO,2007,2783
RO,2008,3062
RO,2009,3444
RO,2010,3537
RO,2011,3643
RO,2012,3710
RO,2013,3886
RO,2014,4014
RO,2015,4357
RO,2016,4724
RO,2017,5314
RO,2018,6278
RO,2019,7338
RO,2020,7724
RO,2021,8698
RO,2022,10033
RS,2013,4772
RS,2014,4602
RS,2015,4722
RS,2016,4998
RS,2017,5131
RS,2018,5226
RS,2019,6071
RS,2020,6602
RS,2021,6968
RS,2022,7567
SE,2004,14031
SE,2005,14414
SE,2006,15113
SE,2007,15908
SE,2008,17491
SE,2009,18142
SE,2010,17558
SE,2011,18031
SE,2012,18950
SE,2013,20028
SE,2014,19529
SE,2015,20154
SE,2016,20955
SE,2017,20237
SE,2018,20414
SE,2019,20413
SE,2020,20083
SE,2021,20673
SE,2022,20573
SI,2005,11577
SI,2006,12153
SI,2007,12922
SI,2008,13812
SI,2009,14331
SI,2010,13349
SI,2011,13940
SI,2012,14271
SI,2013,14212
SI,2014,14328
SI,2015,15102
SI,2016,15250
SI,2017,15245
SI,2018,15771
SI,2019,16633
SI,2020,16988
SI,2021,17579
SI,2022,18792
SK,2005,3990
SK,2006,4620
SK,2007,5608
SK,2008,6763
SK,2009,7852
SK,2010,8360
SK,2011,8975
SK,2012,9799
SK,2013,9572
SK,2014,9806
SK,2015,10220
SK,2016,10466
SK,2017,9605
SK,2018,9744
SK,2019,10503
SK,2020,10076
SK,2021,9425
SK,2022,9826
TR,2006,3527
TR,2007,4057
TR,2008,4143
TR,2009,4471
TR,2010,4347
TR,2011,4766
TR,2012,5186
TR,2013,5271
TR,2014,5456
TR,2015,5661
TR,2016,6501
TR,2017,6527
TR,2018,6466
TR,2019,6781
TR,2020,6620
TR,2021,6210
UK,1995,11576
UK,1996,11558
UK,1997,12499
UK,1998,13081
UK,1999,12821
UK,2000,13841
UK,2001,14977
UK,2005,16894
UK,2006,17630
UK,2007,18778
UK,2008,18543
UK,2009,16819
UK,2010,15869
UK,2011,15776
UK,2012,16447
UK,2013,16767
UK,2014,16896
UK,2015,17782
UK,2016,17296
UK,2017,18040
UK,2018,18423
XK,2018,3953
