DATAFLOW,LAST UPDATE,freq,age,sex,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AL,2017,3589,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AL,2018,4003,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AL,2019,4252,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AL,2020,4385,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AL,2021,4275,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AT,1995,12695,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AT,1996,12854,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AT,1997,13214,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AT,1998,13452,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AT,1999,13610,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AT,2000,14922,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AT,2001,15780,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AT,2003,15112,b
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AT,2004,16326,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AT,2005,17194,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AT,2006,17420,
ESTAT:ILC_DI03(1.0),02/02/24 23:00:00,A,TOTAL,T,MED_E,PPS,AT,2007,17810,
