country,year,purchasing_power
AL,2000,3200
AL,2001,3600
AL,2002,3800
AL,2003,4100
AL,2004,4400
AL,2005,4800
AL,2006,5200
AL,2007,5800
AL,2008,6400
AL,2009,6700
AL,2010,7300
AL,2011,7600
AL,2012,7800
AL,2013,7600
AL,2014,8100
AL,2015,8400
AL,2016,8400
AL,2017,8800
AL,2018,9200
AL,2019,9500
AL,2020,9200
AL,2021,10300
AL,2022,12100
AT,2000,24400
AT,2001,24600
AT,2002,25600
AT,2003,26400
AT,2004,27600
AT,2005,28700
AT,2006,29900
AT,2007,31100
AT,2008,32100
AT,2009,30900
AT,2010,31800
AT,2011,33100
AT,2012,34300
AT,2013,34600
AT,2014,35000
AT,2015,35900
AT,2016,36600
AT,2017,37200
AT,2018,38600
AT,2019,39400
AT,2020,37400
AT,2021,40000
AT,2022,44000
BA,2005,5600
BA,2006,6300
BA,2007,6900
BA,2008,7400
BA,2009,7200
BA,2010,7400
BA,2011,7700
BA,2012,7800
BA,2013,8000
BA,2014,8100
BA,2015,8500
BA,2016,8900
BA,2017,9200
BA,2018,9800
BA,2019,10200
BA,2020,9900
BA,2021,11000
BA,2022,12300
BE,2000,23100
BE,2001,23800
BE,2002,24800
BE,2003,25400
BE,2004,26200
BE,2005,27200
BE,2006,28000
BE,2007,29000
BE,2008,29400
BE,2009,28500
BE,2010,30100
BE,2011,30500
BE,2012,31200
BE,2013,31500
BE,2014,32200
BE,2015,33200
BE,2016,33800
BE,2017,34600
BE,2018,35600
BE,2019,36800
BE,2020,35600
BE,2021,39100
BE,2022,42400
BG,2000,5300
BG,2001,5800
BG,2002,6400
BG,2003,6900
BG,2004,7500
BG,2005,8300
BG,2006,9000
BG,2007,10000
BG,2008,10900
BG,2009,10500
BG,2010,11100
BG,2011,11700
BG,2012,12100
BG,2013,12000
BG,2014,12600
BG,2015,13200
BG,2016,13900
BG,2017,14700
BG,2018,15600
BG,2019,16600
BG,2020,16400
BG,2021,18500
BG,2022,22000
CH,2000,30200
CH,2001,31000
CH,2002,31500
CH,2003,31600
CH,2004,32600
CH,2005,33800
CH,2006,36500
CH,2007,39900
CH,2008,41500
CH,2009,39800
CH,2010,41100
CH,2011,42800
CH,2012,43900
CH,2013,44500
CH,2014,45400
CH,2015,46900
CH,2016,46800
CH,2017,46800
CH,2018,47900
CH,2019,47900
CH,2020,46600
CH,2021,51500
CH,2022,56300
CY,2000,17700
CY,2001,18900
CY,2002,19300
CY,2003,19900
CY,2004,21200
CY,2005,22700
CY,2006,23900
CY,2007,26000
CY,2008,27000
CY,2009,25600
CY,2010,25400
CY,2011,24900
CY,2012,23600
CY,2013,22000
CY,2014,21600
CY,2015,22900
CY,2016,24900
CY,2017,26400
CY,2018,27600
CY,2019,29100
CY,2020,27300
CY,2021,30600
CY,2022,33400
CZ,2000,13500
CZ,2001,14600
CZ,2002,15000
CZ,2003,16000
CZ,2004,17100
CZ,2005,18100
CZ,2006,19000
CZ,2007,20700
CZ,2008,21600
CZ,2009,20900
CZ,2010,21000
CZ,2011,21600
CZ,2012,21600
CZ,2013,22200
CZ,2014,23300
CZ,2015,24400
CZ,2016,25100
CZ,2017,26700
CZ,2018,27900
CZ,2019,29200
CZ,2020,28100
CZ,2021,30000
CZ,2022,32000
DE,2000,22800
DE,2001,23700
DE,2002,24200
DE,2003,24800
DE,2004,25900
DE,2005,26400
DE,2006,27600
DE,2007,29100
DE,2008,29800
DE,2009,28300
DE,2010,30000
DE,2011,31700
DE,2012,32000
DE,2013,32500
DE,2014,33700
