country,year,tertiary_attainment_percentage
AT,2000,
AT,2001,
AT,2002,
AT,2003,
AT,2004,20.1
AT,2005,19.7
AT,2006,19.0
AT,2007,18.7
AT,2008,19.2
AT,2009,21.0
AT,2010,20.7
AT,2011,20.9
AT,2012,22.8
AT,2013,24.9
AT,2014,38.4
AT,2015,38.6
AT,2016,39.7
AT,2017,40.3
AT,2018,40.5
AT,2019,41.6
AT,2020,41.4
AT,2021,42.4
AT,2022,43.1
BE,2000,36.0
BE,2001,37.5
BE,2002,37.6
BE,2003,38.9
BE,2004,40.7
BE,2005,40.6
BE,2006,41.9
BE,2007,41.3
BE,2008,42.3
BE,2009,42.5
BE,2010,43.8
BE,2011,42.5
BE,2012,43.0
BE,2013,42.7
BE,2014,44.2
BE,2015,43.1
BE,2016,44.3
BE,2017,45.7
BE,2018,47.4
BE,2019,47.3
BE,2020,48.5
BE,2021,50.9
BE,2022,51.4
BG,2000,18.9
BG,2001,23.0
BG,2002,23.1
BG,2003,23.6
BG,2004,24.3
BG,2005,23.7
BG,2006,24.5
BG,2007,24.9
BG,2008,26.0
BG,2009,26.9
BG,2010,27.5
BG,2011,27.2
BG,2012,27.2
BG,2013,29.6
BG,2014,31.3
BG,2015,31.8
BG,2016,32.8
BG,2017,33.4
BG,2018,34.0
BG,2019,32.7
BG,2020,33.0
BG,2021,33.6
BG,2022,33.8
CH,2000,25.6
CH,2001,25.6
CH,2002,26.7
CH,2003,29.2
CH,2004,30.4
CH,2005,31.0
CH,2006,32.2
CH,2007,35.0
CH,2008,38.5
CH,2009,40.0
CH,2010,37.4
CH,2011,38.0
CH,2012,39.3
CH,2013,41.9
CH,2014,44.2
CH,2015,46.5
CH,2016,48.8
CH,2017,50.1
CH,2018,51.2
CH,2019,52.7
CH,2020,53.0
CH,2021,52.3
CH,2022,51.3
CY,2000,32.7
CY,2001,36.2
CY,2002,41.0
CY,2003,43.9
CY,2004,42.7
CY,2005,41.3
CY,2006,44.6
CY,2007,47.0
CY,2008,48.0
CY,2009,47.8
CY,2010,48.1
CY,2011,50.5
CY,2012,53.6
CY,2013,51.4
CY,2014,54.0
CY,2015,54.7
CY,2016,56.2
CY,2017,57.0
CY,2018,58.5
CY,2019,60.3
CY,2020,57.8
CY,2021,58.3
CY,2022,59.2
CZ,2000,11.7
CZ,2001,11.8
CZ,2002,12.1
CZ,2003,12.1
CZ,2004,12.9
CZ,2005,14.2
CZ,2006,15.2
CZ,2007,15.5
CZ,2008,17.7
CZ,2009,20.2
CZ,2010,22.6
CZ,2011,25.1
CZ,2012,27.8
CZ,2013,29.2
CZ,2014,29.9
CZ,2015,31.0
CZ,2016,32.6
CZ,2017,33.8
CZ,2018,33.3
CZ,2019,32.6
CZ,2020,33.0
CZ,2021,34.9
CZ,2022,34.6
DE,2000,22.4
DE,2001,22.2
DE,2002,21.0
DE,2003,21.8
DE,2004,22.9
DE,2005,22.5
DE,2006,22.0
DE,2007,22.6
DE,2008,23.9
DE,2009,25.7
DE,2010,26.0
DE,2011,27.6
DE,2012,28.9
DE,2013,29.9
DE,2014,28.4
DE,2015,29.6
DE,2016,30.5
DE,2017,31.3
DE,2018,32.3
DE,2019,33.3
DE,2020,35.3
DE,2021,36.9
DE,2022,37.1
DK,2000,28.9
DK,2001,31.1
DK,2002,32.3
DK,2003,35.1
DK,2004,37.6
DK,2005,39.8
DK,2006,40.8
DK,2007,36.2
DK,2008,36.2
DK,2009,37.4
DK,2010,37.6
DK,2011,38.6
DK,2012,40.2
DK,2013,40.9
DK,2014,41.6
DK,2015,43.0
DK,2016,44.6
DK,2017,45.5
DK,2018,45.8
DK,2019,47.1
DK,2020,47.1
DK,2021,49.7
DK,2022,49.0
EE,2000,28.4
EE,2001,27.0
EE,2002,26.3
EE,2003,27.4
EE,2004,27.7
EE,2005,33.1
EE,2006,34.5
EE,2007,34.4
EE,2008,35.8
EE,2009,36.8
EE,2010,38.2
EE,2011,39.0
EE,2012,40.1
EE,2013,40.6
EE,2014,40.6
EE,2015,38.5
EE,2016,39.1
EE,2017,40.9
EE,2018,41.1
EE,2019,40.6
EE,2020,40.1
EE,2021,43.2
EE,2022,43.9
EL,2000,23.3
EL,2001,22.9
EL,2002,23.1
EL,2003,23.1
EL,2004,24.8
EL,2005,24.9
EL,2006,26.3
EL,2007,27.3
EL,2008,27.7
EL,2009,28.9
EL,2010,30.6
EL,2011,32.3
EL,2012,34.5
EL,2013,37.2
EL,2014,38.7
EL,2015,40.1
EL,2016,41.0
EL,2017,42.5
EL,2018,42.8
EL,2019,42.4
EL,2020,43.7
EL,2021,44.2
EL,2022,45.2
ES,2000,33.9
ES,2001,35.4
ES,2002,37.5
ES,2003,37.9
ES,2004,39.0
ES,2005,40.7
ES,2006,40.3
ES,2007,40.0
ES,2008,40.0
ES,2009,39.5
ES,2010,40.3
ES,2011,40.3
ES,2012,40.4
ES,2013,41.1
ES,2014,41.5
ES,2015,41.0
ES,2016,41.0
ES,2017,42.6
ES,2018,44.3
ES,2019,46.5
ES,2020,47.4
ES,2021,48.7
ES,2022,50.5
FI,2000,37.8
FI,2001,38.2
FI,2002,37.8
FI,2003,37.9
FI,2004,38.2
FI,2005,37.5
FI,2006,38.5
FI,2007,39.3
FI,2008,38.3
FI,2009,39.4
FI,2010,39.2
FI,2011,39.4
FI,2012,39.7
FI,2013,40.0
FI,2014,40.3
FI,2015,40.2
