country,year,death_rate,assault_rate_per_100k,homicide_rate_per_100k
AT,2008,0.6,47.48,0.7
AT,2009,0.7,48.27,0.61
AT,2010,0.6,43.18,0.73
AT,2011,0.55,46.53,0.96
AT,2012,0.44,47.93,1.05
AT,2013,0.44,39.36,0.75
AT,2014,0.43,37.97,0.51
AT,2015,0.57,40.31,0.49
AT,2016,0.5,43.6,0.56
AT,2017,0.54,41.32,0.7
AT,2018,0.57,42.06,0.83
AT,2019,0.51,43.29,0.84
AT,2020,0.42,39.87,0.61
BE,2008,1.2,715.43,1.91
BE,2009,1.2,722.26,1.76
BE,2010,1.1,717.33,1.74
BE,2011,1.35,716.12,1.95
BE,2012,1.17,651.76,1.86
BE,2013,0.99,624.87,1.83
BE,2014,1.03,629.75,1.88
BE,2015,1.06,555.13,2.06
BE,2016,1.1,556.84,1.55
BE,2017,1.06,552.89,1.74
BE,2018,1,565.92,1.68
BE,2019,0.81,558.87,1.27
BE,2020,0.72,481.62,1.26
BG,2008,1.7,42.78,2.29
BG,2009,2,41.81,2.01
BG,2010,1.6,40.93,1.99
BG,2011,1.28,33.41,1.74
BG,2012,1.52,32.89,1.92
BG,2013,1.22,33.91,1.5
BG,2014,1.33,34.96,1.55
BG,2015,1.38,34.99,1.75
BG,2016,1.08,34.53,1.1
BG,2017,1.17,39.58,1.34
BG,2018,1.18,35.72,1.3
BG,2019,0.97,39.54,1.14
BG,2020,0.72,38.22,0.95
CH,2008,0.6,117.11,0.71
CH,2009,0.7,6.8,0.66
CH,2010,0.5,6.25,0.68
CH,2011,0.53,6.18,0.58
CH,2012,0.49,7.5,0.57
CH,2013,0.54,7.07,0.71
CH,2014,0.4,7.48,0.5
CH,2015,0.57,7.48,0.69
CH,2016,0.35,6.88,0.54
CH,2017,0.38,6.96,0.53
CH,2018,0.46,6.9,0.59
CH,2019,0.4,7.46,0.54
CH,2020,0.52,7.79,0.55
CY,2008,1.2,21.51,1.16
CY,2009,2.2,27.48,2.38
CY,2010,0.4,21.12,0.85
CY,2011,2.34,19.53,0.95
CY,2012,1.94,17.17,2.2
CY,2013,1.36,15.24,1.27
CY,2014,1.14,15.62,1.17
CY,2015,1.49,16.88,1.42
CY,2016,1.25,17.09,1.3
CY,2017,1,16.85,0.82
CY,2018,1.57,15.27,1.62
CY,2019,1.43,20.09,1.48
CY,2020,1.43,15.32,1.69
CZ,2008,0.7,52.18,1.09
CZ,2009,0.8,45.62,1.01
CZ,2010,0.8,45.75,1
CZ,2011,0.86,50.2,0.79
CZ,2012,0.9,49.88,0.9
CZ,2013,0.87,51.14,0.86
CZ,2014,0.74,49.46,0.77
CZ,2015,0.84,49.62,0.84
CZ,2016,0.5,47.85,0.62
CZ,2017,0.62,45.06,0.38
CZ,2018,0.53,46.81,0.52
CZ,2019,0.72,43.98,0.76
CZ,2020,0.59,36.39,0.53
DE,2008,0.5,630.64,0.8
DE,2009,0.5,182.07,0.88
DE,2010,0.6,174.69,0.85
DE,2011,0.54,173.38,0.86
DE,2012,0.53,169.4,0.77
DE,2013,0.5,158.8,0.77
DE,2014,0.46,155.7,0.8
DE,2015,0.53,156.9,0.81
DE,2016,0.46,170.41,0.91
DE,2017,0.44,166.09,0.89
DE,2018,0.4,165.14,0.76
DE,2019,0.4,160.31,0.71
DE,2020,0.44,156.86,0.86
DK,2008,0.8,30.37,0.96
DK,2009,0.8,29.08,1.01
DK,2011,0.8,30.5,0.88
DK,2012,0.34,29.69,0.77
DK,2013,0.35,26.83,0.73
DK,2014,0.74,27.24,1.1
DK,2015,0.6,25.8,0.92
DK,2016,0.47,30.36,0.93
DK,2017,0.81,33.12,1.06
DK,2018,0.68,32.12,0.93
DK,2019,0.63,33.9,0.91
DK,2020,0.62,32.13,0.88
EE,2008,6.8,10.46,6.28
EE,2009,6.1,7.94,5.24
EE,2010,4.7,7.73,5.25
EE,2011,4.73,7.82,4.89
EE,2012,4.89,7.47,4.75
EE,2013,3.98,7.5,3.94
EE,2014,3.19,5.85,3.12
EE,2015,3.64,7.45,3.8
EE,2016,2.65,7.07,2.51
EE,2017,2.28,5.78,2.2
EE,2018,2.26,6.82,1.9
EE,2019,1.95,5.89,1.74
EE,2020,3.19,5.79,2.78
EL,2008,1.3,3.89,1.29
EL,2009,1.4,4.3,1.36
EL,2010,1.4,9.9,1.58
EL,2011,1.54,12.81,1.65
EL,2012,1.4,15.26,1.49
EL,2013,1.35,14.63,1.28
EL,2014,1.06,13.35,0.96
EL,2015,0.85,14.96,0.79
EL,2016,0.77,14.05,0.75
EL,2017,0.82,14.02,0.72
EL,2018,0.91,14.77,0.88
EL,2019,0.8,14.97,0.71
EL,2020,0.74,11.99,0.68
ES,2008,0.8,159.41,0.89
ES,2009,0.7,174.98,0.89
ES,2010,0.7,53.94,0.86
ES,2011,0.68,39.19,0.82
ES,2012,0.62,37.06,0.78
ES,2013,0.65,35.74,0.65
ES,2014,0.64,36.07,0.69
ES,2015,0.58,62.55,0.65
ES,2016,0.57,37.32,0.63
ES,2017,0.64,38.87,0.66
ES,2018,0.55,39.2,0.62
ES,2019,0.58,42.73,0.71
ES,2020,0.59,33.81,0.63
FI,2008,2.2,42.03,3.02
FI,2009,2,39.11,2.59
FI,2010,1.9,36.89,2.49
FI,2011,1.79,37.86,2.49
FI,2012,1.33,34.36,1.98
FI,2013,1.48,33,1.97
FI,2014,1.41,30.18,2.05
FI,2015,1.31,28.56,2.12
FI,2016,1.17,29.01,1.75
FI,2017,1.11,28.73,1.34
FI,2018,1.22,29.18,1.72
FI,2019,1.15,28.71,1.5
FI,2020,1.31,31.74,1.72
FR,2008,0.8,293.62,1.52
FR,2009,0.9,342.07,1.25
FR,2010,0.8,358.67,1.23
FR,2011,0.69,355.97,1.35
FR,2012,0.69,355,1.25
FR,2013,0.66,355.64,1.22
FR,2014,0.48,360.8,1.16
FR,2015,0.51,364.25,1.32
FR,2016,0.47,399.97,1.17
FR,2017,0.43,415.49,1.06
FR,2018,0.67,447.15,1.04
FR,2019,0.73,479.29,1.12
FR,2020,0.73,470.34,1.03
HR,2008,1.7,26.16,1.65
HR,2009,1.3,24.57,1.14
HR,2010,1.4,22.92,1.44
HR,2011,1.14,20.35,1.14
HR,2012,1.23,21.12,1.19
HR,2013,1.12,19.31,1.08
HR,2014,0.88,18.04,0.85
HR,2015,0.9,19.03,0.88
HR,2016,1.23,18.85,1.05
HR,2017,1.21,19.21,1.11
