country,year,assault_rate_per_100k
AL,2008,11.45
AL,2009,11.9
AL,2011,5.97
AL,2014,4.55
AL,2015,5.84
AL,2016,4.08
AL,2017,4.35
AL,2018,4.7
AL,2019,5.52
AL,2020,5.34
AL,2021,5.76
AT,2008,47.48
AT,2009,48.27
AT,2010,43.18
AT,2011,46.53
AT,2012,47.93
AT,2013,39.36
AT,2014,37.97
AT,2015,40.31
AT,2016,43.6
AT,2017,41.32
AT,2018,42.06
AT,2019,43.29
AT,2020,39.87
AT,2021,40.41
BA,2008,38.35
BA,2010,13.14
BA,2011,16.97
BA,2012,16.1
BE,2008,715.43
BE,2009,722.26
BE,2010,717.33
BE,2011,716.12
BE,2012,651.76
BE,2013,624.87
BE,2014,629.75
BE,2015,555.13
BE,2016,556.84
BE,2017,552.89
BE,2018,565.92
BE,2019,558.87
BE,2020,481.62
BE,2021,502.93
BG,2008,42.78
BG,2009,41.81
BG,2010,40.93
BG,2011,33.41
BG,2012,32.89
BG,2013,33.91
BG,2014,34.96
BG,2015,34.99
BG,2016,34.53
BG,2017,39.58
BG,2018,35.72
BG,2019,39.54
BG,2020,38.22
BG,2021,39.88
CH,2008,117.11
CH,2009,6.8
CH,2010,6.25
CH,2011,6.18
CH,2012,7.5
CH,2013,7.07
CH,2014,7.48
CH,2015,7.48
CH,2016,6.88
CH,2017,6.96
CH,2018,6.9
CH,2019,7.46
CH,2020,7.79
CH,2021,7.52
CY,2008,21.51
CY,2009,27.48
CY,2010,21.12
CY,2011,19.53
CY,2012,17.17
CY,2013,15.24
CY,2014,15.62
CY,2015,16.88
CY,2016,17.09
CY,2017,16.85
CY,2018,15.27
CY,2019,20.09
CY,2020,15.32
CY,2021,19.98
CZ,2008,52.18
CZ,2009,45.62
CZ,2010,45.75
CZ,2011,50.2
CZ,2012,49.88
CZ,2013,51.14
CZ,2014,49.46
CZ,2015,49.62
CZ,2016,47.85
CZ,2017,45.06
CZ,2018,46.81
CZ,2019,43.98
CZ,2020,36.39
CZ,2021,34.58
DE,2008,630.64
DE,2009,182.07
DE,2010,174.69
DE,2011,173.38
DE,2012,169.4
DE,2013,158.8
