country,year,death_rate
AL,2004,4.3
AT,2000,1.0
AT,2001,1.0
AT,2002,0.9
AT,2003,0.6
AT,2004,0.8
AT,2005,0.8
AT,2006,0.8
AT,2007,0.6
AT,2008,0.6
AT,2009,0.7
AT,2010,0.6
AT,2011,0.55
AT,2012,0.44
AT,2013,0.44
AT,2014,0.43
AT,2015,0.57
AT,2016,0.5
AT,2017,0.54
AT,2018,0.57
AT,2019,0.51
AT,2020,0.42
BE,2003,1.4
BE,2004,1.7
BE,2005,1.5
BE,2006,1.4
BE,2007,1.5
BE,2008,1.2
BE,2009,1.2
BE,2010,1.1
BE,2011,1.35
BE,2012,1.17
BE,2013,0.99
BE,2014,1.03
BE,2015,1.06
BE,2016,1.1
BE,2017,1.06
BE,2018,1.0
BE,2019,0.81
BE,2020,0.72
BG,2000,3.6
BG,2001,3.1
BG,2002,3.0
BG,2003,2.9
BG,2004,2.9
BG,2005,2.4
BG,2006,1.9
BG,2007,1.9
BG,2008,1.7
BG,2009,2.0
BG,2010,1.6
BG,2011,1.28
BG,2012,1.52
BG,2013,1.22
BG,2014,1.33
BG,2015,1.38
BG,2016,1.08
BG,2017,1.17
BG,2018,1.18
BG,2019,0.97
BG,2020,0.72
CH,2000,0.8
CH,2001,1.1
CH,2002,1.0
CH,2003,0.7
CH,2004,0.9
CH,2005,0.8
CH,2006,0.6
CH,2007,0.6
CH,2008,0.6
CH,2009,0.7
CH,2010,0.5
CH,2011,0.53
CH,2012,0.49
CH,2013,0.54
CH,2014,0.4
CH,2015,0.57
CH,2016,0.35
CH,2017,0.38
CH,2018,0.46
CH,2019,0.4
CH,2020,0.52
CY,2004,1.4
CY,2005,1.9
CY,2006,1.8
CY,2007,1.4
CY,2008,1.2
CY,2009,2.2
CY,2010,0.4
CY,2011,2.34
CY,2012,1.94
CY,2013,1.36
CY,2014,1.14
CY,2015,1.49
CY,2016,1.25
CY,2017,1.0
CY,2018,1.57
CY,2019,1.43
CY,2020,1.43
CZ,2000,1.5
CZ,2001,1.3
CZ,2002,1.3
CZ,2003,1.4
CZ,2004,1.2
CZ,2005,0.9
CZ,2006,1.0
CZ,2007,1.0
CZ,2008,0.7
CZ,2009,0.8
CZ,2010,0.8
CZ,2011,0.86
CZ,2012,0.9
CZ,2013,0.87
CZ,2014,0.74
CZ,2015,0.84
CZ,2016,0.5
CZ,2017,0.62
CZ,2018,0.53
CZ,2019,0.72
CZ,2020,0.59
DE,2000,0.7
DE,2001,0.7
DE,2002,0.7
DE,2003,0.7
DE,2004,0.6
DE,2005,0.5
DE,2006,0.6
DE,2007,0.5
DE,2008,0.5
DE,2009,0.5
DE,2010,0.6
DE,2011,0.54
DE,2012,0.53
DE,2013,0.5
DE,2014,0.46
DE,2015,0.53
DE,2016,0.46
DE,2017,0.44
DE,2018,0.4
DE,2019,0.4
DE,2020,0.44
DK,2000,1.2
DK,2001,0.9
DK,2002,0.9
DK,2003,1.1
DK,2004,0.7
DK,2005,1.0
DK,2006,0.7
DK,2007,0.9
DK,2008,0.8
DK,2009,0.8
DK,2011,0.8
DK,2012,0.34
DK,2013,0.35
DK,2014,0.74
DK,2015,0.6
DK,2016,0.47
DK,2017,0.81
DK,2018,0.68
DK,2019,0.63
DK,2020,0.62
EE,2000,14.9
EE,2001,15.5
EE,2002,11.8
EE,2003,10.9
EE,2004,8.3
EE,2005,9.4
EE,2006,7.5
EE,2007,7.1
EE,2008,6.8
EE,2009,6.1
EE,2010,4.7
EE,2011,4.73
EE,2012,4.89
EE,2013,3.98
EE,2014,3.19
EE,2015,3.64
EE,2016,2.65
EE,2017,2.28
EE,2018,2.26
EE,2019,1.95
