DATAFLOW,LAST UPDATE,freq,unit,icd10,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AL,2004,4.3,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2000,1.0,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2001,1.0,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2002,0.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2003,0.6,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2004,0.8,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2005,0.8,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2006,0.8,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2007,0.6,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2008,0.6,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2009,0.7,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2010,0.6,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2011,0.55,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2012,0.44,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2013,0.44,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2014,0.43,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2015,0.57,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2016,0.5,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2017,0.54,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2018,0.57,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2019,0.51,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,AT,2020,0.42,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2003,1.4,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2004,1.7,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2005,1.5,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2006,1.4,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2007,1.5,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2008,1.2,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2009,1.2,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2010,1.1,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2011,1.35,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2012,1.17,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2013,0.99,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2014,1.03,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2015,1.06,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2016,1.1,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2017,1.06,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2018,1,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2019,0.81,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BE,2020,0.72,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2000,3.6,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2001,3.1,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2002,3.0,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2003,2.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2004,2.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2005,2.4,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2006,1.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2007,1.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2008,1.7,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2009,2.0,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2010,1.6,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2011,1.28,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2012,1.52,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2013,1.22,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2014,1.33,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2015,1.38,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2016,1.08,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2017,1.17,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2018,1.18,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2019,0.97,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,BG,2020,0.72,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,CH,2000,0.8,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,CH,2001,1.1,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,CH,2002,1.0,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,CH,2003,0.7,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,CH,2004,0.9,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,CH,2005,0.8,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,CH,2006,0.6,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,CH,2007,0.6,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,CH,2008,0.6,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,CH,2009,0.7,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,CH,2010,0.5,
ESTAT:SDG_16_10(1.0),18/10/23 23:00:00,A,RT,X85-Y09_Y871,TOTAL,T,CH,2011,0.53,
