country,year,homicide_rate_per_100k
AL,2008,2.78
AL,2009,2.57
AL,2011,4.38
AL,2014,3.38
AL,2015,1.86
AL,2016,2.46
AL,2017,1.81
AL,2018,1.78
AL,2019,2.03
AL,2020,1.83
AL,2021,2.16
AT,2008,0.7
AT,2009,0.61
AT,2010,0.73
AT,2011,0.96
AT,2012,1.05
AT,2013,0.75
AT,2014,0.51
AT,2015,0.49
AT,2016,0.56
AT,2017,0.7
AT,2018,0.83
AT,2019,0.84
AT,2020,0.61
AT,2021,0.66
BA,2008,1.72
BA,2009,1.74
BA,2010,1.4
BA,2011,1.27
BA,2012,1.56
BE,2008,1.91
BE,2009,1.76
BE,2010,1.74
BE,2011,1.95
BE,2012,1.86
BE,2013,1.83
BE,2014,1.88
BE,2015,2.06
BE,2016,1.55
BE,2017,1.74
BE,2018,1.68
BE,2019,1.27
BE,2020,1.26
BE,2021,1.26
BG,2008,2.29
BG,2009,2.01
BG,2010,1.99
BG,2011,1.74
BG,2012,1.92
BG,2013,1.5
BG,2014,1.55
BG,2015,1.75
BG,2016,1.1
BG,2017,1.34
BG,2018,1.3
BG,2019,1.14
BG,2020,0.95
BG,2021,1.27
CH,2008,0.71
CH,2009,0.66
CH,2010,0.68
CH,2011,0.58
CH,2012,0.57
CH,2013,0.71
CH,2014,0.5
CH,2015,0.69
CH,2016,0.54
CH,2017,0.53
CH,2018,0.59
CH,2019,0.54
CH,2020,0.55
CH,2021,0.48
CY,2008,1.16
CY,2009,2.38
CY,2010,0.85
CY,2011,0.95
CY,2012,2.2
CY,2013,1.27
CY,2014,1.17
CY,2015,1.42
CY,2016,1.3
CY,2017,0.82
CY,2018,1.62
CY,2019,1.48
CY,2020,1.69
CY,2021,1.56
CZ,2008,1.09
CZ,2009,1.01
CZ,2010,1.0
CZ,2011,0.79
CZ,2012,0.9
CZ,2013,0.86
CZ,2014,0.77
CZ,2015,0.84
CZ,2016,0.62
CZ,2017,0.38
CZ,2018,0.52
CZ,2019,0.76
CZ,2020,0.53
CZ,2021,0.43
DE,2008,0.8
DE,2009,0.88
DE,2010,0.85
DE,2011,0.86
DE,2012,0.77
DE,2013,0.77
DE,2014,0.8
DE,2015,0.81
DE,2016,0.91
DE,2017,0.89
DE,2018,0.76
DE,2019,0.71
DE,2020,0.86
DE,2021,0.76
DK,2008,0.96
DK,2009,1.01
DK,2010,0.89
DK,2011,0.88
DK,2012,0.77
DK,2013,0.73
DK,2014,1.1
DK,2015,0.92
DK,2016,0.93
DK,2017,1.06
DK,2018,0.93
DK,2019,0.91
DK,2020,0.88
DK,2021,0.72
EE,2008,6.28
EE,2009,5.24
EE,2010,5.25
EE,2011,4.89
EE,2012,4.75
EE,2013,3.94
EE,2014,3.12
EE,2015,3.8
EE,2016,2.51
EE,2017,2.2
EE,2018,1.9
EE,2019,1.74
EE,2020,2.78
EE,2021,1.35
EL,2008,1.29
EL,2009,1.36
EL,2010,1.58
EL,2011,1.65
EL,2012,1.49
EL,2013,1.28
EL,2014,0.96
EL,2015,0.79
EL,2016,0.75
EL,2017,0.72
EL,2018,0.88
EL,2019,0.71
EL,2020,0.68
EL,2021,0.83
ES,2008,0.89
ES,2009,0.89
ES,2010,0.86
ES,2011,0.82
ES,2012,0.78
ES,2013,0.65
ES,2014,0.69
ES,2015,0.65
ES,2016,0.63
ES,2017,0.66
ES,2018,0.62
ES,2019,0.71
ES,2020,0.63
ES,2021,0.61
FI,2008,3.02
FI,2009,2.59
FI,2010,2.49
FI,2011,2.49
FI,2012,1.98
FI,2013,1.97
FI,2014,2.05
FI,2015,2.12
FI,2016,1.75
FI,2017,1.34
FI,2018,1.72
FI,2019,1.5
FI,2020,1.72
FI,2021,1.7
FR,2008,1.52
FR,2009,1.25
FR,2010,1.23
FR,2011,1.35
FR,2012,1.25
FR,2013,1.22
FR,2014,1.16
FR,2015,1.32
FR,2016,1.17
FR,2017,1.06
FR,2018,1.04
FR,2019,1.12
FR,2020,1.03
FR,2021,1.08
HR,2008,1.65
HR,2009,1.14
HR,2010,1.44
HR,2011,1.14
HR,2012,1.19
HR,2013,1.08
HR,2014,0.85
HR,2015,0.88
HR,2016,1.05
HR,2017,1.11
HR,2018,0.58
HR,2019,0.81
HR,2020,0.99
HR,2021,0.82
HU,2008,1.46
HU,2009,1.39
HU,2010,1.33
HU,2011,1.42
HU,2012,1.14
HU,2013,1.39
HU,2014,1.31
HU,2015,2.05
HU,2016,0.93
HU,2017,0.87
HU,2018,0.85
HU,2019,0.59
HU,2020,0.79
HU,2021,0.69
IE,2008,1.14
IE,2009,1.17
IE,2010,1.21
IE,2011,0.92
IE,2012,1.13
IE,2013,1.11
IE,2014,1.15
IE,2015,0.64
IE,2016,0.72
IE,2017,0.82
IE,2018,0.81
IE,2019,0.67
IE,2020,0.66
IE,2021,0.44
IS,2008,0.0
IS,2009,0.31
IS,2010,0.63
IS,2011,0.94
IS,2012,0.31
IS,2013,0.31
IS,2014,0.61
IS,2015,0.91
IS,2016,0.3
IS,2017,0.89
IS,2018,0.57
IS,2019,0.28
IS,2020,0.82
IS,2021,0.54
IT,2008,1.05
IT,2009,1.0
IT,2010,0.89
IT,2011,0.93
IT,2012,0.89
IT,2013,0.85
IT,2014,0.8
IT,2015,0.77
IT,2016,0.67
IT,2017,0.62
IT,2018,0.59
IT,2019,0.53
IT,2020,0.48
IT,2021,0.51
LI,2008,2.83
LI,2009,0.0
LI,2010,2.79
LI,2011,0.0
LI,2012,0.0
LI,2013,0.0
LI,2014,2.69
LI,2015,0.0
LI,2016,0.0
LI,2017,2.64
LI,2018,2.62
LI,2019,0.0
LI,2020,2.58
LT,2008,8.9
LT,2009,7.54
LT,2010,6.33
LT,2011,6.19
LT,2012,6.03
LT,2013,5.79
LT,2014,5.27
LT,2015,5.75
LT,2016,4.92
LT,2017,3.97
LT,2018,3.45
LT,2019,3.01
LT,2020,3.54
LT,2021,2.5
LU,2008,1.45
LU,2009,1.01
LU,2010,1.59
LU,2011,0.78
LU,2012,0.57
LU,2013,0.37
LU,2014,0.73
LU,2015,0.89
LU,2016,0.87
LU,2017,0.34
LU,2018,0.5
LU,2019,0.65
LU,2020,0.32
LU,2021,0.47
LV,2008,4.52
LV,2009,4.99
LV,2010,3.3
LV,2011,3.33
LV,2012,4.74
LV,2013,3.41
LV,2014,3.85
LV,2015,4.08
LV,2016,5.64
LV,2017,5.59
LV,2018,5.22
LV,2019,4.74
LV,2020,4.88
LV,2021,5.18
ME,2008,3.57
ME,2009,1.62
ME,2010,2.1
ME,2011,3.07
ME,2012,2.42
ME,2013,1.45
ME,2014,3.06
ME,2015,2.73
ME,2016,3.86
ME,2017,1.77
ME,2018,2.09
ME,2019,3.38
ME,2020,2.57
ME,2021,2.26
MK,2008,1.71
MK,2009,1.71
MK,2010,1.9
MK,2011,1.31
MK,2012,1.36
MK,2013,0.97
MK,2014,1.21
MK,2015,1.01
MK,2016,0.82
MK,2017,1.21
MT,2008,1.47
MT,2009,0.97
MT,2010,0.97
MT,2011,0.72
MT,2012,2.39
MT,2013,1.42
MT,2014,1.41
MT,2015,0.93
MT,2016,1.11
MT,2017,1.96
MT,2018,1.26
MT,2019,0.81
MT,2020,1.17
MT,2021,0.39
NL,2008,0.91
NL,2009,0.93
NL,2013,0.88
NL,2014,0.86
NL,2015,0.71
NL,2016,0.64
NL,2017,0.92
NL,2018,0.69
NL,2019,0.72
NL,2020,0.7
NL,2021,0.72
NO,2008,0.72
NO,2009,0.6
NO,2010,0.6
NO,2011,2.26
NO,2012,0.54
NO,2013,0.93
NO,2014,0.57
NO,2015,0.46
NO,2016,0.52
NO,2017,0.53
NO,2018,0.47
NO,2019,0.53
NO,2020,0.58
NO,2021,0.54
PL,2008,1.21
PL,2009,1.29
PL,2010,1.15
PL,2011,1.18
PL,2012,0.99
PL,2013,0.78
PL,2014,0.74
PL,2015,0.76
PL,2016,0.67
PL,2017,0.73
PL,2018,0.7
PL,2019,0.54
PL,2020,0.69
PL,2021,0.7
PT,2008,1.17
PT,2009,1.23
PT,2010,1.17
PT,2011,1.08
PT,2012,1.16
PT,2013,1.37
PT,2014,0.88
PT,2015,0.96
PT,2016,0.64
PT,2017,0.74
PT,2018,0.79
PT,2019,0.71
PT,2020,0.79
PT,2021,0.8
RO,2008,2.28
RO,2009,1.94
RO,2010,1.88
RO,2011,1.56
RO,2012,1.88
RO,2013,1.68
RO,2014,1.49
RO,2015,1.46
RO,2016,1.25
RO,2017,1.3
RO,2018,1.37
