country,year,life_expectancy,healthy_expectancy_2004_2021
AT,2004,79.3,59.3
AT,2005,79.5,58.8
AT,2006,80.1,59.9
AT,2007,80.3,60.1
AT,2008,80.6,59.2
AT,2009,80.5,60.1
AT,2010,80.7,60.1
AT,2011,81.1,59.8
AT,2012,81.1,61.4
AT,2013,81.3,59.9
AT,2014,81.6,57.7
AT,2015,81.3,58
AT,2016,81.8,57
AT,2017,81.7,57.1
AT,2018,81.8,56.9
AT,2019,82,57.3
AT,2020,81.3,58.7
AT,2021,81.3,61.8
BE,2004,79,58.7
BE,2005,79.1,62.4
BE,2006,79.5,63.2
BE,2007,79.9,63.7
BE,2008,79.8,63.7
BE,2009,80.2,63.9
BE,2010,80.3,63.3
BE,2011,80.7,63.5
BE,2012,80.5,64.6
BE,2013,80.7,63.9
BE,2014,81.4,64.1
BE,2015,81.1,64.2
BE,2016,81.5,63.7
BE,2017,81.6,63.7
BE,2018,81.7,63.4
BE,2019,82.1,62.4
BE,2020,80.8,63.8
BE,2021,81.9,64.6
BG,2006,72.7,69
BG,2007,73,70.4
BG,2008,73.3,63.9
BG,2009,73.7,63.9
BG,2010,73.8,65
BG,2011,74.2,64
BG,2012,74.4,63.9
BG,2013,74.9,64.5
BG,2014,74.5,64
BG,2015,74.7,63.2
BG,2016,74.9,65.7
BG,2017,74.8,64.5
BG,2018,75,65.8
BG,2019,75.1,66.3
BG,2020,73.6,65.6
BG,2021,71.4,63.3
CH,2007,82,64.5
CH,2008,82.3,65.2
CH,2009,82.3,64.2
CH,2010,82.7,64.5
CH,2011,82.8,65.5
CH,2012,82.8,68.2
CH,2013,82.9,60
CH,2014,83.3,58.6
CH,2015,83,59.4
CH,2016,83.7,59.4
CH,2017,83.7,60.6
CH,2018,83.8,60.5
CH,2019,84,60.6
CH,2020,83.1,61.5
CH,2021,83.9,61.4
CY,2005,78.7,59
CY,2006,80.1,63.7
CY,2007,79.8,63
CY,2008,80.6,64.2
CY,2009,81,65
CY,2010,81.5,64.7
CY,2011,81.2,61.3
CY,2012,81.1,63.7
CY,2013,82.5,64.7
CY,2014,82.3,66
CY,2015,81.8,63.3
CY,2016,82.7,68.2
CY,2017,82.2,65.2
CY,2018,82.9,62.2
CY,2019,82.3,62.5
CY,2020,82.4,62.9
CY,2021,81.3,65.7
CZ,2005,76.1,59
CZ,2006,76.7,58.9
CZ,2007,77,62.4
CZ,2008,77.3,62.4
CZ,2009,77.4,61.8
CZ,2010,77.7,63.3
CZ,2011,78,62.9
CZ,2012,78.1,63.2
CZ,2013,78.3,63.3
CZ,2014,78.9,64.1
CZ,2015,78.7,63
CZ,2016,79.1,63.3
CZ,2017,79.1,61.4
CZ,2018,79.1,62.7
CZ,2019,79.3,62
CZ,2020,78.2,61.6
CZ,2021,77.2,62
DE,2005,79.4,54.6
DE,2006,79.9,58.5
DE,2007,80.1,58.8
DE,2008,80.2,57
DE,2009,80.3,57.6
DE,2010,80.5,58.3
DE,2011,80.6,58.2
DE,2012,80.7,57.6
DE,2013,80.6,57.4
DE,2014,81.2,56.5
DE,2015,80.7,66.4
DE,2016,81,66.4
DE,2017,81.1,66
DE,2018,81,65.8
DE,2019,81.3,66.3
DE,2020,81.1,65.7
DE,2021,80.8,65.6
DK,2004,77.8,68.6
DK,2005,78.3,68.4
DK,2006,78.4,67.5
DK,2007,78.4,67.5
DK,2008,78.8,61.6
DK,2009,79,61.1
DK,2010,79.3,62
DK,2011,79.9,61.8
DK,2012,80.2,61.4
DK,2013,80.4,60.5
DK,2014,80.7,60.9
DK,2015,80.8,59.1
DK,2016,80.9,60.3
DK,2017,81.1,59.7
DK,2018,81,60.9
DK,2019,81.5,58.9
DK,2020,81.6,58
DK,2021,81.5,56.6
EE,2004,72.4,51.9
EE,2005,73,50.4
EE,2006,73.2,51.8
EE,2007,73.2,52.3
EE,2008,74.4,55.3
EE,2009,75.3,57.1
EE,2010,76,56.2
EE,2011,76.6,56.1
EE,2012,76.7,55.1
EE,2013,77.5,55.5
EE,2014,77.4,55.2
EE,2015,78,55
EE,2016,78,56.8
EE,2017,78.4,56
EE,2018,78.5,53.9
EE,2019,79,55.8
EE,2020,78.9,57.6
EE,2021,77.2,56.5
EL,2004,79.4,64.8
EL,2005,79.6,66.8
EL,2006,79.9,67.4
EL,2007,79.7,66.8
EL,2008,80.2,65.9
EL,2009,80.4,66.4
EL,2010,80.6,66.9
EL,2011,80.8,66.6
EL,2012,80.7,64.9
EL,2013,81.4,64.9
EL,2014,81.5,64.5
EL,2015,81.1,64
EL,2016,81.5,64.3
EL,2017,81.4,64.8
EL,2018,81.9,65.4
EL,2019,81.7,66
EL,2020,81.4,65.9
EL,2021,80.2,65.6
ES,2004,80.4,62.7
ES,2005,80.3,63.3
ES,2006,81.1,63.8
ES,2007,81.1,63.4
ES,2008,81.5,63.8
ES,2009,81.9,62.7
ES,2010,82.4,64.2
ES,2011,82.6,65.5
ES,2012,82.5,65.3
ES,2013,83.2,64.3
ES,2014,83.3,65
ES,2015,83,64
ES,2016,83.5,66.2
ES,2017,83.4,69.4
ES,2018,83.5,68
ES,2019,84,69.9
ES,2020,82.4,66.3
ES,2021,83.3,62.8
FI,2004,79,53.2
FI,2005,79.1,52.1
FI,2006,79.5,52.9
FI,2007,79.6,57.3
FI,2008,79.9,59.1
FI,2009,80.1,58.4
FI,2010,80.2,58.2
FI,2011,80.6,58
FI,2012,80.7,56.7
FI,2014,81.3,58.2
FI,2015,81.6,57.8
FI,2016,81.5,58.1
FI,2017,81.7,57.4
FI,2018,81.8,57.4
FI,2019,82.1,56.4
FI,2020,82,56.9
FI,2021,81.9,61.7
FR,2004,80.3,62.9
FR,2005,80.3,63.5
FR,2006,80.9,63.6
FR,2007,81.3,63.6
FR,2008,81.4,63.7
FR,2009,81.5,63.1
FR,2010,81.8,62.6
FR,2011,82.3,63.1
FR,2012,82.1,63.2
FR,2013,82.4,63.6
FR,2014,82.9,63.8
FR,2015,82.4,63.6
FR,2016,82.7,63.4
FR,2017,82.7,63.7
FR,2018,82.8,63.9
FR,2019,83,64.1
FR,2020,82.3,64.6
FR,2021,82.4,66.2
HR,2010,76.7,59
HR,2011,77.2,60.7
HR,2012,77.3,63.1
HR,2013,77.8,59
HR,2014,77.9,59.3
HR,2015,77.5,56.1
HR,2016,78.2,57.9
HR,2017,78,57.6
HR,2018,78.2,57.5
HR,2019,78.6,57.4
HR,2020,77.8,58.5
HR,2021,76.7,58.6
HU,2005,73,53.2
HU,2006,73.5,55.8
HU,2007,73.6,56.5
HU,2008,74.2,56.5
HU,2009,74.4,57
HU,2010,74.7,57.5
HU,2011,75.1,58.4
HU,2012,75.3,59.8
HU,2013,75.8,59.5
HU,2014,76,59.9
HU,2015,75.7,59.1
HU,2016,76.2,59.8
HU,2017,76,60.2
HU,2018,76.2,61.1
HU,2019,76.5,61.7
HU,2020,75.7,62.5
HU,2021,74.3,62.5
IE,2004,78.6,63.2
IE,2005,79,63.3
IE,2006,79.3,63.8
IE,2007,79.7,64.2
IE,2008,80.2,64.3
IE,2009,80.2,64.6
IE,2010,80.8,66.4
IE,2011,80.9,67.2
IE,2012,80.9,67.2
IE,2013,81,66.9
IE,2014,81.4,66.9
IE,2015,81.5,67.2
IE,2016,81.7,68.5
IE,2017,82.2,68.6
IE,2018,82.2,69.4
IE,2019,82.8,69.6
IE,2020,82.6,66.2
IE,2021,82.4,67.2
IS,2004,81.1,64.2
IS,2005,81.5,66.1
IS,2006,81.2,67
IS,2007,81.5,72.3
IS,2008,81.6,70.3
IS,2009,81.8,68.8
IS,2010,81.9,68.8
IS,2011,82.4,68.5
IS,2012,83,69.3
IS,2013,82.1,69.3
IS,2014,82.9,68.8
IS,2015,82.5,68.9
IS,2016,82.2,66.7
IS,2017,82.6,63.1
