DATAFLOW,LAST UPDATE,freq,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,AT,1995,60.0,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,AT,1996,62.3,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,AT,1997,62.2,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,AT,1998,63.4,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,AT,1999,63.6,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,AT,2000,64.6,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,AT,2001,64.2,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,AT,2002,65.6,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,AT,2003,66.2,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,BE,1995,63.3,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,BE,1996,64.1,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,BE,1997,66.5,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,BE,1998,63.3,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,BE,1999,66.0,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,BE,2000,65.7,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,BE,2001,66.6,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,BE,2002,66.9,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,BE,2003,67.4,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,CY,2003,68.4,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,CZ,2002,62.8,p
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DE,1995,60.0,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DE,1996,60.8,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DE,1997,61.9,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DE,1998,62.1,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DE,1999,62.3,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DE,2000,63.2,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DE,2001,64.1,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DE,2002,64.4,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DE,2003,65.0,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DK,1995,61.6,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DK,1996,61.7,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DK,1997,61.6,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DK,1998,62.4,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DK,1999,62.5,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DK,2000,62.9,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DK,2001,62.2,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DK,2002,62.8,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,DK,2003,63.0,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,EL,1995,65.8,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,EL,1996,66.9,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,EL,1997,66.4,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,EL,1998,66.5,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,EL,1999,66.7,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,EL,2000,66.3,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,EL,2001,66.7,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,EL,2002,66.7,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,EL,2003,66.7,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,ES,1995,64.2,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,ES,1996,65.1,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,ES,1997,65.5,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,ES,1998,65.2,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,ES,1999,65.6,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,ES,2000,66.5,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,ES,2001,66.0,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,ES,2002,66.6,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,ES,2003,66.8,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FI,1996,54.6,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FI,1997,55.5,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FI,1998,55.9,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FI,1999,55.8,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FI,2000,56.3,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FI,2001,56.7,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FI,2002,57.0,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FI,2003,57.3,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FR,1995,60.0,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FR,1996,59.6,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FR,1997,60.2,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FR,1998,59.2,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FR,1999,60.1,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FR,2000,60.1,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FR,2001,60.5,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FR,2002,60.4,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,FR,2003,60.6,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,HU,2003,53.5,p
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IE,1995,63.2,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IE,1996,64.0,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IE,1997,63.2,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IE,1998,64.0,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IE,1999,63.9,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IE,2000,63.3,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IE,2001,63.3,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IE,2002,63.5,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IE,2003,63.4,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IT,1995,66.7,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IT,1996,67.4,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IT,1997,68.0,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IT,1998,67.9,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IT,1999,68.7,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IT,2000,69.7,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IT,2001,69.8,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IT,2002,70.4,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,IT,2003,70.9,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,MT,2002,65.1,p
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,NL,1995,61.1,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,NL,1996,62.1,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,NL,1997,62.5,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,NL,1998,61.9,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,NL,1999,61.6,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,NL,2000,61.4,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,NL,2001,61.9,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,NL,2002,61.7,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,NL,2003,61.7,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,NO,2003,66.3,p
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,PL,1996,59.9,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,PL,2002,62.5,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,PT,1995,59.6,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,PT,1996,58.2,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,PT,1997,59.3,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,PT,1998,59.1,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,PT,1999,58.8,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,PT,2000,60.2,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,PT,2001,59.5,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,PT,2002,59.7,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,PT,2003,59.8,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,SE,1997,62.1,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,SE,1998,61.7,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,SE,1999,62.0,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,SE,2000,63.1,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,SE,2001,61.9,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,SE,2002,62.4,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,SE,2003,62.5,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,UK,1995,60.6,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,UK,1996,60.8,
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,UK,1997,60.9,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,UK,1998,60.8,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,UK,1999,61.2,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,UK,2000,61.3,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,UK,2001,61.1,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,UK,2002,61.4,e
ESTAT:HLTH_HLYE_H(1.0),05/10/11 23:00:00,A,M_0_DFLE,UK,2003,61.5,e
