country,year,healthy_expectancy_2004_2021
AT,2004,59.3
AT,2005,58.8
AT,2006,59.9
AT,2007,60.1
AT,2008,59.2
AT,2009,60.1
AT,2010,60.1
AT,2011,59.8
AT,2012,61.4
AT,2013,59.9
AT,2014,57.7
AT,2015,58.0
AT,2016,57.0
AT,2017,57.1
AT,2018,56.9
AT,2019,57.3
AT,2020,58.7
AT,2021,61.8
BE,2004,58.7
BE,2005,62.4
BE,2006,63.2
BE,2007,63.7
BE,2008,63.7
BE,2009,63.9
BE,2010,63.3
BE,2011,63.5
BE,2012,64.6
BE,2013,63.9
BE,2014,64.1
BE,2015,64.2
BE,2016,63.7
BE,2017,63.7
BE,2018,63.4
BE,2019,62.4
BE,2020,63.8
BE,2021,64.6
BG,2006,69.0
BG,2007,70.4
BG,2008,63.9
BG,2009,63.9
BG,2010,65.0
BG,2011,64.0
BG,2012,63.9
BG,2013,64.5
BG,2014,64.0
BG,2015,63.2
BG,2016,65.7
BG,2017,64.5
BG,2018,65.8
BG,2019,66.3
BG,2020,65.6
BG,2021,63.3
CH,2007,64.5
CH,2008,65.2
CH,2009,64.2
CH,2010,64.5
CH,2011,65.5
CH,2012,68.2
CH,2013,60.0
CH,2014,58.6
CH,2015,59.4
CH,2016,59.4
CH,2017,60.6
CH,2018,60.5
CH,2019,60.6
CH,2020,61.5
CH,2021,61.4
CY,2005,59.0
CY,2006,63.7
CY,2007,63.0
CY,2008,64.2
CY,2009,65.0
CY,2010,64.7
CY,2011,61.3
CY,2012,63.7
CY,2013,64.7
CY,2014,66.0
CY,2015,63.3
CY,2016,68.2
CY,2017,65.2
CY,2018,62.2
CY,2019,62.5
CY,2020,62.9
CY,2021,65.7
CZ,2005,59.0
CZ,2006,58.9
CZ,2007,62.4
CZ,2008,62.4
CZ,2009,61.8
CZ,2010,63.3
CZ,2011,62.9
CZ,2012,63.2
CZ,2013,63.3
CZ,2014,64.1
CZ,2015,63.0
CZ,2016,63.3
CZ,2017,61.4
CZ,2018,62.7
CZ,2019,62.0
CZ,2020,61.6
CZ,2021,62.0
DE,2005,54.6
DE,2006,58.5
DE,2007,58.8
DE,2008,57.0
DE,2009,57.6
DE,2010,58.3
DE,2011,58.2
DE,2012,57.6
DE,2013,57.4
DE,2014,56.5
DE,2015,66.4
DE,2016,66.4
DE,2017,66.0
DE,2018,65.8
DE,2019,66.3
DE,2020,65.7
DE,2021,65.6
DK,2004,68.6
DK,2005,68.4
DK,2006,67.5
DK,2007,67.5
DK,2008,61.6
DK,2009,61.1
DK,2010,62.0
DK,2011,61.8
DK,2012,61.4
DK,2013,60.5
DK,2014,60.9
DK,2015,59.1
DK,2016,60.3
DK,2017,59.7
DK,2018,60.9
DK,2019,58.9
DK,2020,58.0
DK,2021,56.6
EE,2004,51.9
EE,2005,50.4
EE,2006,51.8
EE,2007,52.3
EE,2008,55.3
EE,2009,57.1
EE,2010,56.2
EE,2011,56.1
EE,2012,55.1
EE,2013,55.5
EE,2014,55.2
EE,2015,55.0
EE,2016,56.8
EE,2017,56.0
EE,2018,53.9
EE,2019,55.8
EE,2020,57.6
EE,2021,56.5
EL,2004,64.8
EL,2005,66.8
EL,2006,67.4
EL,2007,66.8
EL,2008,65.9
EL,2009,66.4
EL,2010,66.9
EL,2011,66.6
EL,2012,64.9
EL,2013,64.9
EL,2014,64.5
EL,2015,64.0
EL,2016,64.3
EL,2017,64.8
EL,2018,65.4
EL,2019,66.0
EL,2020,65.9
EL,2021,65.6
ES,2004,62.7
ES,2005,63.3
ES,2006,63.8
ES,2007,63.4
ES,2008,63.8
ES,2009,62.7
ES,2010,64.2
ES,2011,65.5
ES,2012,65.3
ES,2013,64.3
ES,2014,65.0
ES,2015,64.0
ES,2016,66.2
ES,2017,69.4
