country,year,emigration,immigration
AT,1996,66050,69930
AT,1997,68585,70122
AT,1998,64272,72723
AT,1999,66923,86710
AT,2000,64472,81676
AT,2001,72654,89928
AT,2002,74831,108125
AT,2003,71996,111869
AT,2004,71721,122547
AT,2005,70133,114465
AT,2006,74432,98535
AT,2007,49898,72862
AT,2008,51563,73772
AT,2009,53244,69295
AT,2010,51651,70978
AT,2011,51197,82230
AT,2012,51812,91557
AT,2013,54071,101866
AT,2014,53491,116262
AT,2015,56689,166323
AT,2016,64428,129509
AT,2017,66144,111801
AT,2018,67212,105633
AT,2019,68280,109167
AT,2020,62581,103565
AT,2021,67299,118511
BE,1990,32502,62662
BE,1991,33752,67460
BE,1992,33707,66763
BE,1993,44811,63749
BE,1994,36530,66147
BE,1995,36044,62950
BE,1996,36674,61522
BE,1997,39320,58849
BE,1998,72087,83812
BE,1999,74097,91624
BE,2000,75320,89388
BE,2001,75261,110410
BE,2002,75960,113857
BE,2003,79399,112060
BE,2004,83895,117236
BE,2005,86899,132810
BE,2006,88163,137699
BE,2007,91052,146409
BE,2010,66013,135281
BE,2011,84148,147377
BE,2012,93600,129477
BE,2013,102657,120078
BE,2014,94573,123158
BE,2015,89794,146626
BE,2016,92471,123702
BE,2017,89690,126703
BE,2018,88935,137860
BE,2019,102936,150006
BE,2020,76562,118683
BE,2021,87272,139743
BG,2007,2958,1561
BG,2012,16615,14103
BG,2013,19678,18570
BG,2014,28727,26615
BG,2015,29470,25223
BG,2016,30570,21241
BG,2017,31586,25597
BG,2018,33225,29559
BG,2019,39941,37929
BG,2020,6649,37364
BG,2021,26755,39461
CH,1990,97601,154244
CH,1991,103333,164773
CH,1992,117034,157190
CH,1993,105025,144537
CH,1994,99305,130188
CH,1995,99509,113967
CH,1996,103398,97591
CH,1997,98521,91687
CH,1998,94778,95955
CH,1999,91804,107953
CH,2000,90078,110302
CH,2001,82234,124077
CH,2002,78419,127340
CH,2003,76756,119783
CH,2004,79726,120188
CH,2005,82090,118270
CH,2006,88218,127586
CH,2007,90175,165634
CH,2008,86130,184297
CH,2009,86036,160623
CH,2010,96839,161778
CH,2011,96494,148799
CH,2012,103881,149051
CH,2013,106196,160157
CH,2014,111103,156282
CH,2015,116631,153627
CH,2016,120653,149305
CH,2017,124997,143377
CH,2018,130225,144857
CH,2019,126221,145129
CH,2020,109376,138778
CH,2021,116769,144907
CY,2002,1474,6940
CY,2003,1696,7981
CY,2004,1913,9003
CY,2005,2192,10320
CY,2006,2778,13077
CY,2007,4106,19328
CY,2009,4797,22581
CY,2010,4293,20206
CY,2011,4895,23037
CY,2012,18105,17476
CY,2013,25227,13149
CY,2014,24038,9212
CY,2015,17183,15183
CY,2016,14892,17391
CY,2017,15105,21306
CY,2018,15340,23442
CY,2019,17373,26170
CY,2020,21368,25861
CY,2021,18410,24001
CZ,2001,21469,12918
CZ,2002,32389,44679
CZ,2003,34226,60015
CZ,2004,34818,53453
CZ,2005,24065,60294
CZ,2006,33463,68183
CZ,2007,20500,104445
CZ,2008,51478,108267
CZ,2009,61782,75620
CZ,2010,61069,48317
CZ,2011,55910,27114
CZ,2012,46106,34337
CZ,2013,25894,30124
CZ,2014,28468,29897
CZ,2015,25684,29602
CZ,2016,38864,64083
CZ,2017,27316,51847
CZ,2018,26742,65910
CZ,2019,77798,105888
CZ,2020,35854,63095
CZ,2021,18630,69360
DE,1990,610595,1256250
DE,1991,596455,1198978
DE,1992,720127,1502198
DE,1993,815312,1277408
DE,1994,767555,1082553
DE,1995,698113,1096048
DE,1996,677494,959691
DE,1997,746969,840633
DE,1998,755358,802456
DE,1999,672048,874023
DE,2000,674038,841158
DE,2001,606494,879217
DE,2002,623255,842543
DE,2003,626330,768975
DE,2004,697632,780175
DE,2005,628399,707352
DE,2006,639064,661855
DE,2007,636854,680766
DE,2008,737889,682146
DE,2009,286582,346216
DE,2010,252456,404055
DE,2011,249045,489422
DE,2012,240001,592175
DE,2013,259328,692713
DE,2014,324221,884893
DE,2015,338403,1571047
DE,2016,533762,1029852
DE,2017,560700,917109
DE,2018,540415,893886
DE,2019,576319,886341
DE,2020,488138,728606
DE,2021,543162,874367
DK,1990,32383,40715
DK,1991,32629,43567
DK,1992,31915,43377
DK,1993,32344,43400
DK,1994,34710,44961
DK,1995,34630,63187
DK,1996,37312,54445
DK,1997,38393,50105
DK,1998,40340,51372
DK,1999,41340,50236
DK,2000,43417,52915
DK,2001,43980,55984
DK,2002,43481,52778
DK,2003,43466,49754
DK,2004,45017,49860
DK,2005,45869,52458
DK,2006,46786,56750
DK,2007,41566,64656
DK,2008,38356,57357
DK,2009,39899,51800
DK,2010,41456,52236
DK,2011,41593,52833
DK,2012,43663,54409
DK,2013,43310,60312
DK,2014,44426,68388
DK,2015,44625,78492
DK,2016,52654,74383
DK,2017,56403,68579
DK,2018,60381,64669
DK,2019,66520,61384
DK,2020,53822,57230
DK,2021,44008,63489
EE,2000,1784,35
EE,2001,2175,241
EE,2002,2038,575
EE,2003,3073,967
EE,2004,2927,1097
EE,2005,4610,1436
EE,2006,5527,2234
EE,2007,4384,3741
