country,year,emigration
AT,1996,66050
AT,1997,68585
AT,1998,64272
AT,1999,66923
AT,2000,64472
AT,2001,72654
AT,2002,74831
AT,2003,71996
AT,2004,71721
AT,2005,70133
AT,2006,74432
AT,2007,49898
AT,2008,51563
AT,2009,53244
AT,2010,51651
AT,2011,51197
AT,2012,51812
AT,2013,54071
AT,2014,53491
AT,2015,56689
AT,2016,64428
AT,2017,66144
AT,2018,67212
AT,2019,68280
AT,2020,62581
AT,2021,67299
BE,1990,32502
BE,1991,33752
BE,1992,33707
BE,1993,44811
BE,1994,36530
BE,1995,36044
BE,1996,36674
BE,1997,39320
BE,1998,72087
BE,1999,74097
BE,2000,75320
BE,2001,75261
BE,2002,75960
BE,2003,79399
BE,2004,83895
BE,2005,86899
BE,2006,88163
BE,2007,91052
BE,2010,66013
BE,2011,84148
BE,2012,93600
BE,2013,102657
BE,2014,94573
BE,2015,89794
BE,2016,92471
BE,2017,89690
BE,2018,88935
BE,2019,102936
BE,2020,76562
BE,2021,87272
BG,2007,2958
BG,2012,16615
BG,2013,19678
BG,2014,28727
BG,2015,29470
BG,2016,30570
BG,2017,31586
BG,2018,33225
BG,2019,39941
BG,2020,6649
BG,2021,26755
CH,1990,97601
CH,1991,103333
CH,1992,117034
CH,1993,105025
CH,1994,99305
CH,1995,99509
CH,1996,103398
CH,1997,98521
CH,1998,94778
CH,1999,91804
CH,2000,90078
CH,2001,82234
CH,2002,78419
CH,2003,76756
CH,2004,79726
CH,2005,82090
CH,2006,88218
CH,2007,90175
CH,2008,86130
CH,2009,86036
CH,2010,96839
CH,2011,96494
CH,2012,103881
CH,2013,106196
CH,2014,111103
CH,2015,116631
CH,2016,120653
CH,2017,124997
CH,2018,130225
CH,2019,126221
CH,2020,109376
CH,2021,116769
CY,2002,1474
CY,2003,1696
CY,2004,1913
CY,2005,2192
CY,2006,2778
CY,2007,4106
CY,2009,4797
CY,2010,4293
CY,2011,4895
CY,2012,18105
CY,2013,25227
CY,2014,24038
CY,2015,17183
CY,2016,14892
CY,2017,15105
CY,2018,15340
CY,2019,17373
CY,2020,21368
CY,2021,18410
CZ,2001,21469
CZ,2002,32389
CZ,2003,34226
CZ,2004,34818
CZ,2005,24065
CZ,2006,33463
CZ,2007,20500
CZ,2008,51478
CZ,2009,61782
CZ,2010,61069
CZ,2011,55910
CZ,2012,46106
CZ,2013,25894
CZ,2014,28468
CZ,2015,25684
CZ,2016,38864
CZ,2017,27316
CZ,2018,26742
CZ,2019,77798
CZ,2020,35854
CZ,2021,18630
DE,1990,610595
DE,1991,596455
DE,1992,720127
DE,1993,815312
DE,1994,767555
DE,1995,698113
DE,1996,677494
DE,1997,746969
DE,1998,755358
DE,1999,672048
DE,2000,674038
DE,2001,606494
DE,2002,623255
DE,2003,626330
DE,2004,697632
DE,2005,628399
DE,2006,639064
DE,2007,636854
DE,2008,737889
DE,2009,286582
DE,2010,252456
DE,2011,249045
DE,2012,240001
DE,2013,259328
DE,2014,324221
DE,2015,338403
DE,2016,533762
DE,2017,560700
DE,2018,540415
DE,2019,576319
DE,2020,488138
DE,2021,543162
DK,1990,32383
DK,1991,32629
DK,1992,31915
DK,1993,32344
DK,1994,34710
DK,1995,34630
DK,1996,37312
DK,1997,38393
DK,1998,40340
DK,1999,41340
DK,2000,43417
DK,2001,43980
DK,2002,43481
DK,2003,43466
DK,2004,45017
DK,2005,45869
DK,2006,46786
DK,2007,41566
DK,2008,38356
DK,2009,39899
DK,2010,41456
DK,2011,41593
DK,2012,43663
DK,2013,43310
DK,2014,44426
DK,2015,44625
DK,2016,52654
DK,2017,56403
DK,2018,60381
DK,2019,66520
DK,2020,53822
DK,2021,44008
EE,1994,9063
EE,1995,9460
EE,1996,7134
EE,1997,4071
EE,1998,2507
EE,1999,1882
EE,2000,1784
EE,2001,2175
EE,2002,2038
EE,2003,3073
EE,2004,2927
EE,2005,4610
EE,2006,5527
EE,2007,4384
EE,2008,4406
EE,2009,4658
EE,2010,5294
EE,2011,6214
EE,2012,6321
EE,2013,6740
EE,2014,4637
EE,2015,13003
EE,2016,13792
EE,2017,12358
EE,2018,10476
EE,2019,12801
EE,2020,12427
EE,2021,12481
EL,1991,64628
EL,1992,52389
EL,1993,52929
EL,1994,46813
EL,1995,47967
EL,1996,54628
EL,1997,51794
EL,1998,60119
EL,1999,54175
EL,2000,46993
EL,2001,45909
EL,2002,39378
EL,2003,37433
EL,2004,38041
EL,2005,38583
EL,2006,38368
EL,2007,40400
EL,2008,43044
EL,2009,43686
EL,2010,62041
EL,2011,92404
