country,year,immigration
AT,1996,69930
AT,1997,70122
AT,1998,72723
AT,1999,86710
AT,2000,81676
AT,2001,89928
AT,2002,108125
AT,2003,111869
AT,2004,122547
AT,2005,114465
AT,2006,98535
AT,2007,72862
AT,2008,73772
AT,2009,69295
AT,2010,70978
AT,2011,82230
AT,2012,91557
AT,2013,101866
AT,2014,116262
AT,2015,166323
AT,2016,129509
AT,2017,111801
AT,2018,105633
AT,2019,109167
AT,2020,103565
AT,2021,118511
BE,1990,62662
BE,1991,67460
BE,1992,66763
BE,1993,63749
BE,1994,66147
BE,1995,62950
BE,1996,61522
BE,1997,58849
BE,1998,83812
BE,1999,91624
BE,2000,89388
BE,2001,110410
BE,2002,113857
BE,2003,112060
BE,2004,117236
BE,2005,132810
BE,2006,137699
BE,2007,146409
BE,2010,135281
BE,2011,147377
BE,2012,129477
BE,2013,120078
BE,2014,123158
BE,2015,146626
BE,2016,123702
BE,2017,126703
BE,2018,137860
BE,2019,150006
BE,2020,118683
BE,2021,139743
BG,2007,1561
BG,2012,14103
BG,2013,18570
BG,2014,26615
BG,2015,25223
BG,2016,21241
BG,2017,25597
BG,2018,29559
BG,2019,37929
BG,2020,37364
BG,2021,39461
CH,1990,154244
CH,1991,164773
CH,1992,157190
CH,1993,144537
CH,1994,130188
CH,1995,113967
CH,1996,97591
CH,1997,91687
CH,1998,95955
CH,1999,107953
CH,2000,110302
CH,2001,124077
CH,2002,127340
CH,2003,119783
CH,2004,120188
CH,2005,118270
CH,2006,127586
CH,2007,165634
CH,2008,184297
CH,2009,160623
CH,2010,161778
CH,2011,148799
CH,2012,149051
CH,2013,160157
CH,2014,156282
CH,2015,153627
CH,2016,149305
CH,2017,143377
CH,2018,144857
CH,2019,145129
CH,2020,138778
CH,2021,144907
CY,1998,8801
CY,1999,8524
CY,2000,12764
CY,2001,17485
CY,2002,6940
CY,2003,7981
CY,2004,9003
CY,2005,10320
CY,2006,13077
CY,2007,19328
CY,2008,21060
CY,2009,22581
CY,2010,20206
CY,2011,23037
CY,2012,17476
CY,2013,13149
CY,2014,9212
CY,2015,15183
CY,2016,17391
CY,2017,21306
CY,2018,23442
CY,2019,26170
CY,2020,25861
CY,2021,24001
CZ,1995,10540
CZ,1996,10857
CZ,1997,12880
CZ,2001,12918
CZ,2002,44679
CZ,2003,60015
CZ,2004,53453
CZ,2005,60294
CZ,2006,68183
CZ,2007,104445
CZ,2008,108267
CZ,2009,75620
CZ,2010,48317
CZ,2011,27114
CZ,2012,34337
CZ,2013,30124
CZ,2014,29897
CZ,2015,29602
CZ,2016,64083
CZ,2017,51847
CZ,2018,65910
CZ,2019,105888
CZ,2020,63095
CZ,2021,69360
DE,1990,1256250
DE,1991,1198978
DE,1992,1502198
DE,1993,1277408
DE,1994,1082553
DE,1995,1096048
DE,1996,959691
DE,1997,840633
DE,1998,802456
DE,1999,874023
DE,2000,841158
DE,2001,879217
DE,2002,842543
DE,2003,768975
DE,2004,780175
DE,2005,707352
DE,2006,661855
DE,2007,680766
DE,2008,682146
DE,2009,346216
DE,2010,404055
DE,2011,489422
DE,2012,592175
DE,2013,692713
DE,2014,884893
DE,2015,1571047
DE,2016,1029852
DE,2017,917109
DE,2018,893886
DE,2019,886341
DE,2020,728606
DE,2021,874367
DK,1990,40715
DK,1991,43567
DK,1992,43377
DK,1993,43400
DK,1994,44961
DK,1995,63187
DK,1996,54445
DK,1997,50105
DK,1998,51372
DK,1999,50236
DK,2000,52915
DK,2001,55984
DK,2002,52778
DK,2003,49754
DK,2004,49860
DK,2005,52458
DK,2006,56750
DK,2007,64656
DK,2008,57357
DK,2009,51800
DK,2010,52236
DK,2011,52833
DK,2012,54409
DK,2013,60312
DK,2014,68388
DK,2015,78492
DK,2016,74383
DK,2017,68579
DK,2018,64669
DK,2019,61384
DK,2020,57230
DK,2021,63489
EE,2000,35
EE,2001,241
EE,2002,575
EE,2003,967
EE,2004,1097
EE,2005,1436
EE,2006,2234
EE,2007,3741
EE,2008,3671
EE,2009,3884
EE,2010,2810
EE,2011,3709
EE,2012,2639
EE,2013,4109
EE,2014,3904
EE,2015,15413
EE,2016,14822
EE,2017,17616
EE,2018,17547
EE,2019,18259
EE,2020,16209
EE,2021,19524
EL,1991,151978
EL,1992,110334
EL,1993,107462
EL,1994,86959
