DATAFLOW,LAST UPDATE,freq,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,1996,69930,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,1997,70122,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,1998,72723,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,1999,86710,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2000,81676,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2001,89928,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2002,108125,b
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2003,111869,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2004,122547,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2005,114465,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2006,98535,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2007,72862,b
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2008,73772,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2009,69295,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2010,70978,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2011,82230,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2012,91557,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2013,101866,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2014,116262,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2015,166323,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2016,129509,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2017,111801,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2018,105633,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2019,109167,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2020,103565,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2021,118511,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,1990,62662,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,1991,67460,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,1992,66763,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,1993,63749,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,1994,66147,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,1995,62950,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,1996,61522,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,1997,58849,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,1998,83812,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,1999,91624,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2000,89388,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2001,110410,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2002,113857,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2003,112060,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2004,117236,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2005,132810,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2006,137699,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2007,146409,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2010,135281,b
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2011,147377,b
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2012,129477,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2013,120078,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2014,123158,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2015,146626,
ESTAT:MIGR_IMM8(1.0),26/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2016,123702,
