country,year,net
AT,2013,47795
AT,2014,62771
AT,2015,109634
AT,2016,65081
AT,2017,45657
AT,2018,38421
AT,2019,40887
AT,2020,40984
AT,2021,51212
BE,2013,17421
BE,2014,28585
BE,2015,56832
BE,2016,31231
BE,2017,37013
BE,2018,48925
BE,2019,47070
BE,2020,42121
BE,2021,52471
BG,2013,-1108
BG,2014,-2112
BG,2015,-4247
BG,2016,-9329
BG,2017,-5989
BG,2018,-3666
BG,2019,-2012
BG,2020,30715
BG,2021,12706
CH,2013,53961
CH,2014,45179
CH,2015,36996
CH,2016,28652
CH,2017,18380
CH,2018,14632
CH,2019,18908
CH,2020,29402
CH,2021,28138
CY,2013,-12078
CY,2014,-14826
CY,2015,-2000
CY,2016,2499
CY,2017,6201
CY,2018,8102
CY,2019,8797
CY,2020,4493
CY,2021,5591
CZ,2013,4230
CZ,2014,1429
CZ,2015,3918
CZ,2016,25219
CZ,2017,24531
CZ,2018,39168
CZ,2019,28090
CZ,2020,27241
CZ,2021,50730
DE,2013,433385
DE,2014,560672
DE,2015,1232644
DE,2016,496090
DE,2017,356409
DE,2018,353471
DE,2019,310022
DE,2020,240468
DE,2021,331205
DK,2013,17002
DK,2014,23962
DK,2015,33867
DK,2016,21729
DK,2017,12176
DK,2018,4288
DK,2019,-5136
DK,2020,3408
DK,2021,19481
EE,2013,-2631
EE,2014,-733
EE,2015,2410
EE,2016,1030
EE,2017,5258
EE,2018,7071
EE,2019,5458
EE,2020,3782
EE,2021,7043
EL,2013,-59148
EL,2014,-47791
EL,2015,-44905
EL,2016,10332
EL,2017,8920
EL,2018,16440
EL,2019,34439
EL,2020,6384
EL,2021,-22476
ES,2013,-251531
ES,2014,-94976
ES,2015,-1761
ES,2016,87421
ES,2017,163272
ES,2018,334158
ES,2019,454232
ES,2020,219357
ES,2021,148070
FI,2013,18048
FI,2014,16021
FI,2015,12441
FI,2016,16823
FI,2017,14824
FI,2018,11965
FI,2019,15495
FI,2020,17814
FI,2021,22905
FR,2013,98939
FR,2014,32280
FR,2015,39704
FR,2016,64087
FR,2017,154151
FR,2018,86490
FR,2019,86490
FR,2020,138440
FR,2021,159370
HR,2013,-4884
HR,2014,-10220
HR,2015,-17945
HR,2016,-22451
HR,2017,-31799
HR,2018,-13486
HR,2019,-2422
HR,2020,-632
HR,2021,-4512
HU,2013,4277
HU,2014,12368
HU,2015,15119
HU,2016,13729
HU,2017,28241
HU,2018,34759
HU,2019,38786
HU,2020,8106
HU,2021,12472
IE,2013,-11021
IE,2014,2412
IE,2015,13632
IE,2016,23129
IE,2017,14431
IE,2018,43977
IE,2019,23626
IE,2020,18269
IE,2021,28303
IS,2013,2034
IS,2014,1316
IS,2015,1589
IS,2016,4551
IS,2017,8475
IS,2018,7458
IS,2019,5282
IS,2020,2535
IS,2021,4335
IT,2013,181719
IT,2014,141303
IT,2015,133123
IT,2016,143758
IT,2017,188330
IT,2018,175364
IT,2019,153273
IT,2020,87642
IT,2021,160054
LI,2013,199
LI,2014,139
LI,2015,189
LI,2016,85
LI,2017,219
LI,2018,165
LI,2019,281
LI,2020,281
LI,2021,153
LT,2013,-16807
LT,2014,-12327
LT,2015,-22403
LT,2016,-30171
LT,2017,-27557
LT,2018,-3292
LT,2019,10794
LT,2020,19993
LT,2021,19653
LU,2013,10348
LU,2014,11049
LU,2015,11159
LU,2016,9446
LU,2017,10548
LU,2018,10659
LU,2019,11075
LU,2020,7620
LU,2021,9376
LV,2013,-14262
LV,2014,-8652
LV,2015,-10640
LV,2016,-12229
LV,2017,-7808
LV,2018,-4905
LV,2019,-3360
LV,2020,-3150
LV,2021,-286
ME,2020,5980
MK,2020,1473
MK,2021,158
MT,2013,6119
MT,2014,9346
MT,2015,9841
MT,2016,8748
MT,2017,14656
MT,2018,17102
MT,2019,20343
MT,2020,1206
MT,2021,4639
NL,2013,16803
NL,2014,32423
NL,2015,54542
NL,2016,77755
NL,2017,81415
NL,2018,84671
NL,2019,107850
NL,2020,79742
NL,2021,103763
NO,2013,41790
NO,2014,37595
NO,2015,31643
NO,2016,26766
NO,2017,21388
NO,2018,20706
NO,2019,25473
NO,2020,14840
NO,2021,19650
PL,2013,-56135
PL,2014,-46024
PL,2015,-40690
PL,2016,-28139
PL,2017,-9139
PL,2018,24289
PL,2019,46055
PL,2020,48949
PL,2021,39521
PT,2013,-36232
PT,2014,-30056
PT,2015,-10481
PT,2016,-8348
PT,2017,4886
PT,2018,11570
PT,2019,44506
PT,2020,41274
PT,2021,25642
RO,2013,-8109
RO,2014,-36836
RO,2015,-61923
RO,2016,-70123
RO,2017,-64758
RO,2018,-59083
RO,2019,-31314
RO,2020,-41299
RO,2021,-22219
SE,2013,65130
SE,2014,75729
SE,2015,78410
SE,2016,117127
SE,2017,98869
SE,2018,85621
SE,2019,68087
SE,2020,33581
SE,2021,42347
SI,2013,487
SI,2014,-490
SI,2015,507
SI,2016,1051
SI,2017,1253
SI,2018,14928
SI,2019,16213
SI,2020,18365
SI,2021,2480
SK,2013,2379
SK,2014,1713
SK,2015,3127
SK,2016,3885
SK,2017,3722
SK,2018,3955
SK,2019,3632
SK,2020,4347
SK,2021,2338
UK,2013,209112
UK,2014,312905
UK,2015,332269
UK,2016,248553
UK,2017,284544
UK,2018,259606
UK,2019,312521
