DATAFLOW,LAST UPDATE,freq,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2013,47795,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2014,62771,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2015,109634,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2016,65081,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2017,45657,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2018,38421,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2019,40887,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2020,40984,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,AT,2021,51212,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2013,17421,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2014,28585,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2015,56832,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2016,31231,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2017,37013,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2018,48925,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2019,47070,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2020,42121,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BE,2021,52471,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BG,2013,-1108,p
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BG,2014,-2112,p
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BG,2015,-4247,p
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BG,2016,-9329,p
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BG,2017,-5989,p
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BG,2018,-3666,p
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BG,2019,-2012,p
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BG,2020,30715,p
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,BG,2021,12706,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CH,2013,53961,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CH,2014,45179,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CH,2015,36996,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CH,2016,28652,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CH,2017,18380,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CH,2018,14632,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CH,2019,18908,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CH,2020,29402,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CH,2021,28138,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CY,2013,-12078,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CY,2014,-14826,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CY,2015,-2000,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CY,2016,2499,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CY,2017,6201,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CY,2018,8102,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CY,2019,8797,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CY,2020,4493,
ESTAT:MIGR_NETMIGR(1.0),28/09/23 23:00:00,A,COMPLET,TOTAL,NR,T,CY,2021,5591,
