country,year,1981_1991_2001
AT,1991,4041797
AT,2001,4143737
BE,1981,5038298
BE,1991,5102699
BE,2001,5260904
BG,2001,4066436
CH,1991,3483475
CH,2001,3720443
CY,2001,351068
CZ,2001,5247989
DE,1981,32172200
DE,1991,41253250
DE,2001,41904759
DK,1981,2595764
DK,1991,2610078
DK,2001,2704893
EE,2001,738201
EL,1981,4959318
EL,1991,5204492
EL,2001,5520671
ES,1981,19191622
ES,1991,19835822
ES,2001,20834489
FI,1991,2572274
FI,2001,2651774
FR,1981,28392037
FR,1991,29798887
FR,2001,30957691
HU,2001,5347665
IE,1981,1714051
IE,1991,1772267
IE,2001,1942272
IS,1991,127443
IS,2001,141491
IT,1981,29050557
IT,1991,29220068
IT,2001,29408762
LI,1991,14567
LI,2001,16887
LT,2001,1854824
LU,1981,186733
LU,1991,196064
LU,2001,222998
LV,2001,1282419
NL,1981,7165805
NL,1991,7621000
NL,2001,8076486
NO,1991,2147665
NO,2001,2280666
PL,2001,19713677
PT,1981,5095299
PT,1991,5107908
PT,2001,5355976
RO,2001,11112233
SE,1991,4345002
SE,2001,4490039
SI,2001,1005460
SK,2001,2766940
UK,1981,28260463
UK,1991,29122655
UK,2001,30209358
AT,1991,3753989
AT,2001,3889189
BE,1981,4810349
BE,1991,4875982
BE,2001,5035446
BG,2001,3862465
CH,1991,3390212
CH,2001,3567567
CY,2001,338497
CZ,2001,4982071
DE,1981,29483200
DE,1991,38499977
DE,2001,39560585
DK,1981,2528225
DK,1991,2536391
DK,2001,2644319
EE,2001,631851
EL,1981,4778818
EL,1991,5055408
EL,2001,5413426
ES,1981,18491741
ES,1991,19036446
ES,2001,20012882
FI,1991,2426204
FI,2001,2529341
FR,1981,27064420
FR,1991,28285388
FR,2001,29229514
HU,2001,4850650
IE,1981,1729354
IE,1991,1753452
IE,2001,1916223
IS,1991,128423
IS,2001,141870
IT,1981,27506354
IT,1991,27557963
IT,2001,27586982
LI,1991,14465
LI,2001,16420
LT,2001,1629148
LU,1981,177869
LU,1991,188570
LU,2001,216541
LV,2001,1094964
NL,1981,7051139
NL,1991,7451000
NL,2001,7909052
NO,1991,2099881
NO,2001,2240281
PL,2001,18516403
PT,1981,4737715
PT,1991,4754632
PT,2001,5000141
RO,2001,10568741
SE,1991,4242351
SE,2001,4392753
SI,2001,958576
SK,2001,2612515
UK,1981,26778407
UK,1991,27344025
UK,2001,28579855
AT,1991,7795786
AT,2001,8032926
BE,1981,9848647
BE,1991,9978681
BE,2001,10296350
BG,2001,7928901
CH,1991,6873687
CH,2001,7288010
CY,2001,689565
CZ,2001,10230060
DE,1981,61655400
DE,1991,79753227
DE,2001,81465344
DK,1981,5123989
DK,1991,5146469
DK,2001,5349212
EE,2001,1370052
EL,1981,9738136
EL,1991,10259900
EL,2001,10934097
ES,1981,37683363
ES,1991,38872268
ES,2001,40847371
FI,1991,4998478
FI,2001,5181115
FR,1981,55456457
FR,1991,58084275
FR,2001,60187205
HU,2001,10198315
IE,1981,3443405
IE,1991,3525719
IE,2001,3858495
IS,1991,255866
IS,2001,283361
IT,1981,56556911
IT,1991,56778031
IT,2001,56995744
LI,1991,29032
LI,2001,33307
LT,2001,3483972
LU,1981,364602
LU,1991,384634
LU,2001,439539
LV,2001,2377383
NL,1981,14216944
NL,1991,15072000
NL,2001,15985538
NO,1991,4247546
NO,2001,4520947
PL,2001,38230080
PT,1981,9833014
PT,1991,9862540
PT,2001,10356117
RO,2001,21680974
SE,1991,8587353
SE,2001,8882792
SI,2001,1964036
SK,2001,5379455
UK,1981,55038870
UK,1991,56466680
UK,2001,58789213
