DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,AT,1991,4041797.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,AT,2001,4143737.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,BE,1981,5038298.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,BE,1991,5102699.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,BE,2001,5260904.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,BG,2001,4066436.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,CH,1991,3483475.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,CH,2001,3720443.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,CY,2001,351068.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,CZ,2001,5247989.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,DE,1981,32172200.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,DE,1991,41253250.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,DE,2001,41904759.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,DK,1981,2595764.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,DK,1991,2610078.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,DK,2001,2704893.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,EE,2001,738201.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,EL,1981,4959318.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,EL,1991,5204492.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,EL,2001,5520671.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,ES,1981,19191622.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,ES,1991,19835822.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,ES,2001,20834489.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,FI,1991,2572274.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,FI,2001,2651774.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,FR,1981,28392037.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,FR,1991,29798887.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,FR,2001,30957691.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,HU,2001,5347665.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,IE,1981,1714051.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,IE,1991,1772267.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,IE,2001,1942272.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,IS,1991,127443.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,IS,2001,141491.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,IT,1981,29050557.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,IT,1991,29220068.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,IT,2001,29408762.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,LI,1991,14567.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,LI,2001,16887.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,LT,2001,1854824.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,LU,1981,186733.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,LU,1991,196064.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,LU,2001,222998.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,LV,2001,1282419.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,NL,1981,7165805.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,NL,1991,7621000.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,NL,2001,8076486.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,NO,1991,2147665.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,NO,2001,2280666.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,PL,2001,19713677.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,PT,1981,5095299.00,
ESTAT:CENS_HNMGA(1.0),25/04/14 11:00:00,A,PER,TOTAL,F,PT,1991,5107908.00,
