country,year,2011
AT,2011,4308002
BE,2011,5598920
BG,2011,3777999
CH,2011,4032409
CY,2011,431627
CZ,2011,5326794
DE,2011,41073754
DK,2011,2804046
EE,2011,693929
EL,2011,5513063
ES,2011,23711560
FI,2011,2736860
FR,2011,33500655
HR,2011,2218554
HU,2011,5219149
IE,2011,2304382
IS,2011,157409
IT,2011,30688237
LI,2011,18263
LT,2011,1640825
LU,2011,257386
LV,2011,1124269
MT,2011,209807
NL,2011,8412317
NO,2011,2484175
PL,2011,19624176
PT,2011,5515578
RO,2011,10333064
SE,2011,4756021
SI,2011,1035626
SK,2011,2769264
UK,2011,32154035
AT,2011,4093938
BE,2011,5401718
BG,2011,3586571
CH,2011,3922253
CY,2011,408780
CZ,2011,5109766
DE,2011,39145941
DK,2011,2756582
EE,2011,600526
EL,2011,5303223
ES,2011,23104350
FI,2011,2638416
FR,2011,31432745
HR,2011,2066335
HU,2011,4718479
IE,2011,2270506
IS,2011,158147
IT,2011,28745507
LI,2011,17886
LT,2011,1402604
LU,2011,254967
LV,2011,946102
MT,2011,207625
NL,2011,8243482
NO,2011,2495779
PL,2011,18420389
PT,2011,5046600
RO,2011,9788577
SE,2011,4726834
SI,2011,1014563
SK,2011,2627772
UK,2011,31028145
AT,2011,8401940
BE,2011,11000638
BG,2011,7364570
CH,2011,7954662
CY,2011,840407
CZ,2011,10436560
DE,2011,80219695
DK,2011,5560628
EE,2011,1294455
EL,2011,10816286
ES,2011,46815910
FI,2011,5375276
FR,2011,64933400
HR,2011,4284889
HU,2011,9937628
IE,2011,4574888
IS,2011,315556
IT,2011,59433744
LI,2011,36149
LT,2011,3043429
LU,2011,512353
LV,2011,2070371
MT,2011,417432
NL,2011,16655799
NO,2011,4979954
PL,2011,38044565
PT,2011,10562178
RO,2011,20121641
SE,2011,9482855
SI,2011,2050189
SK,2011,5397036
UK,2011,63182180
