DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,AT,2021,4548003,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,BE,2021,5854293,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,BG,2021,3383527,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,CH,2021,4400588,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,CY,2021,471434,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,CZ,2021,5337619,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,DE,2021,42170339,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,DK,2021,2935188,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,EE,2021,698398,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,EL,2021,5356510,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,ES,2021,24152187,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,FI,2021,2799985,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,FR,2021,35035940,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,HR,2021,2006704,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,HU,2021,5044135,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,IS,2021,176067,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,IT,2021,30211177,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,LI,2021,19687,p
ESTAT:CENS_21AG(1.0),10/10/23 23:00:00,A,TOTAL,F,NR,LT,2021,1505796,p
