country,year,satisfaction_rating_percentage
AL,2018,4.4
AT,2013,37.9
AT,2018,39.7
BE,2013,20.9
BE,2018,21.2
BG,2013,5.9
BG,2018,9.5
CH,2013,38.5
CH,2018,38.0
CY,2013,14.2
CY,2018,22.4
CZ,2013,21.3
CZ,2018,29.5
DE,2013,25.0
DE,2018,28.3
DK,2013,42.7
DK,2018,41.3
EE,2013,13.5
EE,2018,19.4
EL,2013,12.8
EL,2018,13.5
ES,2013,18.4
ES,2018,24.4
FI,2013,38.6
FI,2018,41.1
FR,2013,16.1
FR,2018,18.3
HR,2013,15.0
HR,2018,16.5
HU,2013,11.3
HU,2018,13.1
IE,2013,30.6
IE,2018,45.0
IS,2013,38.1
IS,2018,37.8
IT,2013,14.2
IT,2018,18.0
LT,2013,18.8
LT,2018,17.6
LU,2013,25.7
LU,2018,26.3
LV,2013,12.6
LV,2018,15.3
ME,2013,14.1
ME,2018,18.5
MK,2013,12.4
MK,2018,13.0
MT,2013,21.9
MT,2018,26.6
NL,2013,26.1
NL,2018,23.9
NO,2013,35.6
NO,2018,39.7
PL,2013,29.4
PL,2018,35.9
PT,2013,13.8
PT,2018,18.6
RO,2013,19.7
RO,2018,24.7
RS,2013,6.2
RS,2018,7.5
SE,2013,34.4
SE,2018,35.0
SI,2013,20.4
SI,2018,24.6
SK,2013,25.0
SK,2018,27.5
TR,2013,11.1
TR,2018,11.8
UK,2013,27.8
UK,2018,31.7
XK,2018,10.8
