DATAFLOW,LAST UPDATE,freq,unit,lev_satis,isced11,indic_wb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,AL,2018,4.4,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,AT,2013,37.9,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,AT,2018,39.7,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,BE,2013,20.9,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,BE,2018,21.2,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,BG,2013,5.9,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,BG,2018,9.5,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,CH,2013,38.5,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,CH,2018,38.0,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,CY,2013,14.2,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,CY,2018,22.4,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,CZ,2013,21.3,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,CZ,2018,29.5,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,DE,2013,25.0,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,DE,2018,28.3,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,DK,2013,42.7,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,DK,2018,41.3,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,EE,2013,13.5,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,EE,2018,19.4,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,EL,2013,12.8,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,EL,2018,13.5,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,ES,2013,18.4,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,ES,2018,24.4,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,FI,2013,38.6,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,FI,2018,41.1,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,FR,2013,16.1,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,FR,2018,18.3,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,HR,2013,15.0,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,HR,2018,16.5,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,HU,2013,11.3,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,HU,2018,13.1,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,IE,2013,30.6,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,IE,2018,45.0,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,IS,2013,38.1,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,IS,2018,37.8,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,IT,2013,14.2,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,IT,2018,18.0,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,LT,2013,18.8,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,LT,2018,17.6,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,LU,2013,25.7,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,LU,2018,26.3,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,LV,2013,12.6,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,LV,2018,15.3,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,ME,2013,14.1,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,ME,2018,18.5,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,MK,2013,12.4,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,MK,2018,13.0,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,MT,2013,21.9,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,MT,2018,26.6,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,NL,2013,26.1,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,NL,2018,23.9,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,NO,2013,35.6,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,NO,2018,39.7,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,PL,2013,29.4,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,PL,2018,35.9,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,PT,2013,13.8,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,PT,2018,18.6,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,RO,2013,19.7,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,RO,2018,24.7,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,RS,2013,6.2,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,RS,2018,7.5,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,SE,2013,34.4,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,SE,2018,35.0,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,SI,2013,20.4,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,SI,2018,24.6,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,SK,2013,25.0,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,SK,2018,27.5,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,TR,2013,11.1,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,TR,2018,11.8,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,UK,2013,27.8,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,UK,2018,31.7,
ESTAT:ILC_PW05(1.0),27/06/23 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,XK,2018,10.8,
