country,year,deprivation_percentage,house_deprivation_percentage,poverty_risk_percentage,risk_after_social_transfer_percentage
AT,2015,2.9,4.3,16.9,13.9
AT,2016,3.3,4.2,17.2,14.1
AT,2017,3.4,4.4,17.1,14.4
AT,2018,2.8,3.2,16.8,14.3
AT,2019,2.7,3,16.5,13.3
AT,2020,3,3,16.7,13.9
BE,2015,7.2,0.9,21.6,14.9
BE,2016,8.4,1.7,22.2,15.5
BE,2017,7.2,2.3,22,15.9
BE,2018,6.5,2.2,20.5,16.4
BE,2019,6.3,1.9,20,14.8
BE,2020,6.7,2.3,20.3,14.1
BG,2015,36.8,11.4,43.3,22
BG,2016,33.5,11.6,41,22.9
BG,2017,30,10.6,38,23.4
BG,2018,22.3,10.1,33,22
BG,2019,22.1,8.9,33.2,22.6
BG,2020,22.1,8.6,33.5,23.8
CY,2015,7.9,0.5,22.8,16.2
CY,2016,6.6,1.3,22.6,16.1
CY,2017,6.1,0.9,21.4,15.7
CY,2018,3.8,1.1,19.1,15.4
CY,2019,3.2,1.3,18.6,14.7
CY,2020,3.2,1.6,17.6,14.3
CZ,2015,4.5,3.3,13,9.7
CZ,2016,3.5,3,12.4,9.7
CZ,2017,3.4,2.1,12.1,9.1
CZ,2018,2.4,2.3,11.8,9.6
CZ,2019,2.1,1.9,12.1,10.1
CZ,2020,1.9,2,11.5,9.5
DE,2015,5.7,1.8,20,16.7
DE,2016,4.7,1.9,19.8,16.5
DE,2017,3.7,1.8,18.8,16.1
DE,2018,3.4,2.3,18.5,16
DE,2019,3,2.1,17.3,14.8
DE,2020,4.4,1.2,20.4,16.1
DK,2015,3.2,2.8,18.6,12.2
DK,2016,2.6,1.7,17.5,11.9
DK,2017,3.6,2.7,17.8,12.4
DK,2018,3.5,3.2,17.5,12.7
DK,2019,3.8,2.8,17.3,12.5
DK,2020,3.5,2.8,16.8,12.1
EE,2015,3.5,2.8,23.6,21.6
EE,2016,2.2,3.3,23.1,21.7
EE,2017,4,3.3,23.3,21
EE,2018,3.1,2.9,23.6,21.9
EE,2019,2.6,2.7,23.7,21.7
EE,2020,2.3,2.1,22.8,20.7
EL,2015,17.6,6.7,32.4,21.4
EL,2016,18.4,6.3,32.6,21.2
EL,2017,18.3,6,32.2,20.2
EL,2018,16.1,5.9,30.3,18.5
EL,2019,15.8,6,29,17.9
EL,2020,14.9,5.8,27.4,17.7
ES,2015,7.4,1.5,28.7,22.1
ES,2016,8.5,1.7,28.8,22.3
ES,2017,8.3,1,27.5,21.6
ES,2018,8.7,1.5,27.3,21.5
ES,2019,7.7,1.7,26.2,20.7
ES,2020,8.5,3.4,27,21
FI,2015,1,0.7,16.9,12.4
FI,2016,1.2,0.7,16.5,11.6
FI,2017,1.8,0.7,16,11.5
FI,2018,2.2,0.9,16.6,12
FI,2019,1.9,0.9,14.5,11.6
FI,2020,1.8,1,14.9,12.2
FR,2015,6.8,2.3,18.4,13.6
FR,2016,6.7,2.7,18.7,13.6
FR,2017,6.3,2.1,17.8,13.2
FR,2018,6.7,2.7,17.9,13.4
FR,2019,7.3,2.3,18.8,13.6
FR,2020,7,3.8,19.3,14.2
HR,2015,8.4,7.3,24.4,20
HR,2016,7.3,7.1,23.5,19.5
HR,2017,7.1,6.5,23.7,20
HR,2018,6.1,6.2,22.1,19.3
HR,2019,4.6,5.9,20.8,18.3
HR,2020,4.4,5.1,20.5,18.3
HU,2015,24.1,15.5,30.6,14.9
HU,2016,20.6,16.9,28.6,14.5
HU,2017,16.1,15.9,25.9,13.4
HU,2018,11.9,7.5,20.6,12.8
HU,2019,10.9,7.8,20,12.3
HU,2020,10.7,7.6,19.4,12.3
IE,2015,9.4,1.2,25.4,16.2
IE,2016,8,1,23.8,16.8
IE,2017,6.9,0.7,22.4,15.6
IE,2018,6.1,0.8,20.8,14.9
IE,2019,7.1,1.1,20.4,13.1
IE,2020,5.7,1.4,20.1,13.8
IT,2015,12.1,9.6,28.4,19.9
IT,2016,10.1,7.6,27.8,20.6
IT,2017,6.6,5.5,25.9,20.3
IT,2018,6.5,5,25.7,20.3
IT,2019,6.4,5,24.6,20.1
IT,2020,6.2,6.1,24.9,20
LT,2015,14.6,8.9,29.4,22.2
LT,2016,15.4,8.6,30,21.9
LT,2017,14.4,8.1,29.8,22.9
LT,2018,12,6.9,28.5,22.9
LT,2019,9.7,7.8,25.5,20.6
LT,2020,8.1,5.4,24.5,20.9
LU,2015,2.5,1.7,18.4,15.3
LU,2016,2,2.1,19.1,15.8
LU,2017,1.9,2.3,19.3,16.4
LU,2018,1.6,2.2,20.1,16.7
LU,2019,1.4,2,20.1,17.5
LU,2020,1.7,1.6,19.9,17.4
LV,2015,15.4,15.5,30,22.5
LV,2016,12.6,14.6,28.2,21.8
LV,2017,12.9,15.2,28.5,22.1
LV,2018,10.4,14.9,28.4,23.3
LV,2019,7.5,12.7,26.7,22.9
LV,2020,7,11.5,25.1,21.6
MT,2015,8.2,1.3,22.2,16.6
MT,2016,5.2,1.6,20.2,16.5
MT,2017,4.3,1.4,19.4,16.7
MT,2018,4.7,1.2,19.2,16.8
MT,2019,5,1.3,20.7,17.1
MT,2020,5.1,1,19.9,16.9
NL,2015,3.2,1,16.4,11.6
NL,2016,2.6,1.4,16.3,12.7
NL,2017,2.6,1,16.6,13.2
NL,2018,2.6,1.3,16.5,13.3
NL,2019,2.8,1.5,16.5,13.2
NL,2020,2.2,1.5,16,13.4
PL,2015,7.8,9.8,22.5,17.6
PL,2016,5.4,9.4,20.6,17.3
PL,2017,5.3,9.8,18.7,15
PL,2018,4.5,8.6,18.2,14.8
PL,2019,3.5,7.9,17.9,15.4
PT,2015,10.9,4.7,26.4,19.5
PT,2016,9.1,4.9,24.9,19
PT,2017,8,4,23.4,18.3
PT,2018,6.6,4.1,21.6,17.3
PT,2019,5.6,4.1,21.1,17.2
PT,2020,5.4,3.9,20,16.2
RO,2015,34,19.8,44.5,25.4
RO,2016,35.9,19.8,46,25.3
RO,2017,32.4,17.2,42.5,23.6
RO,2018,28.3,16.1,38.7,23.5
RO,2019,24.5,14.2,36.1,23.8
RO,2020,25.3,14.3,35.6,23.4
SE,2015,1.1,2.6,18.2,16.3
SE,2016,0.7,2.7,17.7,16.2
SE,2017,1,2.5,17.2,15.8
SE,2018,1.4,2.9,17.7,16.4
SE,2019,1.5,2.6,18.4,17.1
SE,2020,2,2.5,17.7,16.1
SI,2015,4.8,5.6,17.7,14.3
SI,2016,4.1,4.5,16.9,13.9
SI,2017,4.5,4.4,16.6,13.3
SI,2018,3.2,4.8,15.4,13.3
SI,2019,2.2,3.9,13.7,12
SI,2020,2.6,3.1,14.3,12.4
SK,2015,8.4,4.2,17.3,12.3
SK,2016,7.6,4.3,17.1,12.7
SK,2017,6.3,5.2,15.8,12.4
SK,2018,5.4,3.7,15.2,12.2
SK,2019,5.9,3.6,14.8,11.9
SK,2020,4.5,3.2,13.8,11.4
