country,year,deprivation_percentage
AT,2015,2.9
AT,2016,3.3
AT,2017,3.4
AT,2018,2.8
AT,2019,2.7
AT,2020,3.0
AT,2021,1.8
AT,2022,2.3
BE,2015,7.2
BE,2016,8.4
BE,2017,7.2
BE,2018,6.5
BE,2019,6.3
BE,2020,6.7
BE,2021,6.3
BE,2022,5.8
BG,2015,36.8
BG,2016,33.5
BG,2017,30.0
BG,2018,22.3
BG,2019,22.1
BG,2020,22.1
BG,2021,19.1
BG,2022,18.7
CY,2015,7.9
CY,2016,6.6
CY,2017,6.1
CY,2018,3.8
CY,2019,3.2
CY,2020,3.2
CY,2021,2.6
CY,2022,2.7
CZ,2015,4.5
CZ,2016,3.5
CZ,2017,3.4
CZ,2018,2.4
CZ,2019,2.1
CZ,2020,1.9
CZ,2021,1.8
CZ,2022,2.1
DE,2015,5.7
DE,2016,4.7
DE,2017,3.7
DE,2018,3.4
DE,2019,3.0
DE,2020,4.4
DE,2021,4.3
DE,2022,6.1
DK,2015,3.2
DK,2016,2.6
DK,2017,3.6
DK,2018,3.5
DK,2019,3.8
DK,2020,3.5
DK,2021,3.1
DK,2022,3.2
EE,2015,3.5
EE,2016,2.2
EE,2017,4.0
EE,2018,3.1
EE,2019,2.6
EE,2020,2.3
EE,2021,1.9
EE,2022,3.3
EL,2015,17.6
EL,2016,18.4
EL,2017,18.3
EL,2018,16.1
EL,2019,15.8
EL,2020,14.9
EL,2021,13.9
EL,2022,13.9
ES,2015,7.4
ES,2016,8.5
ES,2017,8.3
ES,2018,8.7
ES,2019,7.7
ES,2020,8.5
ES,2021,8.3
ES,2022,7.7
FI,2015,1.0
FI,2016,1.2
FI,2017,1.8
FI,2018,2.2
FI,2019,1.9
FI,2020,1.8
FI,2021,1.1
FI,2022,1.9
FR,2015,6.8
FR,2016,6.7
FR,2017,6.3
FR,2018,6.7
FR,2019,7.3
FR,2020,7.0
FR,2021,5.9
FR,2022,7.7
HR,2015,8.4
HR,2016,7.3
HR,2017,7.1
HR,2018,6.1
HR,2019,4.6
HR,2020,4.4
HR,2021,3.5
HR,2022,4.0
HU,2015,24.1
HU,2016,20.6
HU,2017,16.1
HU,2018,11.9
HU,2019,10.9
HU,2020,10.7
HU,2021,10.2
HU,2022,9.1
IE,2015,9.4
IE,2016,8.0
IE,2017,6.9
IE,2018,6.1
IE,2019,7.1
IE,2020,5.7
IE,2021,5.1
IE,2022,5.8
IT,2015,12.1
IT,2016,10.1
IT,2017,6.6
IT,2018,6.5
IT,2019,6.4
IT,2020,6.2
IT,2021,5.9
IT,2022,4.5
LT,2015,14.6
LT,2016,15.4
LT,2017,14.4
LT,2018,12.0
LT,2019,9.7
LT,2020,8.1
LT,2021,6.4
LT,2022,6.0
LU,2015,2.5
LU,2016,2.0
LU,2017,1.9
LU,2018,1.6
LU,2019,1.4
LU,2020,1.7
LU,2021,2.4
LU,2022,2.0
LV,2015,15.4
LV,2016,12.6
LV,2017,12.9
LV,2018,10.4
LV,2019,7.5
LV,2020,7.0
LV,2021,5.3
LV,2022,7.8
LV,2023,6.2
MT,2015,8.2
MT,2016,5.2
MT,2017,4.3
MT,2018,4.7
MT,2019,5.0
MT,2020,5.1
MT,2021,5.4
MT,2022,4.9
NL,2015,3.2
NL,2016,2.6
NL,2017,2.6
NL,2018,2.6
NL,2019,2.8
NL,2020,2.2
NL,2021,2.1
NL,2022,2.5
PL,2015,7.8
PL,2016,5.4
PL,2017,5.3
PL,2018,4.5
PL,2019,3.5
PL,2020,2.6
PL,2021,2.9
PL,2022,2.8
PT,2015,10.9
PT,2016,9.1
PT,2017,8.0
PT,2018,6.6
PT,2019,5.6
PT,2020,5.4
PT,2021,6.0
PT,2022,5.3
RO,2015,34.0
RO,2016,35.9
RO,2017,32.4
RO,2018,28.3
RO,2019,24.5
RO,2020,25.3
RO,2021,23.1
RO,2022,24.3
SE,2015,1.1
SE,2016,0.7
SE,2017,1.0
SE,2018,1.4
SE,2019,1.5
SE,2020,2.0
SE,2021,1.4
SE,2022,2.3
SI,2015,4.8
SI,2016,4.1
SI,2017,4.5
SI,2018,3.2
SI,2019,2.2
SI,2020,2.6
SI,2021,1.8
SI,2022,1.4
SK,2015,8.4
SK,2016,7.6
SK,2017,6.3
SK,2018,5.4
SK,2019,5.9
SK,2020,4.5
SK,2021,5.7
SK,2022,6.3
