DATAFLOW,LAST UPDATE,freq,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2015,2.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2016,3.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2017,3.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2018,2.8,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2019,2.7,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2020,3.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2021,1.8,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2022,2.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2015,7.2,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2016,8.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2017,7.2,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2018,6.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2019,6.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2020,6.7,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2021,6.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2022,5.8,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2015,36.8,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2016,33.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2017,30.0,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2018,22.3,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2019,22.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2020,22.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2021,19.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2022,18.7,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2015,7.9,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2016,6.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2017,6.1,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2018,3.8,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2019,3.2,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2020,3.2,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2021,2.6,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2022,2.7,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CZ,2015,4.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CZ,2016,3.5,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CZ,2017,3.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CZ,2018,2.4,
ESTAT:TIPSLC30(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CZ,2019,2.1,
