country,year,house_deprivation_percentage
AL,2017,22.4
AL,2018,24.0
AL,2019,21.0
AL,2020,15.3
AT,2003,1.6
AT,2004,3.8
AT,2005,3.7
AT,2006,3.9
AT,2007,3.8
AT,2008,4.6
AT,2009,4.1
AT,2010,4.0
AT,2011,3.8
AT,2012,3.8
AT,2013,3.9
AT,2014,3.7
AT,2015,4.3
AT,2016,4.2
AT,2017,4.4
AT,2018,3.2
AT,2019,3.0
AT,2020,3.0
BE,2003,2.4
BE,2004,1.2
BE,2005,1.7
BE,2006,1.1
BE,2007,1.2
BE,2008,1.1
BE,2009,1.3
BE,2010,1.9
BE,2011,1.0
BE,2012,0.6
BE,2013,0.9
BE,2014,0.9
BE,2015,0.9
BE,2016,1.7
BE,2017,2.3
BE,2018,2.2
BE,2019,1.9
BE,2020,2.3
BG,2006,22.8
BG,2007,18.2
BG,2008,23.5
BG,2009,18.8
BG,2010,14.7
BG,2011,14.3
BG,2012,12.9
BG,2013,13.0
BG,2014,12.9
BG,2015,11.4
BG,2016,11.6
BG,2017,10.6
BG,2018,10.1
BG,2019,8.9
BG,2020,8.6
CH,2007,2.2
CH,2008,1.1
CH,2009,1.5
CH,2010,1.2
CH,2011,1.4
CH,2012,1.8
CH,2013,2.0
CH,2014,1.4
CH,2015,1.7
CH,2016,2.3
CH,2017,2.2
CH,2018,2.3
CH,2019,1.6
CH,2020,1.8
CY,2005,1.6
CY,2006,1.3
CY,2007,0.8
CY,2008,1.6
CY,2009,1.1
CY,2010,1.6
CY,2011,1.6
CY,2012,1.2
CY,2013,1.4
CY,2014,1.5
CY,2015,0.5
CY,2016,1.3
CY,2017,0.9
CY,2018,1.1
CY,2019,1.3
CY,2020,1.6
CZ,2005,9.8
CZ,2006,10.7
CZ,2007,8.1
CZ,2008,6.5
CZ,2009,6.2
CZ,2010,4.5
CZ,2011,4.8
CZ,2012,3.9
CZ,2013,4.0
CZ,2014,3.5
CZ,2015,3.3
CZ,2016,3.0
CZ,2017,2.1
CZ,2018,2.3
CZ,2019,1.9
CZ,2020,2.0
DE,2005,1.8
DE,2006,2.5
DE,2007,1.8
DE,2008,2.0
DE,2009,2.1
DE,2010,2.1
DE,2011,2.1
DE,2012,1.9
DE,2013,1.6
DE,2014,1.9
