DATAFLOW,LAST UPDATE,freq,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2015,16.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2016,17.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2017,17.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2018,16.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2019,16.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2020,16.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2021,17.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,AT,2022,17.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2015,21.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2016,22.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2017,22.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2018,20.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2019,20.0,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2020,20.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2021,18.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BE,2022,18.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2015,43.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2016,41.0,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2017,38.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2018,33.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2019,33.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2020,33.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2021,31.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,BG,2022,32.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2015,22.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2016,22.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2017,21.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2018,19.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2019,18.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2020,17.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2021,17.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CY,2022,16.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CZ,2015,13.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CZ,2016,12.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CZ,2017,12.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CZ,2018,11.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CZ,2019,12.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CZ,2020,11.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CZ,2021,10.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,CZ,2022,11.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DE,2015,20.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DE,2016,19.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DE,2017,18.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DE,2018,18.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DE,2019,17.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DE,2020,20.4,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DE,2021,21.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DE,2022,20.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DK,2015,18.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DK,2016,17.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DK,2017,17.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DK,2018,17.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DK,2019,17.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DK,2020,16.8,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DK,2021,17.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,DK,2022,17.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2015,23.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2016,23.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2017,23.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2018,23.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2019,23.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2020,22.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2021,22.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EE,2022,25.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2015,32.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2016,32.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2017,32.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2018,30.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2019,29.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2020,27.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2021,28.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,EL,2022,26.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2015,28.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2016,28.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2017,27.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2018,27.3,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2019,26.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2020,27.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2021,27.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,ES,2022,26.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2015,16.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2016,16.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2017,16.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2018,16.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2019,14.5,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2020,14.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2021,14.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FI,2022,16.3,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2015,18.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2016,18.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2017,17.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2018,17.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2019,18.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2020,19.3,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2021,19.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,FR,2022,21.0,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2015,24.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2016,23.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2017,23.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2018,22.1,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2019,20.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2020,20.5,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2021,20.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HR,2022,19.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2015,30.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2016,28.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2017,25.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2018,20.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2019,20.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2020,19.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2021,19.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,HU,2022,18.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2015,25.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2016,23.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2017,22.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2018,20.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2019,20.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2020,20.1,b
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2021,20.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IE,2022,20.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2015,28.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2016,27.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2017,25.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2018,25.7,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2019,24.6,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2020,24.9,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2021,25.2,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,IT,2022,24.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2015,29.4,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2016,30.0,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2017,29.8,
ESTAT:TIPSLC10(1.0),02/02/24 23:00:00,A,T,PC,TOTAL,LT,2018,28.5,
