country,year,risk_after_social_transfer_percentage
AT,1995,13.0
AT,1996,14.0
AT,1997,13.0
AT,1998,13.0
AT,1999,12.0
AT,2000,12.0
AT,2001,12.0
AT,2003,13.2
AT,2004,13.0
AT,2005,12.6
AT,2006,12.6
AT,2007,12.0
AT,2008,15.2
AT,2009,14.5
AT,2010,14.7
AT,2011,14.5
AT,2012,14.4
AT,2013,14.4
AT,2014,14.1
AT,2015,13.9
AT,2016,14.1
AT,2017,14.4
AT,2018,14.3
AT,2019,13.3
AT,2020,13.9
AT,2021,14.7
AT,2022,14.8
BE,1995,16.0
BE,1996,15.0
BE,1997,14.0
BE,1998,14.0
BE,1999,13.0
BE,2000,13.0
BE,2001,13.0
BE,2003,15.4
BE,2004,14.3
BE,2005,14.8
BE,2006,14.7
BE,2007,15.2
BE,2008,14.7
BE,2009,14.6
BE,2010,14.6
BE,2011,15.3
BE,2012,15.3
BE,2013,15.1
BE,2014,15.5
BE,2015,14.9
BE,2016,15.5
BE,2017,15.9
BE,2018,16.4
BE,2019,14.8
BE,2020,14.1
BE,2021,12.7
BE,2022,13.2
BG,2000,14.0
BG,2001,16.0
BG,2002,14.0
BG,2006,18.4
BG,2007,22.0
BG,2008,21.4
BG,2009,21.8
BG,2010,20.7
BG,2011,22.2
BG,2012,21.2
BG,2013,21.0
BG,2014,21.8
BG,2015,22.0
BG,2016,22.9
BG,2017,23.4
BG,2018,22.0
BG,2019,22.6
BG,2020,23.8
BG,2021,22.1
BG,2022,22.9
CY,2005,16.1
CY,2006,15.6
CY,2007,15.5
CY,2008,15.9
CY,2009,15.8
CY,2010,15.6
CY,2011,14.8
CY,2012,14.7
CY,2013,15.3
CY,2014,14.4
CY,2015,16.2
CY,2016,16.1
CY,2017,15.7
CY,2018,15.4
CY,2019,14.7
CY,2020,14.3
CY,2021,13.8
CY,2022,13.9
CZ,2001,8.0
CZ,2005,10.4
CZ,2006,9.9
CZ,2007,9.6
CZ,2008,9.0
CZ,2009,8.6
CZ,2010,9.0
CZ,2011,9.8
CZ,2012,9.6
CZ,2013,8.6
CZ,2014,9.7
CZ,2015,9.7
CZ,2016,9.7
CZ,2017,9.1
CZ,2018,9.6
CZ,2019,10.1
CZ,2020,9.5
CZ,2021,8.6
CZ,2022,10.2
DE,1995,15.0
DE,1996,14.0
DE,1997,12.0
DE,1998,11.0
DE,1999,11.0
DE,2000,10.0
DE,2001,11.0
DE,2005,12.2
DE,2006,12.5
DE,2007,15.2
DE,2008,15.2
DE,2009,15.5
DE,2010,15.6
DE,2011,15.8
DE,2012,16.1
DE,2013,16.1
DE,2014,16.7
DE,2015,16.7
DE,2016,16.5
DE,2017,16.1
DE,2018,16.0
DE,2019,14.8
DE,2020,16.1
DE,2021,16.0
DE,2022,14.7
DK,1995,10.0
DK,1997,10.0
DK,1999,10.0
DK,2001,10.0
DK,2003,11.7
DK,2004,10.9
DK,2005,11.8
DK,2006,11.7
DK,2007,11.7
DK,2008,11.8
DK,2009,13.1
DK,2010,13.3
DK,2011,12.1
DK,2012,12.0
DK,2013,11.9
DK,2014,12.1
DK,2015,12.2
DK,2016,11.9
DK,2017,12.4
DK,2018,12.7
DK,2019,12.5
DK,2020,12.1
DK,2021,12.3
DK,2022,12.4
EE,2000,18.0
EE,2001,18.0
EE,2002,18.0
EE,2004,20.2
EE,2005,18.3
EE,2006,18.3
EE,2007,19.4
EE,2008,19.5
EE,2009,19.7
EE,2010,15.8
EE,2011,17.5
EE,2012,17.5
EE,2013,18.6
EE,2014,21.8
EE,2015,21.6
EE,2016,21.7
EE,2017,21.0
EE,2018,21.9
EE,2019,21.7
EE,2020,20.7
EE,2021,20.6
EE,2022,22.8
EL,1995,22.0
EL,1996,21.0
EL,1997,21.0
EL,1998,21.0
EL,1999,21.0
EL,2000,20.0
EL,2001,20.0
EL,2003,20.7
EL,2004,19.9
EL,2005,19.6
EL,2006,20.5
EL,2007,20.3
EL,2008,20.1
EL,2009,19.7
EL,2010,20.1
EL,2011,21.4
EL,2012,23.1
EL,2013,23.1
EL,2014,22.1
EL,2015,21.4
EL,2016,21.2
EL,2017,20.2
EL,2018,18.5
EL,2019,17.9
EL,2020,17.7
EL,2021,19.6
EL,2022,18.8
ES,1995,19.0
ES,1996,18.0
ES,1997,20.0
ES,1998,18.0
ES,1999,19.0
ES,2000,18.0
ES,2001,19.0
ES,2002,19.0
ES,2004,20.1
ES,2005,20.1
ES,2006,20.3
ES,2007,19.7
ES,2008,19.8
ES,2009,20.4
ES,2010,20.7
ES,2011,20.6
ES,2012,20.8
ES,2013,20.4
ES,2014,22.2
ES,2015,22.1
ES,2016,22.3
ES,2017,21.6
ES,2018,21.5
ES,2019,20.7
ES,2020,21.0
ES,2021,21.7
ES,2022,20.4
FI,1996,8.0
FI,1997,8.0
FI,1998,9.0
FI,1999,11.0
FI,2000,11.0
FI,2001,11.0
FI,2002,11.0
FI,2004,11.0
FI,2005,11.7
FI,2006,12.6
FI,2007,13.0
FI,2008,13.6
FI,2009,13.8
FI,2010,13.1
FI,2011,13.7
FI,2012,13.2
FI,2013,11.8
FI,2014,12.8
FI,2015,12.4
FI,2016,11.6
FI,2017,11.5
FI,2018,12.0
FI,2019,11.6
FI,2020,12.2
FI,2021,10.8
FI,2022,12.7
FR,1995,15.0
FR,1996,15.0
FR,1997,15.0
FR,1998,15.0
FR,1999,15.0
FR,2000,16.0
FR,2001,13.0
FR,2002,12.0
FR,2004,13.5
FR,2005,13.0
FR,2006,13.2
FR,2007,13.1
FR,2008,12.5
FR,2009,12.9
FR,2010,13.3
FR,2011,14.0
FR,2012,14.1
FR,2013,13.7
FR,2014,13.3
FR,2015,13.6
FR,2016,13.6
FR,2017,13.2
FR,2018,13.4
FR,2019,13.6
FR,2020,14.2
FR,2021,14.3
FR,2022,15.6
HR,2010,20.6
HR,2011,20.9
HR,2012,20.4
HR,2013,19.5
HR,2014,19.4
HR,2015,20.0
HR,2016,19.5
HR,2017,20.0
HR,2018,19.3
HR,2019,18.3
HR,2020,18.3
HR,2021,19.2
HR,2022,18.0
HU,2000,11.0
HU,2001,11.0
HU,2002,10.0
HU,2005,13.5
HU,2006,15.9
HU,2007,12.3
HU,2008,12.4
HU,2009,12.4
HU,2010,12.3
HU,2011,14.1
HU,2012,14.3
HU,2013,15.0
HU,2014,15.0
HU,2015,14.9
HU,2016,14.5
HU,2017,13.4
HU,2018,12.8
HU,2019,12.3
HU,2020,12.3
HU,2021,12.6
HU,2022,12.1
IE,1995,19.0
IE,1996,19.0
IE,1997,19.0
IE,1998,19.0
IE,1999,19.0
IE,2000,20.0
IE,2001,21.0
IE,2003,20.5
IE,2004,20.9
IE,2005,19.7
IE,2006,18.5
IE,2007,17.2
IE,2008,15.5
IE,2009,15.0
IE,2010,15.2
IE,2011,15.2
IE,2012,16.3
