DATAFLOW,LAST UPDATE,freq,sex,unit,indic_il,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,1995,13.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,1996,14.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,1997,13.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,1998,13.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,1999,12.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,2000,12.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,2001,12.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,2003,13.2,b
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,2004,13.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,2005,12.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,2006,12.6,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,2007,12.0,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,2008,15.2,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,2009,14.5,
ESTAT:TIPSLC20(1.0),02/02/24 23:00:00,A,T,PC,LI_R_MD60,TOTAL,AT,2010,14.7,
