country,year,death_rate,assault_rate_per_100k,homicide_rate_per_100k,country,year,bottom_40_income_share,disposable_income_per_capita,inability_make_ends_meet_percentage,gdp_per_capita,mean_income,median_income,purchasing_power,country,year,early_leavers_percentage,tertiary_attainment_percentage,country,year,life_expectancy,healthy_expectancy_2004_2021,country,year,emigration,immigration,country,year,deprivation_percentage,house_deprivation_percentage,poverty_risk_percentage,risk_after_social_transfer_percentage,country,year,average_annual_net_earnings,employment_rate,income_inequality_ratio,work_poverty_risk_percentage
AT,2015,0.57,40.31,0.49,AT,2015,23.1,25201,5.3,36140,24531,21981,35900,AT,2015,7.3,38.6,AT,2015,81.3,58,AT,2015,56689,166323,AT,2015,2.9,4.3,16.9,13.9,AT,2015,28524.14,74.3,4.12,7.9
AT,2016,0.5,43.6,0.56,AT,2016,23,25644,4.3,36390,25368,23071,36600,AT,2016,6.9,39.7,AT,2016,81.8,57,AT,2016,64428,129509,AT,2016,3.3,4.2,17.2,14.1,AT,2016,30601.53,74.8,4.19,8.3
AT,2017,0.54,41.32,0.7,AT,2017,22.7,26041,4.5,36980,26076,23361,37200,AT,2017,7.4,40.3,AT,2017,81.7,57.1,AT,2017,66144,111801,AT,2017,3.4,4.4,17.1,14.4,AT,2017,31083.14,75.4,4.44,7.7
AT,2018,0.57,42.06,0.83,AT,2018,23.2,26633,4.5,37690,25627,23204,38600,AT,2018,7.3,40.5,AT,2018,81.8,56.9,AT,2018,67212,105633,AT,2018,2.8,3.2,16.8,14.3,AT,2018,31640.93,76.2,4.1,8
AT,2019,0.51,43.29,0.84,AT,2019,22.9,27058,4,38070,26300,23687,39400,AT,2019,7.8,41.6,AT,2019,82,57.3,AT,2019,68280,109167,AT,2019,2.7,3,16.5,13.3,AT,2019,32325.12,76.8,4.2,7.6
AT,2020,0.42,39.87,0.61,AT,2020,23.2,26758,3.9,35390,25924,23334,37400,AT,2020,8.1,41.4,AT,2020,81.3,58.7,AT,2020,62581,103565,AT,2020,3,3,16.7,13.9,AT,2020,33032.37,74.8,4.16,7.2
BE,2015,1.06,555.13,2.06,BE,2015,23.2,23871,8.6,34360,21779,19921,33200,BE,2015,10.1,43.1,BE,2015,81.1,64.2,BE,2015,89794,146626,BE,2015,7.2,0.9,21.6,14.9,BE,2015,26953.59,67.2,3.91,4.6
BE,2016,1.1,556.84,1.55,BE,2016,23,23941,9.3,34620,23218,21335,33800,BE,2016,8.8,44.3,BE,2016,81.5,63.7,BE,2016,92471,123702,BE,2016,8.4,1.7,22.2,15.5,BE,2016,27574.37,67.7,3.95,4.8
BE,2017,1.06,552.89,1.74,BE,2017,23.2,24486,8.6,35050,22437,20904,34600,BE,2017,8.9,45.7,BE,2017,81.6,63.7,BE,2017,89690,126703,BE,2017,7.2,2.3,22,15.9,BE,2017,28238.76,68.5,4.01,5
BE,2018,1,565.92,1.68,BE,2018,23.3,25059,8.1,35510,22714,21353,35600,BE,2018,8.6,47.4,BE,2018,81.7,63.4,BE,2018,88935,137860,BE,2018,6.5,2.2,20.5,16.4,BE,2018,29240.96,69.7,3.92,5.1
BE,2019,0.81,558.87,1.27,BE,2019,23.9,25938,8.9,36110,23597,22100,36800,BE,2019,8.4,47.3,BE,2019,82.1,62.4,BE,2019,102936,150006,BE,2019,6.3,1.9,20,14.8,BE,2019,30188.71,70.5,3.65,4.8
BE,2020,0.72,481.62,1.26,BE,2020,23.8,26665,7.8,34060,24004,22294,35600,BE,2020,8.1,48.5,BE,2020,80.8,63.8,BE,2020,76562,118683,BE,2020,6.7,2.3,20.3,14.1,BE,2020,30539.81,69.7,3.62,4.2
BG,2015,1.38,34.99,1.75,BG,2015,17.8,9657,30.6,5700,8454,6882,13200,BG,2015,13.4,31.8,BG,2015,74.7,63.2,BG,2015,29470,25223,BG,2015,36.8,11.4,43.3,22,BG,2015,4339.15,66.5,7.56,7.7
BG,2016,1.08,34.53,1.1,BG,2016,17.2,10088,28.9,5910,8253,6742,13900,BG,2016,13.8,32.8,BG,2016,74.9,65.7,BG,2016,30570,21241,BG,2016,33.5,11.6,41,22.9,BG,2016,4689.05,67,8.89,11.4
BG,2017,1.17,39.58,1.34,BG,2017,16.5,10508,28,6120,9648,7533,14700,BG,2017,12.7,33.4,BG,2017,74.8,64.5,BG,2017,31586,25597,BG,2017,30,10.6,38,23.4,BG,2017,5132.74,70.6,9.01,9.9
CY,2017,1,16.85,0.82,CY,2017,21.4,18782,22.2,23470,20045,16877,26400,CY,2017,8.5,57.0,CY,2017,82.2,65.2,CY,2017,15105,21306,CY,2017,6.1,0.9,21.4,15.7,CY,2017,19531.22,70.8,4.52,7.9
CY,2018,1.57,15.27,1.62,CY,2018,22.1,19345,20.7,24500,20068,17505,27600,CY,2018,7.8,58.5,CY,2018,82.9,62.2,CY,2018,15340,23442,CY,2018,3.8,1.1,19.1,15.4,CY,2018,20026.89,73.9,4.23,7.4
CY,2019,1.43,20.09,1.48,CY,2019,21.5,20779,16.9,25510,22129,18590,29100,CY,2019,9.2,60.3,CY,2019,82.3,62.5,CY,2019,17373,26170,CY,2019,3.2,1.3,18.6,14.7,CY,2019,20282.76,75.7,4.55,6.7
CY,2020,1.43,15.32,1.69,CY,2020,22.2,21001,11.2,24360,21293,18305,27300,CY,2020,11.5,57.8,CY,2020,82.4,62.9,CY,2020,21368,25861,CY,2020,3.2,1.6,17.6,14.3,CY,2020,20361.98,74.9,4.27,7.3
CZ,2015,0.84,49.62,0.84,CZ,2015,24.8,16340,7.8,16290,13100,11652,24400,CZ,2015,6.2,31.0,CZ,2015,78.7,63,CZ,2015,25684,29602,CZ,2015,4.5,3.3,13,9.7,CZ,2015,9008.76,74.8,3.69,4
CZ,2016,0.5,47.85,0.62,CZ,2016,24.7,16750,7.1,16670,14023,12478,25100,CZ,2016,6.6,32.6,CZ,2016,79.1,63.3,CZ,2016,38864,64083,CZ,2016,3.5,3,12.4,9.7,CZ,2016,9449.38,76.7,3.68,3.8
CZ,2017,0.62,45.06,0.38,CZ,2017,25,17901,7.4,17490,14167,12641,26700,CZ,2017,6.7,33.8,CZ,2017,79.1,61.4,CZ,2017,27316,51847,CZ,2017,3.4,2.1,12.1,9.1,CZ,2017,10296.87,78.5,3.53,3.5
CZ,2018,0.53,46.81,0.52,CZ,2018,25.1,18669,4.5,17990,14737,13264,27900,CZ,2018,6.2,33.3,CZ,2018,79.1,62.7,CZ,2018,26742,65910,CZ,2018,2.4,2.3,11.8,9.6,CZ,2018,11256.33,79.9,3.35,3.4
CZ,2019,0.72,43.98,0.76,CZ,2019,25,19531,3.3,18460,15541,14035,29200,CZ,2019,6.7,32.6,CZ,2019,79.3,62,CZ,2019,77798,105888,CZ,2019,2.1,1.9,12.1,10.1,CZ,2019,11992.68,80.3,3.33,3.5
CZ,2020,0.59,36.39,0.53,CZ,2020,24.9,19715,3,17400,15825,14151,28100,CZ,2020,7.6,33.0,CZ,2020,78.2,61.6,CZ,2020,35854,63095,CZ,2020,1.9,2,11.5,9.5,CZ,2020,11974.4,79.7,3.35,3.7
DE,2015,0.53,156.9,0.81,DE,2015,21.4,25992,2.6,34130,23155,20365,34200,DE,2015,10.1,29.6,DE,2015,80.7,66.4,DE,2015,338403,1571047,DE,2015,5.7,1.8,20,16.7,DE,2015,28410.71,76.9,5.04,9.7
DE,2016,0.46,170.41,0.91,DE,2016,21.7,26823,2.3,34610,23881,21152,35100,DE,2016,10.3,30.5,DE,2016,81,66.4,DE,2016,533762,1029852,DE,2016,4.7,1.9,19.8,16.5,DE,2016,28986.32,77.6,4.73,9.5
DE,2017,0.44,166.09,0.89,DE,2017,22,27652,2.1,35410,24114,21331,36500,DE,2017,10.1,31.3,DE,2017,81.1,66,DE,2017,560700,917109,DE,2017,3.7,1.8,18.8,16.1,DE,2017,29468.63,78.2,4.62,9.1
DE,2018,0.4,165.14,0.76,DE,2018,21.2,28711,1.7,35650,25048,21980,37400,DE,2018,10.3,32.3,DE,2018,81,65.8,DE,2018,540415,893886,DE,2018,3.4,2.3,18.5,16,DE,2018,30419.87,78.9,5.26,9.1
DE,2019,0.4,160.31,0.71,DE,2019,21.7,29057,1.4,35950,25194,22693,37900,DE,2019,10.3,33.3,DE,2019,81.3,66.3,DE,2019,576319,886341,DE,2019,3,2.1,17.3,14.8,DE,2019,31486.26,79.6,4.89,8
DE,2020,0.44,156.86,0.86,DE,2020,21.3,29635,1.7,34550,27851,24229,37000,DE,2020,10.1,35.3,DE,2020,81.1,65.7,DE,2020,488138,728606,DE,2020,4.4,1.2,20.4,16.1,DE,2020,31292.95,78.2,4.99,8.6
DK,2015,0.6,25.8,0.92,DK,2015,23.2,22341,3.5,45630,22651,20384,35300,DK,2015,8.1,43.0,DK,2015,80.8,59.1,DK,2015,44625,78492,DK,2015,3.2,2.8,18.6,12.2,DK,2015,34689.46,75.4,4.27,5.5
DK,2016,0.47,30.36,0.93,DK,2016,23.2,22616,3.2,46720,23945,21355,36100,DK,2016,7.5,44.6,DK,2016,80.9,60.3,DK,2016,52654,74383,DK,2016,2.6,1.7,17.5,11.9,DK,2016,35021.65,76,4.22,5.3
DK,2017,0.81,33.12,1.06,DK,2017,23.3,23546,3.4,47740,23387,20955,38000,DK,2017,8.8,45.5,DK,2017,81.1,59.7,DK,2017,56403,68579,DK,2017,3.6,2.7,17.8,12.4,DK,2017,35558.92,76.6,4.38,5.3
DK,2018,0.68,32.12,0.93,DK,2018,23.2,24209,3.5,48450,24275,21646,39000,DK,2018,10.4,45.8,DK,2018,81,60.9,DK,2018,60381,64669,DK,2018,3.5,3.2,17.5,12.7,DK,2018,36515.61,77.5,4.33,6
DK,2019,0.63,33.9,0.91,DK,2019,23.2,24545,3.2,48970,25004,22371,39500,DK,2019,9.9,47.1,DK,2019,81.5,58.9,DK,2019,66520,61384,DK,2019,3.8,2.8,17.3,12.5,DK,2019,37361.19,78.3,4.19,6.3
DK,2020,0.62,32.13,0.88,DK,2020,23.4,24756,3.2,47680,24400,21796,40000,DK,2020,9.3,47.1,DK,2020,81.6,58,DK,2020,53822,57230,DK,2020,3.5,2.8,16.8,12.1,DK,2020,38206.92,77.8,4.2,6.2
EE,2015,3.64,7.45,3.8,EE,2015,18.5,14149,4.9,13230,12550,10432,21000,EE,2015,13.7,38.5,EE,2015,78,55,EE,2015,13003,15413,EE,2015,3.5,2.8,23.6,21.6,EE,2015,10638.42,76.7,6.66,10
EE,2016,2.65,7.07,2.51,EE,2016,19.2,14672,4.9,13620,13868,11867,21700,EE,2016,11.4,39.1,EE,2016,78,56.8,EE,2016,13792,14822,EE,2016,2.2,3.3,23.1,21.7,EE,2016,11454.71,77,5.7,9.6
EE,2017,2.28,5.78,2.2,EE,2017,19.6,15368,3.7,14410,14151,12414,23300,EE,2017,11.8,40.9,EE,2017,78.4,56,EE,2017,12358,17616,EE,2017,4,3.3,23.3,21,EE,2017,12233.44,79.2,5.45,9.3
EE,2018,2.26,6.82,1.9,EE,2018,20.1,16378,4.3,14920,14932,13378,24700,EE,2018,12,41.1,EE,2018,78.5,53.9,EE,2018,10476,17547,EE,2018,3.1,2.9,23.6,21.9,EE,2018,13437.69,79.7,4.95,9.3
