country,year,deprivation_percentage,house_deprivation_percentage,poverty_risk_percentage,risk_after_social_transfer_percentage,employment_rate,income_inequality_ratio,work_poverty_risk_percentage,early_leavers_percentage,bottom_40_income_share,inability_make_ends_meet_percentage,mean_income,median_income,death_rate,homicide_rate_per_100k
AT,2015,2.9,4.3,16.9,13.9,74.3,4.12,7.9,7.3,23.1,5.3,24531,21981,0.57,0.49
AT,2016,3.3,4.2,17.2,14.1,74.8,4.19,8.3,6.9,23,4.3,25368,23071,0.5,0.56
AT,2017,3.4,4.4,17.1,14.4,75.4,4.44,7.7,7.4,22.7,4.5,26076,23361,0.54,0.7
AT,2018,2.8,3.2,16.8,14.3,76.2,4.1,8,7.3,23.2,4.5,25627,23204,0.57,0.83
AT,2019,2.7,3,16.5,13.3,76.8,4.2,7.6,7.8,22.9,4,26300,23687,0.51,0.84
AT,2020,3,3,16.7,13.9,74.8,4.16,7.2,8.1,23.2,3.9,25924,23334,0.42,0.61
BE,2015,7.2,0.9,21.6,14.9,67.2,3.91,4.6,10.1,23.2,8.6,21779,19921,1.06,2.06
BE,2016,8.4,1.7,22.2,15.5,67.7,3.95,4.8,8.8,23,9.3,23218,21335,1.1,1.55
BE,2017,7.2,2.3,22,15.9,68.5,4.01,5,8.9,23.2,8.6,22437,20904,1.06,1.74
BE,2018,6.5,2.2,20.5,16.4,69.7,3.92,5.1,8.6,23.3,8.1,22714,21353,1,1.68
BE,2019,6.3,1.9,20,14.8,70.5,3.65,4.8,8.4,23.9,8.9,23597,22100,0.81,1.27
BE,2020,6.7,2.3,20.3,14.1,69.7,3.62,4.2,8.1,23.8,7.8,24004,22294,0.72,1.26
BG,2015,36.8,11.4,43.3,22,66.5,7.56,7.7,13.4,17.8,30.6,8454,6882,1.38,1.75
BG,2016,33.5,11.6,41,22.9,67,8.89,11.4,13.8,17.2,28.9,8253,6742,1.08,1.1
BG,2017,30,10.6,38,23.4,70.6,9.01,9.9,12.7,16.5,28,9648,7533,1.17,1.34
BG,2018,22.3,10.1,33,22,71.7,8.37,9.9,12.7,17,26.5,9336,7218,1.18,1.3
BG,2019,22.1,8.9,33.2,22.6,74.3,8.74,8.9,13.9,16.4,23.7,11001,8371,0.97,1.14
BG,2020,22.1,8.6,33.5,23.8,72.7,8.51,9.6,12.8,16.6,18.6,11112,8647,0.72,0.95
CY,2015,7.9,0.5,22.8,16.2,67.9,5.27,9.1,5.2,20.1,32,18812,15313,1.49,1.42
CY,2016,6.6,1.3,22.6,16.1,68.7,4.88,8.2,7.6,20.7,29.4,19545,16173,1.25,1.3
CY,2017,6.1,0.9,21.4,15.7,70.8,4.52,7.9,8.5,21.4,22.2,20045,16877,1,0.82
CY,2018,3.8,1.1,19.1,15.4,73.9,4.23,7.4,7.8,22.1,20.7,20068,17505,1.57,1.62
CY,2019,3.2,1.3,18.6,14.7,75.7,4.55,6.7,9.2,21.5,16.9,22129,18590,1.43,1.48
CY,2020,3.2,1.6,17.6,14.3,74.9,4.27,7.3,11.5,22.2,11.2,21293,18305,1.43,1.69
CZ,2015,4.5,3.3,13,9.7,74.8,3.69,4,6.2,24.8,7.8,13100,11652,0.84,0.84
CZ,2016,3.5,3,12.4,9.7,76.7,3.68,3.8,6.6,24.7,7.1,14023,12478,0.5,0.62
CZ,2017,3.4,2.1,12.1,9.1,78.5,3.53,3.5,6.7,25,7.4,14167,12641,0.62,0.38
CZ,2018,2.4,2.3,11.8,9.6,79.9,3.35,3.4,6.2,25.1,4.5,14737,13264,0.53,0.52
CZ,2019,2.1,1.9,12.1,10.1,80.3,3.33,3.5,6.7,25,3.3,15541,14035,0.72,0.76
CZ,2020,1.9,2,11.5,9.5,79.7,3.35,3.7,7.6,24.9,3,15825,14151,0.59,0.53
DE,2015,5.7,1.8,20,16.7,76.9,5.04,9.7,10.1,21.4,2.6,23155,20365,0.53,0.81
DE,2016,4.7,1.9,19.8,16.5,77.6,4.73,9.5,10.3,21.7,2.3,23881,21152,0.46,0.91
DE,2017,3.7,1.8,18.8,16.1,78.2,4.62,9.1,10.1,22,2.1,24114,21331,0.44,0.89
DE,2018,3.4,2.3,18.5,16,78.9,5.26,9.1,10.3,21.2,1.7,25048,21980,0.4,0.76
DE,2019,3,2.1,17.3,14.8,79.6,4.89,8,10.3,21.7,1.4,25194,22693,0.4,0.71
DE,2020,4.4,1.2,20.4,16.1,78.2,4.99,8.6,10.1,21.3,1.7,27851,24229,0.44,0.86
DK,2015,3.2,2.8,18.6,12.2,75.4,4.27,5.5,8.1,23.2,3.5,22651,20384,0.6,0.92
DK,2016,2.6,1.7,17.5,11.9,76,4.22,5.3,7.5,23.2,3.2,23945,21355,0.47,0.93
DK,2017,3.6,2.7,17.8,12.4,76.6,4.38,5.3,8.8,23.3,3.4,23387,20955,0.81,1.06
DK,2018,3.5,3.2,17.5,12.7,77.5,4.33,6,10.4,23.2,3.5,24275,21646,0.68,0.93
DK,2019,3.8,2.8,17.3,12.5,78.3,4.19,6.3,9.9,23.2,3.2,25004,22371,0.63,0.91
DK,2020,3.5,2.8,16.8,12.1,77.8,4.2,6.2,9.3,23.4,3.2,24400,21796,0.62,0.88
EE,2015,3.5,2.8,23.6,21.6,76.7,6.66,10,13.7,18.5,4.9,12550,10432,3.64,3.8
EE,2016,2.2,3.3,23.1,21.7,77,5.7,9.6,11.4,19.2,4.9,13868,11867,2.65,2.51
EE,2017,4,3.3,23.3,21,79.2,5.45,9.3,11.8,19.6,3.7,14151,12414,2.28,2.2
EE,2018,3.1,2.9,23.6,21.9,79.7,4.95,9.3,12,20.1,4.3,14932,13378,2.26,1.9
