country,year,average_annual_net_earnings,employment_rate,income_inequality_ratio,work_poverty_risk_percentage
AT,2009,25427.88,73.4,4.2,8.2
AT,2010,25770.16,73.9,4.35,7.5
AT,2011,26375.67,74.2,4.12,7.6
AT,2012,26893.06,74.4,4.22,8.1
AT,2013,27520.53,74.6,4.12,7.9
AT,2014,27965.34,74.2,4.16,7.2
AT,2015,28524.14,74.3,4.12,7.9
AT,2016,30601.53,74.8,4.19,8.3
AT,2017,31083.14,75.4,4.44,7.7
AT,2018,31640.93,76.2,4.1,8
AT,2019,32325.12,76.8,4.2,7.6
AT,2020,33032.37,74.8,4.16,7.2
AT,2021,33712.21,75.6,4.11,7.5
AT,2022,35837.4,77.3,4.27,8.2
BE,2009,24323.59,67.1,3.91,4.6
BE,2010,24873.45,67.6,3.9,4.5
BE,2011,25519.85,67.3,3.96,4.2
BE,2012,26287.51,67.2,3.99,4.5
BE,2013,26609.36,67.2,3.9,4.4
BE,2014,26775.94,67.3,3.94,4.8
BE,2015,26953.59,67.2,3.91,4.6
BE,2016,27574.37,67.7,3.95,4.8
BE,2017,28238.76,68.5,4.01,5
BE,2018,29240.96,69.7,3.92,5.1
BE,2019,30188.71,70.5,3.65,4.8
BE,2020,30539.81,69.7,3.62,4.2
BE,2021,31063.95,70.6,3.47,3.8
BE,2022,33006.19,71.9,3.5,3.6
BG,2009,2951.37,68.2,5.93,7.4
BG,2010,3202.34,64.1,5.93,7.7
BG,2011,3396.45,62.3,6.73,8.2
BG,2012,3598.45,62.4,6.56,7.4
BG,2013,3798.06,62.9,7,7.2
BG,2014,4033.73,64.4,7.6,9.2
BG,2015,4339.15,66.5,7.56,7.7
BG,2016,4689.05,67,8.89,11.4
BG,2017,5132.74,70.6,9.01,9.9
BG,2018,5447.1,71.7,8.37,9.9
BG,2019,6093.02,74.3,8.74,8.9
BG,2020,6612.77,72.7,8.51,9.6
BG,2021,7272.19,73.2,7.82,10
BG,2022,8411.76,75.7,7.67,9.7
CH,2010,50916.25,79.7,4.34,7.6
CH,2011,57359.23,80.8,4.34,7.7
CH,2012,61358.26,81,4.19,8.5
CH,2013,60645.88,80.8,4.08,7.6
CH,2014,59338.83,81.1,4.26,6.3
CH,2015,67281.57,81.7,4.34,8.2
CH,2016,67704.82,82,4.3,7.3
CH,2017,66719.38,82.1,4.49,8.2
CH,2018,64808.97,82.5,4.39,7.3
CH,2019,68231.62,82.9,4.63,7.7
CH,2020,72035.35,82.5,4.73,8
CH,2021,74064.39,81.8,4.74,7.3
CH,2022,81818.3,81.9,4.64,8.2
CY,2014,19096.46,67.6,5.41,7.8
CY,2017,19531.22,70.8,4.52,7.9
CY,2018,20026.89,73.9,4.23,7.4
CY,2019,20282.76,75.7,4.55,6.7
CY,2020,20361.98,74.9,4.27,7.3
CY,2021,20951.8,75.9,4.14,7.6
CY,2022,21757.39,77.9,4.2,7.9
CZ,2009,8286.75,70.9,3.6,3.2
CZ,2010,8812.03,70.4,3.63,3.7
CZ,2011,9234.77,70.9,3.71,4
CZ,2012,9275.22,71.5,3.68,4.5
CZ,2013,8961.78,72.5,3.57,4
CZ,2014,8674.36,73.5,3.7,3.6
CZ,2015,9008.76,74.8,3.69,4
CZ,2016,9449.38,76.7,3.68,3.8
CZ,2017,10296.87,78.5,3.53,3.5
CZ,2018,11256.33,79.9,3.35,3.4
CZ,2019,11992.68,80.3,3.33,3.5
CZ,2020,11974.4,79.7,3.35,3.7
CZ,2021,13836.19,80,3.54,3.5
CZ,2022,15497,81.3,3.5,3.4
DE,2009,23870.65,73.2,4.67,6.8
DE,2010,25374.06,74,4.66,7.2
DE,2011,26088.04,75.4,4.6,7.7
DE,2012,26729.61,75.8,4.4,7.8
DE,2013,27171.01,76.3,4.8,8.6
DE,2014,27791.42,76.7,5.37,9.9
DE,2015,28410.71,76.9,5.04,9.7
DE,2016,28986.32,77.6,4.73,9.5
DE,2017,29468.63,78.2,4.62,9.1
DE,2018,30419.87,78.9,5.26,9.1
DE,2019,31486.26,79.6,4.89,8
DE,2020,31292.95,78.2,4.99,8.6
DE,2021,32850.2,79.4,5.08,8.7
DE,2022,34438.87,80.7,4.41,7
DK,2009,30962.07,76.1,4.73,5.9
DK,2010,32349.16,74.9,4.41,6.5
DK,2011,33153.44,74.8,4.09,6.3
DK,2012,33617.32,74.3,4.08,5.2
DK,2013,33873.44,74.3,4.17,5.5
DK,2014,34330.38,74.7,4.18,4.9
DK,2015,34689.46,75.4,4.27,5.5
DK,2016,35021.65,76,4.22,5.3
DK,2017,35558.92,76.6,4.38,5.3
DK,2018,36515.61,77.5,4.33,6
DK,2019,37361.19,78.3,4.19,6.3
DK,2020,38206.92,77.8,4.2,6.2
DK,2021,39273.77,79.1,4.17,6
DK,2022,40584.69,80.1,4.22,5.9
EE,2009,7729.46,70.5,5.2,8.1
EE,2010,7820.19,67.6,5.39,6.5
EE,2011,8324.26,71,5.89,7.9
EE,2012,8812.65,73.1,5.94,8.3
EE,2013,9445.7,74.1,5.94,7.6
EE,2014,9914.95,75,7.09,11.8
EE,2015,10638.42,76.7,6.66,10
EE,2016,11454.71,77,5.7,9.6
EE,2017,12233.44,79.2,5.45,9.3
EE,2018,13437.69,79.7,4.95,9.3
EE,2019,14169.6,80.5,5.02,10
EE,2020,14444.62,79.1,4.92,10
