country,year,average_annual_net_earnings
AT,2000,20525.86
AT,2001,20773.99
AT,2002,21179.51
AT,2003,21956.82
AT,2004,22004.46
AT,2005,22783.76
AT,2006,23391.46
AT,2007,23970.23
AT,2008,24492.09
AT,2009,25427.88
AT,2010,25770.16
AT,2011,26375.67
AT,2012,26893.06
AT,2013,27520.53
AT,2014,27965.34
AT,2015,28524.14
AT,2016,30601.53
AT,2017,31083.14
AT,2018,31640.93
AT,2019,32325.12
AT,2020,33032.37
AT,2021,33712.21
AT,2022,35837.4
BE,2000,18034.69
BE,2001,18884.08
BE,2002,19686.29
BE,2003,20097.89
BE,2004,20739.41
BE,2005,21273.34
BE,2006,21880.46
BE,2007,22396.97
BE,2008,23405.3
BE,2009,24323.59
BE,2010,24873.45
BE,2011,25519.85
BE,2012,26287.51
BE,2013,26609.36
BE,2014,26775.94
BE,2015,26953.59
BE,2016,27574.37
BE,2017,28238.76
BE,2018,29240.96
BE,2019,30188.71
BE,2020,30539.81
BE,2021,31063.95
BE,2022,33006.19
BG,2008,2605.86
BG,2009,2951.37
BG,2010,3202.34
BG,2011,3396.45
BG,2012,3598.45
BG,2013,3798.06
BG,2014,4033.73
BG,2015,4339.15
BG,2016,4689.05
BG,2017,5132.74
BG,2018,5447.1
BG,2019,6093.02
BG,2020,6612.77
BG,2021,7272.19
BG,2022,8411.76
CH,2000,38460.45
CH,2001,40721.56
CH,2002,42844.4
CH,2003,42012.65
CH,2004,42110.35
CH,2005,42419.78
CH,2006,42394.06
CH,2007,41779.68
CH,2008,43376.3
CH,2009,45946.3
CH,2010,50916.25
CH,2011,57359.23
CH,2012,61358.26
CH,2013,60645.88
CH,2014,59338.83
CH,2015,67281.57
CH,2016,67704.82
CH,2017,66719.38
CH,2018,64808.97
CH,2019,68231.62
CH,2020,72035.35
CH,2021,74064.39
CH,2022,81818.3
CY,2005,15591.75
CY,2006,16657.98
CY,2007,17572.13
CY,2014,19096.46
CY,2017,19531.22
CY,2018,20026.89
CY,2019,20282.76
CY,2020,20361.98
CY,2021,20951.8
CY,2022,21757.39
CZ,2000,3503.73
CZ,2001,3960.76
CZ,2002,4676.61
CZ,2003,4721.51
CZ,2004,4999.03
CZ,2005,5587.37
CZ,2006,6394.53
CZ,2007,6962.34
CZ,2008,8345.94
CZ,2009,8286.75
CZ,2010,8812.03
CZ,2011,9234.77
CZ,2012,9275.22
CZ,2013,8961.78
CZ,2014,8674.36
CZ,2015,9008.76
CZ,2016,9449.38
CZ,2017,10296.87
CZ,2018,11256.33
CZ,2019,11992.68
CZ,2020,11974.4
CZ,2021,13836.19
CZ,2022,15497.0
DE,2000,19538.92
DE,2001,20406.53
DE,2002,20871.73
DE,2003,21067.22
DE,2004,21992.56
DE,2005,22363.1
DE,2006,22504.85
DE,2007,23194.68
DE,2008,23841.5
DE,2009,23870.65
DE,2010,25374.06
DE,2011,26088.04
DE,2012,26729.61
DE,2013,27171.01
DE,2014,27791.42
DE,2015,28410.71
DE,2016,28986.32
DE,2017,29468.63
DE,2018,30419.87
DE,2019,31486.26
DE,2020,31292.95
DE,2021,32850.2
DE,2022,34438.87
DK,2000,22125.95
DK,2001,23268.35
DK,2002,24439.83
DK,2003,25154.0
DK,2004,26117.61
DK,2005,26440.34
DK,2006,27243.49
DK,2007,28469.58
DK,2008,29595.89
DK,2009,30962.07
DK,2010,32349.16
DK,2011,33153.44
DK,2012,33617.32
DK,2013,33873.44
DK,2014,34330.38
DK,2015,34689.46
DK,2016,35021.65
DK,2017,35558.92
DK,2018,36515.61
DK,2019,37361.19
DK,2020,38206.92
DK,2021,39273.77
DK,2022,40584.69
