DATAFLOW,LAST UPDATE,freq,currency,estruct,ecase,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2000,20525.86,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2001,20773.99,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2002,21179.51,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2003,21956.82,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2004,22004.46,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2005,22783.76,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2006,23391.46,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2007,23970.23,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2008,24492.09,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2009,25427.88,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2010,25770.16,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2011,26375.67,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2012,26893.06,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2013,27520.53,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2014,27965.34,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2015,28524.14,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2016,30601.53,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2017,31083.14,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2018,31640.93,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2019,32325.12,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2020,33032.37,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2021,33712.21,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,AT,2022,35837.40,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2000,18034.69,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2001,18884.08,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2002,19686.29,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2003,20097.89,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2004,20739.41,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2005,21273.34,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2006,21880.46,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2007,22396.97,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2008,23405.30,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2009,24323.59,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2010,24873.45,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2011,25519.85,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2012,26287.51,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2013,26609.36,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2014,26775.94,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2015,26953.59,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2016,27574.37,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2017,28238.76,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2018,29240.96,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2019,30188.71,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2020,30539.81,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2021,31063.95,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BE,2022,33006.19,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2008,2605.86,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2009,2951.37,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2010,3202.34,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2011,3396.45,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2012,3598.45,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2013,3798.06,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2014,4033.73,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2015,4339.15,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2016,4689.05,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2017,5132.74,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2018,5447.10,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2019,6093.02,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2020,6612.77,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2021,7272.19,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,BG,2022,8411.76,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2000,38460.45,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2001,40721.56,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2002,42844.40,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2003,42012.65,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2004,42110.35,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2005,42419.78,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2006,42394.06,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2007,41779.68,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2008,43376.30,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2009,45946.30,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2010,50916.25,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2011,57359.23,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2012,61358.26,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2013,60645.88,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2014,59338.83,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2015,67281.57,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2016,67704.82,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2017,66719.38,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2018,64808.97,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2019,68231.62,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2020,72035.35,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2021,74064.39,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CH,2022,81818.30,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CY,2005,15591.75,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CY,2006,16657.98,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CY,2007,17572.13,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CY,2014,19096.46,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CY,2017,19531.22,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CY,2018,20026.89,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CY,2019,20282.76,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CY,2020,20361.98,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CY,2021,20951.80,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CY,2022,21757.39,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2000,3503.73,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2001,3960.76,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2002,4676.61,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2003,4721.51,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2004,4999.03,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2005,5587.37,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2006,6394.53,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2007,6962.34,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2008,8345.94,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2009,8286.75,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2010,8812.03,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2011,9234.77,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2012,9275.22,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2013,8961.78,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2014,8674.36,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2015,9008.76,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2016,9449.38,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2017,10296.87,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2018,11256.33,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2019,11992.68,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2020,11974.40,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2021,13836.19,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,CZ,2022,15497.00,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2000,19538.92,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2001,20406.53,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2002,20871.73,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2003,21067.22,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2004,21992.56,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2005,22363.10,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2006,22504.85,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2007,23194.68,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2008,23841.50,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2009,23870.65,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2010,25374.06,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2011,26088.04,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2012,26729.61,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2013,27171.01,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2014,27791.42,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2015,28410.71,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2016,28986.32,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2017,29468.63,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2018,30419.87,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2019,31486.26,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2020,31292.95,
ESTAT:EARN_NT_NET(1.0),14/04/23 11:00:00,A,EUR,NET,P1_NCH_AW100,DE,2021,32850.20,
