country,year,employment_rate
AT,2009,73.4
AT,2010,73.9
AT,2011,74.2
AT,2012,74.4
AT,2013,74.6
AT,2014,74.2
AT,2015,74.3
AT,2016,74.8
AT,2017,75.4
AT,2018,76.2
AT,2019,76.8
AT,2020,74.8
AT,2021,75.6
AT,2022,77.3
BE,2009,67.1
BE,2010,67.6
BE,2011,67.3
BE,2012,67.2
BE,2013,67.2
BE,2014,67.3
BE,2015,67.2
BE,2016,67.7
BE,2017,68.5
BE,2018,69.7
BE,2019,70.5
BE,2020,69.7
BE,2021,70.6
BE,2022,71.9
BG,2009,68.2
BG,2010,64.1
BG,2011,62.3
BG,2012,62.4
BG,2013,62.9
BG,2014,64.4
BG,2015,66.5
BG,2016,67.0
BG,2017,70.6
BG,2018,71.7
BG,2019,74.3
BG,2020,72.7
BG,2021,73.2
BG,2022,75.7
CH,2010,79.7
CH,2011,80.8
CH,2012,81.0
CH,2013,80.8
CH,2014,81.1
CH,2015,81.7
CH,2016,82.0
CH,2017,82.1
CH,2018,82.5
CH,2019,82.9
CH,2020,82.5
CH,2021,81.8
CH,2022,81.9
CY,2009,75.3
CY,2010,75.0
CY,2011,73.4
CY,2012,70.2
CY,2013,67.2
CY,2014,67.6
CY,2015,67.9
CY,2016,68.7
CY,2017,70.8
CY,2018,73.9
CY,2019,75.7
CY,2020,74.9
CY,2021,75.9
CY,2022,77.9
CZ,2009,70.9
CZ,2010,70.4
CZ,2011,70.9
CZ,2012,71.5
CZ,2013,72.5
CZ,2014,73.5
CZ,2015,74.8
CZ,2016,76.7
CZ,2017,78.5
CZ,2018,79.9
CZ,2019,80.3
CZ,2020,79.7
CZ,2021,80.0
CZ,2022,81.3
DE,2009,73.2
DE,2010,74.0
DE,2011,75.4
DE,2012,75.8
DE,2013,76.3
DE,2014,76.7
DE,2015,76.9
DE,2016,77.6
DE,2017,78.2
DE,2018,78.9
DE,2019,79.6
DE,2020,78.2
DE,2021,79.4
DE,2022,80.7
DK,2009,76.1
DK,2010,74.9
DK,2011,74.8
DK,2012,74.3
DK,2013,74.3
DK,2014,74.7
DK,2015,75.4
DK,2016,76.0
DK,2017,76.6
DK,2018,77.5
DK,2019,78.3
DK,2020,77.8
DK,2021,79.1
DK,2022,80.1
EE,2009,70.5
EE,2010,67.6
EE,2011,71.0
EE,2012,73.1
EE,2013,74.1
EE,2014,75.0
EE,2015,76.7
EE,2016,77.0
EE,2017,79.2
EE,2018,79.7
EE,2019,80.5
EE,2020,79.1
EE,2021,79.3
EE,2022,81.9
EL,2009,65.4
EL,2010,63.5
EL,2011,59.3
EL,2012,54.5
EL,2013,52.5
EL,2014,53.1
EL,2015,54.8
EL,2016,55.9
EL,2017,57.4
EL,2018,59.0
EL,2019,60.8
EL,2020,58.3
EL,2021,62.6
EL,2022,66.3
ES,2009,64.0
ES,2010,62.8
ES,2011,62.0
ES,2012,59.6
ES,2013,58.6
ES,2014,59.9
ES,2015,62.0
ES,2016,63.9
ES,2017,65.5
ES,2018,67.0
ES,2019,68.0
ES,2020,65.7
ES,2021,67.7
ES,2022,69.5
FI,2009,72.6
FI,2010,71.9
FI,2011,72.7
FI,2012,73.0
FI,2013,72.5
FI,2014,72.2
FI,2015,71.8
FI,2016,72.4
FI,2017,73.2
FI,2018,75.3
FI,2019,76.2
FI,2020,75.5
FI,2021,76.8
FI,2022,78.4
FR,2009,69.8
FR,2010,69.6
FR,2011,69.5
FR,2012,69.7
FR,2013,69.7
FR,2014,70.0
FR,2015,70.3
FR,2016,70.7
FR,2017,71.3
FR,2018,72.0
FR,2019,72.3
FR,2020,72.1
FR,2021,73.2
FR,2022,74.0
HR,2009,64.2
HR,2010,62.1
HR,2011,59.8
HR,2012,58.1
HR,2013,57.2
HR,2014,59.2
HR,2015,60.6
HR,2016,61.4
HR,2017,63.6
HR,2018,65.2
HR,2019,66.7
HR,2020,66.9
HR,2021,68.2
HR,2022,69.7
HU,2009,62.5
HU,2010,62.2
HU,2011,62.8
HU,2012,63.8
HU,2013,65.2
HU,2014,68.7
HU,2015,70.9
HU,2016,73.7
HU,2017,75.4
HU,2018,76.7
HU,2019,77.6
HU,2020,77.5
HU,2021,78.8
HU,2022,80.2
IE,2009,68.0
IE,2010,65.5
IE,2011,64.5
IE,2012,64.5
IE,2013,66.5
IE,2014,68.1
IE,2015,69.8
IE,2016,71.3
IE,2017,72.9
IE,2018,74.0
IE,2019,75.0
IE,2020,72.1
IE,2021,74.9
IE,2022,78.2
IS,2009,80.6
IS,2010,80.4
IS,2011,80.6
IS,2012,81.8
IS,2013,82.8
IS,2014,84.9
IS,2015,86.5
IS,2016,87.8
IS,2017,87.6
IS,2018,86.5
IS,2019,85.9
IS,2020,82.3
IS,2021,81.4
IS,2022,84.8
IT,2009,61.1
IT,2010,60.5
IT,2011,60.5
IT,2012,60.2
IT,2013,59.1
IT,2014,59.5
IT,2015,60.2
IT,2016,61.4
IT,2017,62.3
IT,2018,63.0
IT,2019,63.5
IT,2020,61.9
IT,2021,62.7
IT,2022,64.8
LT,2009,67.0
LT,2010,64.3
LT,2011,66.9
LT,2012,68.5
LT,2013,69.9
LT,2014,71.8
LT,2015,73.3
LT,2016,75.2
LT,2017,76.0
LT,2018,77.8
LT,2019,78.2
LT,2020,76.7
LT,2021,77.4
LT,2022,79.0
LU,2009,70.4
LU,2010,70.7
LU,2011,70.1
LU,2012,71.4
LU,2013,71.1
LU,2014,72.1
LU,2015,70.9
LU,2016,70.7
LU,2017,71.5
LU,2018,72.1
LU,2019,72.8
LU,2020,72.1
LU,2021,74.1
LU,2022,74.8
LV,2009,66.3
LV,2010,63.9
LV,2011,66.1
LV,2012,67.9
LV,2013,69.5
LV,2014,70.6
LV,2015,72.5
LV,2016,73.0
LV,2017,74.6
LV,2018,76.8
LV,2019,77.3
LV,2020,76.9
LV,2021,75.3
LV,2022,77.0
ME,2011,50.7
ME,2012,52.0
ME,2013,52.7
ME,2014,55.6
ME,2015,56.7
ME,2016,57.1
ME,2017,58.2
ME,2018,59.8
ME,2019,60.8
ME,2020,55.2
MK,2009,47.9
MK,2010,48.1
MK,2011,48.4
MK,2012,48.2
MK,2013,50.3
MK,2014,51.3
MK,2015,51.9
MK,2016,53.3
MK,2017,54.8
MK,2018,56.1
MK,2019,59.2
MK,2020,59.1
MT,2009,59.0
MT,2010,60.1
MT,2011,61.6
MT,2012,63.9
MT,2013,66.2
MT,2014,67.9
MT,2015,69.0
MT,2016,71.1
MT,2017,73.0
MT,2018,75.5
MT,2019,76.8
MT,2020,77.3
MT,2021,79.1
MT,2022,81.1
NL,2009,77.6
NL,2010,77.0
NL,2011,77.2
NL,2012,77.5
NL,2013,76.7
NL,2014,76.3
NL,2015,77.2
NL,2016,77.9
NL,2017,78.9
NL,2018,80.0
NL,2019,81.0
NL,2020,80.8
NL,2021,81.7
NL,2022,82.9
NO,2009,80.9
NO,2010,80.0
NO,2011,80.4
NO,2012,80.4
NO,2013,80.2
NO,2014,80.1
NO,2015,79.7
NO,2016,79.4
NO,2017,79.2
NO,2018,80.0
NO,2019,80.2
NO,2020,79.7
NO,2021,80.0
NO,2022,80.9
PL,2009,62.6
PL,2010,62.2
PL,2011,62.5
PL,2012,62.9
PL,2013,63.2
PL,2014,64.9
PL,2015,66.3
PL,2016,68.2
PL,2017,70.0
PL,2018,71.4
PL,2019,72.3
PL,2020,72.7
PL,2021,75.4
PL,2022,76.7
PT,2009,67.6
PT,2010,66.9
PT,2011,66.7
PT,2012,64.0
PT,2013,63.4
PT,2014,66.1
PT,2015,67.9
PT,2016,69.5
PT,2017,72.5
PT,2018,74.7
PT,2019,75.5
PT,2020,74.2
PT,2021,75.5
PT,2022,77.1
RO,2009,53.9
RO,2010,56.3
RO,2011,56.0
RO,2012,56.8
RO,2013,56.9
RO,2014,58.0
RO,2015,59.2
RO,2016,60.3
RO,2017,62.7
RO,2018,63.9
RO,2019,65.1
RO,2020,65.2
RO,2021,67.1
RO,2022,68.5
RS,2010,53.3
RS,2011,51.2
RS,2012,51.0
RS,2013,53.4
RS,2014,53.5
RS,2015,54.7
RS,2016,57.6
RS,2017,60.0
RS,2018,61.6
RS,2019,63.6
RS,2020,64.3
RS,2021,66.7
RS,2022,69.3
SE,2009,77.7
SE,2010,77.5
SE,2011,78.8
SE,2012,78.9
SE,2013,79.2
SE,2014,79.4
SE,2015,79.9
SE,2016,80.6
SE,2017,81.2
SE,2018,81.8
SE,2019,81.5
SE,2020,80.1
SE,2021,80.7
SE,2022,82.2
SI,2009,71.4
SI,2010,69.7
SI,2011,67.8
SI,2012,67.8
SI,2013,66.7
SI,2014,67.3
SI,2015,68.6
SI,2016,69.5
SI,2017,72.9
SI,2018,74.9
SI,2019,75.9
SI,2020,74.8
SI,2021,76.1
