DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2009,73.4,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2010,73.9,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2011,74.2,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2012,74.4,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2013,74.6,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2014,74.2,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2015,74.3,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2016,74.8,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2017,75.4,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2018,76.2,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2019,76.8,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2020,74.8,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2021,75.6,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,AT,2022,77.3,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,BE,2009,67.1,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,BE,2010,67.6,
ESTAT:SDG_08_30(1.0),14/12/23 23:00:00,A,EMP_LFS,T,Y20-64,PC_POP,BE,2011,67.3,
