country,year,income_inequality_ratio
AL,2017,8.0
AL,2018,7.48
AL,2019,6.81
AL,2020,6.21
AL,2021,6.07
AT,2003,4.02
AT,2004,3.66
AT,2005,3.79
AT,2006,3.65
AT,2007,3.77
AT,2008,4.17
AT,2009,4.2
AT,2010,4.35
AT,2011,4.12
AT,2012,4.22
AT,2013,4.12
AT,2014,4.16
AT,2015,4.12
AT,2016,4.19
AT,2017,4.44
AT,2018,4.1
AT,2019,4.2
AT,2020,4.16
AT,2021,4.11
AT,2022,4.27
BE,2003,4.43
BE,2004,3.93
BE,2005,4.13
BE,2006,4.18
BE,2007,3.87
BE,2008,4.15
BE,2009,3.91
BE,2010,3.9
BE,2011,3.96
BE,2012,3.99
BE,2013,3.9
BE,2014,3.94
BE,2015,3.91
BE,2016,3.95
BE,2017,4.01
BE,2018,3.92
BE,2019,3.65
BE,2020,3.62
BE,2021,3.47
BE,2022,3.5
BG,2006,5.48
BG,2007,7.81
BG,2008,6.82
BG,2009,5.93
BG,2010,5.93
BG,2011,6.73
BG,2012,6.56
BG,2013,7.0
BG,2014,7.6
BG,2015,7.56
BG,2016,8.89
BG,2017,9.01
BG,2018,8.37
BG,2019,8.74
BG,2020,8.51
BG,2021,7.82
BG,2022,7.67
CH,2007,4.62
CH,2008,4.7
CH,2009,4.46
CH,2010,4.34
CH,2011,4.34
CH,2012,4.19
CH,2013,4.08
CH,2014,4.26
CH,2015,4.34
CH,2016,4.3
CH,2017,4.49
CH,2018,4.39
CH,2019,4.63
CH,2020,4.73
CH,2021,4.74
CH,2022,4.64
CY,2005,4.0
CY,2006,3.92
CY,2007,4.09
CY,2008,3.99
CY,2009,4.08
CY,2010,4.3
CY,2011,4.15
CY,2012,4.56
CY,2013,4.88
CY,2014,5.41
CY,2015,5.27
CY,2016,4.88
CY,2017,4.52
CY,2018,4.23
CY,2019,4.55
CY,2020,4.27
CY,2021,4.14
CY,2022,4.2
CZ,2005,3.9
CZ,2006,3.69
CZ,2007,3.69
CZ,2008,3.56
CZ,2009,3.6
CZ,2010,3.63
CZ,2011,3.71
CZ,2012,3.68
CZ,2013,3.57
CZ,2014,3.7
CZ,2015,3.69
CZ,2016,3.68
CZ,2017,3.53
CZ,2018,3.35
CZ,2019,3.33
CZ,2020,3.35
CZ,2021,3.54
CZ,2022,3.5
DE,2005,3.84
DE,2006,4.19
DE,2007,5.09
DE,2008,4.93
DE,2009,4.67
DE,2010,4.66
DE,2011,4.6
DE,2012,4.4
DE,2013,4.8
DE,2014,5.37
DE,2015,5.04
DE,2016,4.73
DE,2017,4.62
DE,2018,5.26
DE,2019,4.89
DE,2020,4.99
DE,2021,5.08
DE,2022,4.41
DK,2003,3.44
DK,2004,3.39
DK,2005,3.55
DK,2006,3.45
DK,2007,3.77
DK,2008,3.63
DK,2009,4.73
DK,2010,4.41
DK,2011,4.09
DK,2012,4.08
DK,2013,4.17
DK,2014,4.18
DK,2015,4.27
DK,2016,4.22
DK,2017,4.38
DK,2018,4.33
DK,2019,4.19
DK,2020,4.2
DK,2021,4.17
DK,2022,4.22
EE,2004,8.03
EE,2005,6.44
EE,2006,5.88
EE,2007,5.78
EE,2008,5.03
EE,2009,5.2
EE,2010,5.39
EE,2011,5.89
EE,2012,5.94
EE,2013,5.94
EE,2014,7.09
EE,2015,6.66
EE,2016,5.7
EE,2017,5.45
EE,2018,4.95
EE,2019,5.02
