DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AL,2017,8.00,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AL,2018,7.48,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AL,2019,6.81,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AL,2020,6.21,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AL,2021,6.07,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2003,4.02,b
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2004,3.66,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2005,3.79,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2006,3.65,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2007,3.77,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2008,4.17,b
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2009,4.20,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2010,4.35,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2011,4.12,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2012,4.22,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2013,4.12,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2014,4.16,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2015,4.12,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2016,4.19,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2017,4.44,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2018,4.10,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2019,4.20,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2020,4.16,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2021,4.11,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,AT,2022,4.27,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2003,4.43,b
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2004,3.93,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2005,4.13,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2006,4.18,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2007,3.87,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2008,4.15,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2009,3.91,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2010,3.90,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2011,3.96,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2012,3.99,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2013,3.90,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2014,3.94,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2015,3.91,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2016,3.95,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2017,4.01,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2018,3.92,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2019,3.65,b
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2020,3.62,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2021,3.47,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BE,2022,3.50,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BG,2006,5.48,b
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BG,2007,7.81,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BG,2008,6.82,
ESTAT:ILC_PNS4(1.0),02/02/24 23:00:00,A,RAT,T,Y_LT65,BG,2009,5.93,
