country,year,work_poverty_risk_percentage
AL,2017,17.9
AL,2018,16.5
AL,2019,14.6
AL,2020,12.7
AL,2021,12.6
AT,2003,7.7
AT,2004,7.3
AT,2005,6.8
AT,2006,6.4
AT,2007,6.1
AT,2008,8.5
AT,2009,8.2
AT,2010,7.5
AT,2011,7.6
AT,2012,8.1
AT,2013,7.9
AT,2014,7.2
AT,2015,7.9
AT,2016,8.3
AT,2017,7.7
AT,2018,8.0
AT,2019,7.6
AT,2020,7.2
AT,2021,7.5
AT,2022,8.2
BE,2003,6.5
BE,2004,4.0
BE,2005,3.9
BE,2006,4.1
BE,2007,4.3
BE,2008,4.8
BE,2009,4.6
BE,2010,4.5
BE,2011,4.2
BE,2012,4.5
BE,2013,4.4
BE,2014,4.8
BE,2015,4.6
BE,2016,4.8
BE,2017,5.0
BE,2018,5.1
BE,2019,4.8
BE,2020,4.2
BE,2021,3.8
BE,2022,3.6
BG,2006,5.4
BG,2007,5.8
BG,2008,7.5
BG,2009,7.4
BG,2010,7.7
BG,2011,8.2
BG,2012,7.4
BG,2013,7.2
BG,2014,9.2
BG,2015,7.7
BG,2016,11.4
BG,2017,9.9
BG,2018,9.9
BG,2019,8.9
BG,2020,9.6
BG,2021,10.0
BG,2022,9.7
CH,2007,7.7
CH,2008,9.5
CH,2009,8.1
CH,2010,7.6
CH,2011,7.7
CH,2012,8.5
CH,2013,7.6
CH,2014,6.3
CH,2015,8.2
CH,2016,7.3
CH,2017,8.2
CH,2018,7.3
CH,2019,7.7
CH,2020,8.0
CH,2021,7.3
CH,2022,8.2
CY,2005,6.5
CY,2006,7.2
CY,2007,6.3
CY,2008,6.3
CY,2009,6.8
CY,2010,7.3
CY,2011,7.3
CY,2012,7.9
CY,2013,8.9
CY,2014,7.8
CY,2015,9.1
CY,2016,8.2
CY,2017,7.9
CY,2018,7.4
CY,2019,6.7
CY,2020,7.3
CY,2021,7.6
CY,2022,7.9
CZ,2005,3.5
CZ,2006,3.5
CZ,2007,3.3
CZ,2008,3.6
CZ,2009,3.2
CZ,2010,3.7
CZ,2011,4.0
CZ,2012,4.5
CZ,2013,4.0
CZ,2014,3.6
CZ,2015,4.0
CZ,2016,3.8
CZ,2017,3.5
CZ,2018,3.4
CZ,2019,3.5
CZ,2020,3.7
CZ,2021,3.5
CZ,2022,3.4
DE,2005,4.8
DE,2006,5.5
DE,2007,7.4
DE,2008,7.1
DE,2009,6.8
DE,2010,7.2
DE,2011,7.7
DE,2012,7.8
DE,2013,8.6
DE,2014,9.9
DE,2015,9.7
DE,2016,9.5
DE,2017,9.1
DE,2018,9.1
DE,2019,8.0
DE,2020,8.6
DE,2021,8.7
DE,2022,7.0
DK,2003,4.5
DK,2004,4.8
DK,2005,4.8
DK,2006,4.5
DK,2007,4.1
DK,2008,5.0
DK,2009,5.9
DK,2010,6.5
DK,2011,6.3
DK,2012,5.2
DK,2013,5.5
DK,2014,4.9
DK,2015,5.5
DK,2016,5.3
DK,2017,5.3
DK,2018,6.0
DK,2019,6.3
DK,2020,6.2
DK,2021,6.0
DK,2022,5.9
EE,2004,9.1
EE,2005,7.5
EE,2006,7.5
EE,2007,7.8
EE,2008,7.3
EE,2009,8.1
EE,2010,6.5
EE,2011,7.9
EE,2012,8.3
EE,2013,7.6
EE,2014,11.8
EE,2015,10.0
EE,2016,9.6
EE,2017,9.3
EE,2018,9.3
EE,2019,10.0
EE,2020,10.0
EE,2021,10.0
EE,2022,10.5
EL,2003,13.5
EL,2004,13.1
EL,2005,12.9
EL,2006,13.8
EL,2007,14.2
EL,2008,14.3
EL,2009,13.8
EL,2010,13.8
EL,2011,11.9
EL,2012,15.1
EL,2013,13.1
EL,2014,13.4
EL,2015,13.4
EL,2016,14.1
EL,2017,12.9
EL,2018,11.0
EL,2019,10.2
EL,2020,10.1
EL,2021,11.3
EL,2022,10.6
ES,2004,10.8
ES,2005,10.6
ES,2006,10.1
ES,2007,10.2
ES,2008,11.3
ES,2009,11.7
ES,2010,10.9
ES,2011,10.9
ES,2012,10.8
ES,2013,10.5
ES,2014,12.5
ES,2015,13.1
ES,2016,13.1
ES,2017,13.1
ES,2018,12.9
ES,2019,12.7
ES,2020,11.8
